RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08
Mecklenburg County	NC	Charlotte-Concord-Gastonia	37	119	49	102.2458629	103.1291611	102.7399976	102.8884462	101.9333333	101.7647059	100.7979896	98.42682506	98.00367927	96.27651567	95.45454545	93.73415797	92.85714286	92.59259259	93.14334628	93.47831064	93.54207436	93.14140559	93.28358209	92.95877274	92.37846392	92.04850946	91.03013315	90.76442224	90.83333333	92.02271847	93.73965803	94.33364989	94.29469901	94.23274974	93.0460333	93.95973154	93.51620948	93.66566717	93.05210918	93.5948759	93.87602339	98.08195292	100.6711409	103.0384774	103.0752533	102.8356282	101.3779134	101.1642966	101.3624325	101.4067995	100.4522613	99.31383171	97.51585624	98.92352874	101.8342391	103.3721287	103.8084247	104.0723982	103.8084247	104.3219076	104.7486034	105.1310515	103.7837965	102.8712849	103.8084247	105.9915154	108.111031	111.3327791	113.4266263	112.757732	113.1581655	113.3217092	112.1505777	114.461408	114.379085	113.2771338	117.0699032	121.5774844	124.3936244	125.9308113	127.0408503	127.1314483	126.2384148	125.060156	125.8680556	126.4244532	125.4431415	125.3792299	125.8057037	127.388535	129.293709	132.8346079	133.4798995	132.3747407	131.458728	130.8372445	133.0822348	135.1950355	134.8358796	134.6645409	136.6360908	139.2497904	140.6371487	142.3076923	142.6896013	142.9772918	142.2579381	142.221085	143.8271605	143.9322672	145.0942231	145.9336362	146.1940278	147.6818182	149.4056956	150.9539397	149.270938	149.6050867	149.4617225	148.8476926
Wake County	NC	Raleigh	37	183	56	116.5792658	116.0216718	115.8587987	115.7498795	115.5172414	114.9782676	113.9737991	113.6817832	113.2464093	112.745098	112.373067	111.6167665	110.4034973	109.7355947	109.6174204	110.257267	110.524552	109.931963	109.8419174	109.8179454	109.4855766	109.2257002	108.8511203	108.4659913	108.373494	108.4483892	109.4570928	109.4246697	109.2605992	109.1636969	108.074982	107.5536821	107.5525813	107.5120385	107.4596774	106.9158784	106.9888627	108.9106985	110.8007149	111.7728055	112.3595506	113.308373	113.0846828	113.7335188	113.0647981	113.3279155	112.5817405	111.7058824	112.275674	113.9437786	114.6216034	115.4623709	116.478246	116.5207053	116.6227747	117.5879397	117.6859206	117.877095	117.2092851	116.9036335	117.2955042	118.0821147	119.5127505	122.3960302	123.6603462	124.3391214	124.6730602	125.4420993	124.9107143	125.2618349	125.5699754	125	125.6490162	127.1134021	128.9115389	130.3241548	131.2980359	131.3559322	132.0025757	132.4965132	132.6404246	132.7914414	133.1732052	133.6725254	133.9031339	135.4367951	136.5043241	138.4714528	139.3432853	138.3589744	137.8577961	138.081945	138.4844062	139.2519153	139.4998371	139.6246842	140.7807598	141.5217391	143.1011483	144.3468296	145.4953119	146.1213366	145.6991439	144.7120603	145.1612903	145.3927492	145.4181818	145.4575893	145.8848049	146.3717377	147.1124936	148.5416795	149.354605	149.4271348	149.8582975	149.9894758
Guilford County	NC	Greensboro-High Point	37	081	135	92.4978185	92.84662999	93.48739496	92.37445228	92.57513123	92.27799228	91.74311927	91.64983149	91.14471374	90.38461538	90.27777778	88.96306186	88.28729282	86.91304348	86.88150464	87.38601824	88.35356548	88.22663723	87.39353682	87.26138664	86.97771588	86.61216147	86.12305009	85.36585366	85	85	85.38899431	86.56167979	86.86055054	85.76807154	84.61021505	84.59323254	83.47350715	83.96641343	82.23684211	82.25706941	83.13856427	84.68468468	86.4408196	87.31656184	88.08931485	89.03668183	88.34254144	87.32702112	87.46658969	86.72194083	86.36001189	85.95038435	86.7988176	87.45806252	88.61209964	89.49511401	90.4204364	90.34653465	90.58704453	90.47939454	89.70574837	88.78729702	89.41005803	89.18380519	89.28571429	89.45064775	90.47044632	91.73719271	93.79517623	94.09669211	93.3986388	92.18437784	92.19199577	92.48788734	92.32356356	92.18441429	91.62624457	92.38198601	94.60729932	96.04747542	96.99343271	97.36161701	96.95640255	95.85341091	95.49990612	96.28955021	95.49343154	95.20798645	95.60211398	95.14369256	96.49318702	99.92307692	100.2125216	100.3980772	100.7922535	100.6201063	100.3650745	100.801819	100.4592423	100.4713276	100.2380952	101.351808	103.8447851	105.2029911	103.6948721	105.501331	105.6247697	105.7539683	105.8194444	105.3523856	104.8387999	105.289108	105.1263001	107.2745558	108.4143605	109.375	108.8403042	108.6956522	108.7006297	107.9281723
Forsyth County	NC	Winston-Salem	37	067	183	97.08560326	97.52925878	98.07288017	97.83580369	97.66572638	97.33470015	96.68683906	96.0419092	94.67509025	94.23130253	93.9047619	92.11130751	91.3384846	91.95293481	91.88580937	92.38570749	92.48737374	91.44043076	90.97082696	91.58945118	91.50717703	89.4547737	88.20399546	87.02879284	86.82432432	88.03705182	90.34699112	91.3627321	90.98479985	89.21651786	89.28571429	89.23615511	88.86083153	88.86278475	89.12009512	88.83089879	88.52980706	88.87025855	90	90.83333333	91.25	90.50249197	89.6965866	90.6904418	91.10077752	90.30239071	89.49725411	89.7119231	89.81731057	92.07579673	93.52941176	95.01689189	94.92217628	94.37596302	93.10106933	91.54929577	91.49326805	90.601927	90.89090909	90.12445253	91.36617572	92.20430108	92.05001917	92.52094356	94.9	94.03178722	93.7921078	93.06803594	90.19167001	91.84339315	92.28212703	90.03003003	90.69020867	94.06737054	95.42454818	97.48134328	98	98.81305638	98.49967384	97.40090731	97.21608484	97.36868769	95.77314072	97.19570406	95.6855792	98.18512304	98.65515824	102.7570093	103.5885167	103.6860202	102.4200035	101.8341094	101.8629808	102.0875066	102.2045855	102.8737013	101.0446261	101.6009852	105.022981	106.1929596	105.7478772	105.9981684	106.3041765	107.1479628	107.9828293	107.327888	107.2610465	107.0899087	106.6375653	108.8306452	110.2113971	112.8375743	114.0213363	115.3205128	114.9802891	115
Cumberland County	NC	Fayetteville	37	051	198	91.26700072	91.36021435	91.68965517	91.796875	91.95402299	91.79104478	91.82721183	92.72011805	91.83256764	91.47104851	91.91815857	90.73846154	90.10600707	90.94151213	90.57639524	91.00570525	91.25482867	90.63728509	90.23500914	90.01560053	89.46963874	89.70323741	89.04567572	87.99261084	88.09990206	87.57297748	89.11739503	88.24870434	88.34586466	87.52515091	87.29496558	86.85064935	85.61847988	86.64359862	85.01374911	85.51706608	85.20881671	84.92424374	85.02807778	85.67826525	85.53089086	85.10502864	84.93253373	84.93835388	83.72197776	83.33333333	83.41013727	85.71759233	83.33333333	82.82303866	83.23331915	83.37515684	83.05613306	83.36113428	82.64015591	82.4815189	81.96721311	81.52065217	81.11398008	81.22543251	81.79175725	82.40699881	82.41758242	83.3950346	84.11654135	84.36944938	83.64955357	83.31788693	83.9344071	83.5105408	83.3765148	83.54323332	83.60107095	83.40971586	83.90333544	84.81797057	84.66898955	85.32423208	85.15546953	84.74142345	83.84798046	82.83769772	82.2122571	82.38711322	83.56942215	84.3871308	85.33756843	85.78431373	85.46447791	86.27525253	85.9766624	85.65834557	85.1461039	85.21568091	85.63244796	85.8172384	85.60344828	85.84379793	85.60344828	86.60251665	86.38211382	86.74503445	86.89255461	86.9595695	87.17642995	86.93817648	87.00358993	87.08311276	87.93324193	88.87515101	89.73635469	91.27464573	91.26290707	91.36819763	91.37326566	91.29511677
Durham County	NC	Durham-Chapel Hill	37	063	243	106.0456916	106.285499	107.4472027	107.5000458	106.3660232	106.1861482	105.6163022	104.6324745	103.9358687	103.1496063	102.607987	101.6330811	101.1560694	101.0784093	101.8623901	102.000772	101.856777	100.7503618	100.1997063	99.90652174	99.00914634	97.54425647	96.80726604	95.90207914	95.5994898	97.39107603	99.82638889	99.73892649	98.7006237	96.7537494	96.50233355	96.30477736	95.50607703	95.27014532	95.55047777	95.04280614	96.4016352	98.76992234	101.8944832	102.3109937	101.7493639	101.7493639	101.4662608	101.6761159	101.5216719	101.9351464	101.9964445	102.1846371	102.3351648	104.1626182	105.7471264	106.2994419	106.4015883	104.7625854	106.1060445	105.2631579	105.9628825	106.6	106.5970551	107.0098598	108.7532206	109.3920952	110.6572893	111.6682177	111.856758	111.8188449	111.3931595	112.602148	112.5895599	113.6300315	113.9596257	113.3069829	113.8924051	114.9886435	115.9834763	117.9831098	119.5067265	120.8274565	121.1092952	120.1923077	119.8441994	119.9238111	120.6679894	120.7849742	122.6076555	124.6383308	126.462116	126.4325104	127.2786037	128.9632561	130.1389358	130.0431568	130.7692308	133.8361311	134.7457627	135.9693878	136.2709243	138.6353567	140.4528764	141.4117711	142.3658842	141.8799552	141.377709	141.6537774	143.5638298	144.6428571	145.7702724	147.7272727	149.3043773	150.0216161	148.7103175	148.1040591	148.2266697	151.2276093	152.0095961	152.4095122
Buncombe County	NC	Asheville	37	021	267	153.7692308	151.9230769	150.8097166	150.4565153	151.2179487	151.1903697	151.6101695	148.3516484	145.4545455	146.4016293	144.7397046	143.3462293	141.0980392	140.5478733	140.821256	140.3061224	141.7400839	140.8045977	140.5431158	140.8912189	140.8681446	140.0771165	139.4281383	138.4803922	137.5431034	139.2934048	139.3083293	140.1136765	139.3442623	140.5633512	140.3700068	138.8148148	138.8888889	138.4920635	138.320178	137.5	137.2673698	136.9417029	137.8719506	139.395667	140.4991948	142.1235582	141.9753086	141.9760099	141.0133843	140.2733119	140.7225028	140.2421652	139.1417783	140.1784432	140.7446732	142.755102	145.4416379	148.3732916	147.5930972	148.2103679	148.9142469	148.7103175	149.8962656	149.113045	150.6473214	151.2158055	151.8777541	153.9612676	155.7768809	157.5536185	158.1438581	159.040404	159.6966678	162.6297578	163.1255127	164.2873657	165.2792052	166.0493827	168.0004708	170.3907671	172.8391525	173.4238434	175.1571751	176.3342079	175.2368783	176.2820513	177.662082	179.7498045	179.809789	181.1076605	183.4325397	185.1064142	187.2469636	189.3153527	190.4910854	189.5238095	192.9551122	196.9906432	196.2209302	198.430296	200.3674491	200.9727626	204.8286604	208.2515085	209.381994	210.69869	211.2834979	209.8608563	211.0367729	210.1486417	209.7276265	209.589494	209.5652639	209.8351648	210.6563404	211.8072264	213.6752137	210.4779412	210.8895706	211.2676056
Gaston County	NC	Charlotte-Concord-Gastonia	37	071	295	83.68606702	84.03913149	84.76190476	84.88899445	84.4924812	84.10626536	83.80103137	83.33333333	83.06493506	82.23684211	81.63804686	81.12244898	79.57274465	78.79818594	78.18047337	77.30988968	77.58604786	77.49458687	77.20979766	77.51937984	76.43654098	76.46302251	76.93704641	76.04477612	75.3968254	75.78055308	75.92847892	76.1324705	76.86981074	76.17060901	75.39802246	76.51087832	76.40886489	76.84294872	76.85897436	76.04748603	75.79013906	78.31169939	79.6212325	81.89655172	82.87752675	83.12975647	81.81751606	81.82140983	81.22326775	82.10834608	80.5875576	79.88011349	79.02144772	77.42105494	78.52564103	79.95735608	81.35333897	82.95019157	83.1758034	83.73239437	83.85475987	83.87419395	84.42615459	83.73239437	83.33570919	84.75056689	84.60438513	84.80536858	84.73815461	85.36455076	86.61647399	86.57770781	84.17508418	84.18947975	85.79920418	83.39621472	86.83978807	87.2815534	86.92261548	89.54703833	91.70108505	93.43852302	93.91298713	92.46586075	91.59928122	94.4529107	92.60692034	94.42649435	90.84302326	91.13391655	92.5888133	98.36439371	99.39390096	100	101.1938881	101.3707067	100.9839461	102.8169014	101.4362657	101.083815	102.7570093	104.1330645	106.387112	106.557377	108.5283952	109.0716234	109.517104	110.9777992	111.2820433	111.2506263	112.455391	113.9623436	115.2645046	115.6069364	116.6810717	120.6973294	120.959596	122.0238095	122.118736	121.2552743
New Hanover County	NC	Wilmington	37	129	300	144.3965517	143.013468	144.2286349	142.3929632	141.7808219	140.1851348	138.8888889	137.8369916	135.8976207	133.6020781	131.7987964	130.9482141	128.7980946	127.4193548	127.6667869	125.6261905	125.1222353	125.4880089	123.8377008	123.8272759	123.5093697	123.0765578	121.6521739	121.4230394	121.8886844	122.0993994	121.7125382	123.1527094	121.9504573	123.6538056	122.3302439	122.2424989	121.2898752	120.7081545	120.410933	120.8837209	120.590379	121.5805471	123.8175676	125.862069	126.9699696	129.2246521	128.4554575	126.3537906	127.7139365	125.3788923	126.1997947	126.2265512	126.0959471	127.2624434	129.0556591	130.743311	131.2438464	124.9371859	124.2942677	123.2384824	123.7600436	124.4019139	121.9230769	121.2816058	121.6004184	121.4520965	123.1894936	125.5813953	125.9338976	126.7381812	128.3355699	129.178633	128.8555195	131.3298465	130.5251733	134.8404255	133.9969372	133.9095707	135.6358031	138.5256446	139.1585754	138.5568379	138.6196979	138.8095238	139.1647332	141.0948916	141.5571284	142.9633867	143.8273986	144.980916	145.9607196	146.5648855	147.6793249	147.5794838	147.6858163	147.8405316	149.8991344	148.0211904	148.0211904	148.2030548	149.3533584	149.3186015	151.4349438	152.9050265	153.2797858	153.5837501	153.4800409	153.6993366	154.5564031	155.1090568	156.4332604	156.7258883	157.0797701	159.5371313	158.3129584	159.9664269	159.792922	159.3240613	159.8451778	161.4797416
Union County	NC	Charlotte-Concord-Gastonia	37	179	301	105.0585737	104.792107	103.7099494	103.3834586	102.5154799	102.402746	101.5521064	101.2560778	100.390625	98.86025768	98.89649924	97.95630726	96.59206511	95.77844553	96.39920612	96.64391354	96.51008514	95.76250153	95.08632385	94.52182386	93.36099585	92.83058278	92.70017589	91.71388677	91.49535342	90.85697979	93.37828582	93.69951535	93.93162393	95.10566023	94.11255013	93.16542832	92.54943695	92.09141691	92.36422414	92.6681521	93.69300912	95.82149558	96.28759398	97.96186719	99.86939821	100.0700743	101.6082342	101.7293998	101.9546745	102.1913317	102.3099134	102.1611052	100.9417065	100.4242681	98.53684491	100.4242681	100.8342246	100.8342246	100.5076142	102.4159166	103.8577236	105.4118981	103.1535514	101.8552201	100.9592084	104.8040204	106.127451	107.6941926	109.375	108.90929	106.9847931	107.7974205	106.6502463	108.955495	109.2976808	109.4974874	111.1555432	114.1617177	115.7097056	116.6567615	118.2004529	119.020554	119.5652174	119.9280411	119.2368839	119.5451285	118.5609158	119.9151438	120.6518451	121.4278335	122.5909627	124.7899924	125.202921	125.4052026	125.7631269	125.7622738	126.8907982	126.5706091	126.9763648	128.7179487	127.9426817	129.9432082	131.4158258	131.6984191	132.5798674	131.8006431	131.8242344	131.76271	131.5789474	132.3774141	132.4978145	131.3221018	131.2446944	131.9882612	133.3333333	136.2350246	137.2245391	136.8114961	136.8452381	137.2868744
