RegionID	RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	1996-04	1996-05	1996-06	1996-07	1996-08	1996-09	1996-10	1996-11	1996-12	1997-01	1997-02	1997-03	1997-04	1997-05	1997-06	1997-07	1997-08	1997-09	1997-10	1997-11	1997-12	1998-01	1998-02	1998-03	1998-04	1998-05	1998-06	1998-07	1998-08	1998-09	1998-10	1998-11	1998-12	1999-01	1999-02	1999-03	1999-04	1999-05	1999-06	1999-07	1999-08	1999-09	1999-10	1999-11	1999-12	2000-01	2000-02	2000-03	2000-04	2000-05	2000-06	2000-07	2000-08	2000-09	2000-10	2000-11	2000-12	2001-01	2001-02	2001-03	2001-04	2001-05	2001-06	2001-07	2001-08	2001-09	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-09	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-07	2005-08	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-07	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08
3102	Mecklenburg County	NC	Charlotte-Concord-Gastonia	37	119	49	119400	119700	119900	120100	120400	120600	120800	121000	121400	121800	122200	122600	123200	123700	124200	124600	124900	125100	125200	125300	125400	125600	125900	126400	127000	127700	128500	129300	130000	130700	131300	131800	132300	132700	133100	133400	133600	133900	134200	134600	135000	135500	136100	136800	137600	138300	139000	139500	139900	140100	140400	140700	141000	141300	141700	142100	142400	142800	143000	143300	143500	143800	144000	144300	144500	144700	144900	145000	145000	145100	145300	145400	145500	145600	145600	145600	145700	145800	146000	146200	146500	146700	146800	146900	147000	147100	147200	147300	147400	147600	147800	148000	148300	148600	149000	149300	149500	149900	150200	150500	150800	151200	151500	151800	152200	152700	153100	153500	154000	154400	154900	155500	156100	156800	157600	158300	159100	159900	160700	161500	162400	163300	164300	165400	166400	167500	168400	169200	170100	171000	171900	172800	173600	174500	175300	176100	176900	177400	177600	177600	177400	177400	177200	176900	176400	175900	175000	174100	173000	171900	170800	169800	169000	168300	167500	166300	164800	163200	161500	160400	159800	159500	159200	159100	159300	158400	157800	157900	158100	157500	157400	156800	155800	154700	154200	153400	151900	150300	148900	147400	146400	145900	145100	144000	143200	142600	142100	141800	141500	141700	141900	141900	141800	142500	143500	144400	145000	145500	145800	145800	146200	146700	147600	148800	149900	151100	152500	153800	155000	156100	157200	158100	159100	160100	160900	161700	162400	163200	163700	164200	164600	165200	165600	166100	167000	168000	169000	170200	171400	171900	172400	173700	175000	175700	176300	177000	177800	178600	179700	181100	183100	184800	185900	187000	188600	190300	192200	194200	196200	197800	199100	200200	201900	204000	206000	207800	209800	212100	214300	216700	218700	221300	224300	226300	227200	227900	228600	229500	230500	231800	233700	235800	238000	240200	241600	241900	241500	241000	241300	242200	243000
324	Wake County	NC	Raleigh	37	183	56	163100	162200	160900	159300	157900	156800	156200	156300	157000	158300	159700	160900	161900	162500	162600	162100	161100	159500	157300	154500	151400	148500	146100	144400	143600	143900	145000	146900	149100	151300	153200	154500	155200	155400	155500	155800	156400	157200	158200	159200	160200	161000	161700	162400	163200	164100	164900	165400	165800	166100	166400	166700	166900	167100	167300	167400	167500	167600	167800	168100	168400	168700	169000	169400	169800	170300	170900	171400	171900	172300	172700	172900	172900	172800	172800	172900	173200	173700	174400	175200	176000	176400	176500	176600	176900	177200	177600	177900	178300	178600	179000	179400	179900	180400	181000	181800	182600	183500	184300	185100	185800	186600	187500	188500	189500	190600	191900	193100	194200	195300	196500	197800	199000	200200	201400	202600	203800	205200	206500	207800	208900	210000	211000	212100	213300	214600	215900	217100	218400	219700	220800	221900	222900	224000	225000	225900	226800	227300	227600	227600	227400	227300	227100	226800	226700	226500	226300	225800	224900	224000	223300	222700	222200	221900	221400	220500	219500	218300	217300	216500	216000	215700	215400	215300	215200	214900	214800	215000	215200	214900	214300	213600	212400	211100	210200	209600	208500	207900	207400	206300	204900	203800	203000	202300	202000	201700	200900	200100	199900	199800	199800	200600	201500	202200	202500	202600	202800	203400	204300	205200	206000	206500	207100	207900	208800	209900	211300	212700	214000	215100	216300	217200	217700	218200	219100	220100	221100	222000	222800	223500	224000	224300	225000	226300	227700	228600	229000	229500	230300	231100	232000	233300	234900	236500	237700	238700	240200	241800	242800	243500	244800	246200	247800	249500	251400	253400	255400	256800	258000	259500	261400	263000	264200	265600	267000	268100	268800	269800	271000	271900	272400	273500	275200	276500	277400	278900	280500	281900	283200	284200	285000	286400	288600	291000	292500	293200	293800	294300	294300	294700	295200
2312	Guilford County	NC	Greensboro-High Point	37	081	135	106100	104000	101800	99700	97800	96300	95200	94500	94200	94100	94400	94900	95400	96000	96500	96800	97100	97300	97400	97200	96600	95600	94700	94000	93700	94000	94800	95900	97100	98200	99200	99900	100400	100700	101000	101300	101800	102300	103100	104000	105100	106100	107000	107900	108500	109100	109600	110200	110700	111100	111400	111600	111700	111800	111800	111900	112100	112100	112200	112200	112100	111900	111700	111700	111700	111900	112200	112600	113000	113400	113800	114300	114700	115100	115300	115500	115700	115900	116000	116200	116400	116700	117000	117200	117400	117700	117900	118100	118300	118600	118900	119300	119700	120000	120400	120800	121300	121800	122300	122800	123100	123400	123500	123700	123800	124100	124300	124700	125000	125400	125900	126400	126900	127500	127900	128300	128600	128900	129300	129600	129900	130100	130100	130100	130200	130200	130300	130500	130800	131200	131500	132000	132300	132600	132800	132800	132900	133000	133100	133000	132900	132600	132200	131800	131300	130900	130400	130000	129500	129000	128400	127900	127300	126800	126200	125700	125100	124400	123700	123000	122400	121900	121500	121100	120800	120600	120700	120600	120500	120500	120500	120600	120600	120400	120400	120300	120100	119700	119000	118500	118200	117700	117100	116300	115400	114700	114300	114000	113400	113000	113100	113300	113400	113500	113900	114200	114100	113700	113300	113000	113200	113600	113400	113100	112800	112600	112700	113300	114000	114500	115000	115600	115900	116100	116200	116000	116000	116300	116500	116600	116900	117300	117600	117800	117800	118000	118600	119300	119900	120400	120500	120600	121100	121800	122100	122200	122600	122800	123000	123400	124000	124500	125000	125600	126800	128100	129300	130800	132300	133300	133800	134700	136100	137300	138200	138000	137000	136500	136600	136900	137400	138100	139000	139700	140000	140300	140700	141600	142800	144300	146000	147300	148300	149200	150200	151000	151300	151900	153200	155100	156600
1712	Forsyth County	NC	Winston-Salem	37	067	184	89100	90000	90900	91600	92300	92700	93000	93100	93100	93100	92900	92600	92400	92400	92600	93000	93500	93900	94200	94300	94100	93800	93300	92600	92100	91900	92100	92500	93200	94100	95100	96200	97300	98400	99400	100200	101000	101700	102300	102800	103300	103800	104200	104400	104600	104800	104800	104700	104700	104800	105200	105700	106300	106900	107500	108100	108800	109600	110400	111100	111700	112200	112600	112900	113100	113300	113400	113500	113600	113800	114200	114600	115000	115300	115600	115600	115700	115700	115900	116100	116600	116900	117200	117500	117700	118000	118300	118800	119300	119800	120400	120900	121400	121900	122300	122600	122900	123000	123300	123500	123800	124300	124900	125400	125900	126300	126700	127200	127600	128100	128500	128900	129200	129400	129600	129700	129800	130100	130400	130700	131000	131400	131700	132100	132400	132600	132900	133200	133400	133600	133900	134300	134800	135100	135400	135500	135500	135500	135400	135200	135100	134900	134700	134400	134000	133500	132900	132400	132000	131700	131300	130900	130500	130200	129900	129500	129100	128700	128100	127500	127100	126900	126800	126700	126600	126600	126600	126600	126600	126800	126900	126800	126600	126500	126100	125400	125300	125300	125000	124600	124200	123400	122500	121900	121400	120800	120700	120900	121200	121200	120900	120600	120400	120200	120000	119700	119300	118700	118100	117600	116600	115400	114700	114200	113700	114000	114900	115700	115900	115900	115900	116200	116400	116500	117100	118200	119000	119300	119800	120200	120300	120100	119800	119500	119700	120200	120500	120700	120900	121000	121100	121300	121800	122500	122900	123400	124000	124500	124700	125000	125200	125500	125700	126200	126900	127800	128600	129100	129700	130700	131300	131600	132200	133100	133600	134100	134800	135400	135900	136600	137400	138000	138400	138500	138600	138900	139100	139100	139200	140600	142700	144000	144400	144600	145600	146900	147900	148500	149200	150100	151200
2912	Cumberland County	NC	Fayetteville	37	051	199	75700	75800	76100	76400	76700	77000	77400	77700	78000	78300	78500	78600	78700	78700	78700	78600	78500	78400	78400	78400	78600	78800	79200	79600	80100	80400	80700	80800	80800	80800	80800	80700	80600	80500	80400	80200	80000	79800	79500	79300	79100	79000	79000	79100	79100	79200	79400	79600	79800	80000	80100	80300	80400	80500	80600	80700	80800	80900	80900	80800	80700	80600	80500	80400	80300	80300	80300	80400	80600	80900	81100	81400	81800	82000	82300	82600	82900	83200	83600	83900	84200	84500	84700	84800	84900	85000	85000	85100	85300	85500	85700	85800	85900	86100	86300	86600	86900	87400	87800	88200	88500	88800	89000	89200	89300	89600	89900	90300	90600	90800	90900	91100	91400	91900	92400	92900	93300	93700	93900	94100	94500	95000	95600	96400	97000	97500	97900	98300	98700	99300	100000	100700	101400	102100	102600	103200	103800	104400	104900	105200	105200	105000	104600	104100	103900	103900	104200	104600	104900	105200	105500	105900	106300	106800	107400	108000	108500	108900	108900	108800	108700	108800	108900	109000	109000	109200	109400	109500	109600	110000	110600	110500	110000	109800	109800	109700	109800	109900	109800	109600	109300	108600	107800	107500	107600	107500	107200	107100	107000	106700	106300	105800	105100	104400	104000	103700	103100	102300	101400	100800	100300	100200	100500	100700	100700	100500	100000	100000	100300	100400	100100	99900	100000	100400	100500	100300	100100	99900	100000	100000	99900	99800	99500	99200	98700	97800	96500	95900	95900	96100	96100	95900	95500	95700	96300	96400	96200	95900	95600	95700	96400	96800	96700	96800	97500	98000	98600	99600	100900	101600	102100	102600	103300	104100	105100	105100	104400	104400	105100	105100	104600	104700	105800	107200	108200	108800	108900	109300	109800	110000	109900	110300	110700	111100	111700	111400	110000	109300	110200	111200	111700
999	Durham County	NC	Durham-Chapel Hill	37	063	244	104900	104800	105200	106200	107700	109700	111900	114000	115700	116900	118100	119200	120100	120800	121400	121800	122200	122500	122800	123100	123100	123100	123300	123700	124200	124700	125200	125600	126000	126400	126700	127100	127300	127600	128200	129000	129800	130400	130900	131200	131400	131400	131500	131700	131800	132000	132400	133100	133700	134200	134600	135000	135200	135300	135500	135700	135900	136100	136400	136800	137300	137800	138300	138800	139400	139900	140400	141000	141600	142200	142800	143400	143900	144300	144700	145000	145200	145400	145600	145800	145900	146100	146400	146700	146900	147100	147200	147300	147400	147400	147400	147500	147600	147900	148200	148600	149100	149600	150000	150500	151000	151400	152000	152500	153000	153400	153800	154100	154400	154700	155100	155500	156000	156400	156800	157300	157700	158000	158300	158600	159000	159300	159700	160200	160700	161300	162000	162600	163200	163800	164300	164700	165000	165300	165700	166100	166300	166400	166400	166300	166100	165900	165800	165600	165400	165100	165000	164700	164400	164000	163700	163500	163300	163200	163000	162700	162300	161900	161600	161400	161200	161100	161100	161100	161200	161400	161400	161400	161600	161700	161400	160900	160700	160600	160100	159400	158900	158700	158000	156900	155800	154900	154000	153500	153200	152700	152300	151700	151100	150300	149900	150300	151000	151200	151400	151200	150900	150900	151300	152000	152700	153200	153700	154400	154900	155300	155800	156600	157200	157500	157600	157600	157500	157500	157900	158200	159000	160200	161000	161100	161000	161200	161600	162300	163100	163800	164500	164700	164700	165100	165800	166600	167500	168300	169500	170700	171700	172900	174100	175300	176400	177500	178700	180300	182000	183600	184900	186100	187200	188200	189100	190000	191200	192500	194100	195900	198100	199700	200900	202000	203600	205700	208100	209900	211300	212800	214500	216100	217800	220300	222900	225200	227400	229200	230400	231300	231600	231700	232300	233100	233500
2156	Buncombe County	NC	Asheville	37	021	266	93900	94100	94200	94100	94000	93900	94100	94400	95000	95900	96900	98000	99100	100000	100800	101400	102000	102400	102500	102400	102100	101700	101200	101000	101200	101700	102600	103700	104700	105600	106400	107100	107700	108400	109000	109500	109900	110300	110800	111200	111800	112600	113600	114600	115700	116900	118000	118800	119400	120000	120600	121300	121900	122400	122900	123300	123500	123600	123700	123800	124100	124500	125200	126100	127200	128300	129500	130700	132000	133300	134600	135900	136800	137400	137600	137700	137600	137500	137600	138100	138700	139400	139900	140500	141200	142000	142900	143900	144900	146100	147300	148600	150000	151400	152800	154200	155300	156200	157100	158000	159000	160200	161400	162600	163800	164900	166000	167400	169200	171400	173900	176400	178800	181000	183000	184800	186500	188200	189900	191700	193800	195700	197500	199200	200800	202300	203800	205300	206800	208200	209100	209700	210400	211400	212800	214600	216400	218100	219500	220300	220700	220800	220300	219500	218800	218000	216700	215200	213400	211400	209600	207800	206300	205100	203900	202900	202000	200800	199200	197800	196600	195700	195100	194800	194500	193500	193600	193600	192200	190500	190000	189500	188800	187500	185900	184500	183400	183000	183200	183200	182700	182000	181100	179900	178700	178500	179000	179400	180000	181000	182000	183000	183900	184200	184200	184200	184100	184500	184900	185100	185200	185400	184700	184000	184600	186300	187300	188300	189300	190100	190800	192300	193900	194700	195200	196100	197100	198000	199300	201200	203300	204900	205600	205700	206000	207300	208700	209800	211100	212800	214400	215600	216700	218000	219700	221200	222400	223500	224900	227100	230500	235800	241900	247800	252900	256800	259800	262500	264400	265400	266100	267000	268700	270000	269900	268700	267700	267100	267200	268300	270700	273400	275100	275300	275200	275600	276200	277400	278700	280000	281600	282800	283100	283400	285100	287900	288000	285100	282800	282400	282400
1032	Gaston County	NC	Charlotte-Concord-Gastonia	37	071	296	66700	67000	67400	67800	68300	68700	69100	69500	69800	70100	70500	70800	71400	72200	73100	74300	75500	77000	78400	79600	80300	80700	80700	80600	80300	80200	80300	80500	80800	81300	81900	82700	83600	84500	85600	86700	87800	88700	89400	90000	90300	90400	90500	90600	90600	90800	91100	91300	91500	91600	91700	91800	91800	91900	92000	92200	92600	93100	93800	94400	95000	95500	95900	96300	96700	97100	97500	97900	98400	98900	99400	99800	100100	100400	100600	100800	101000	101100	101300	101400	101500	101600	101700	101900	102100	102300	102400	102300	102300	102300	102500	102800	103300	103900	104600	105100	105500	105800	106100	106500	106900	107200	107400	107300	107100	106600	106100	105700	105700	105900	106300	106700	107100	107600	108000	108600	109100	109600	110100	110700	111300	111800	112200	112500	112800	113000	113200	113300	113200	113200	113200	113100	113200	113400	113800	114300	114800	115300	115800	116200	116500	116600	116500	116100	115700	115200	114600	113900	113400	113000	112600	112100	111700	111300	110900	110400	110000	109600	109100	108600	108200	107800	107400	106900	106600	106400	106300	106100	105700	105000	104500	104400	104000	102900	102100	101800	101100	100200	99500	98900	98300	97700	97400	96600	95500	94700	94100	93500	93200	93200	93400	93800	94400	95300	95700	95600	95700	96100	96300	96300	96600	97100	97700	98300	98600	98700	98700	99100	99700	100400	101400	102300	102900	103100	103000	102800	102800	102800	102800	102800	103200	103500	103500	103800	104600	105400	105900	106500	106900	107400	108100	109000	109500	109900	110300	110800	111300	111700	112000	112400	113100	114000	114800	116100	117600	118700	119800	121100	122400	123200	123700	124400	125400	126600	127600	128300	129500	131500	132800	133000	133300	134400	135900	136900	138300	139900	141500	143500	145300	146700	148800	151300	153100	154600	156300	157200	156900	157000	157800	158600	159300
3109	New Hanover County	NC	Wilmington	37	129	301	97500	98100	98600	98900	99100	99200	99500	99800	100500	101500	102500	103400	104400	105300	106300	107400	108700	110300	112100	113900	115600	116900	117800	118500	119200	120300	121800	123700	125800	127700	128800	128800	127800	126200	124800	124000	124500	126200	128800	131700	134300	136400	138000	139200	140100	140900	141200	140900	140200	139100	137800	136500	135400	134700	134400	134600	135200	136000	137000	137900	138600	139100	139300	139200	139100	139100	139100	139300	139800	140500	141300	142200	142900	143300	143300	143100	142800	142500	142400	142400	142700	143300	144000	144700	145100	145300	145300	145400	145500	145900	146400	147200	148200	149400	150700	151800	152800	153800	154800	155900	157300	159100	161200	163700	166500	168900	170900	172700	174800	177700	181300	185700	190400	195100	199400	203200	206900	210400	214100	218100	222400	226500	230200	233100	235200	236200	236500	236100	235300	234400	233800	233700	234200	234600	234400	233700	232900	232100	231400	230700	229700	228600	227400	226200	225000	223400	221400	219300	217400	215600	213900	212200	210500	208800	206900	205100	203200	201200	198600	195600	192600	190100	188100	186700	185800	185300	185500	184900	182900	181200	180600	180600	180800	180700	179800	178200	176500	174900	173300	172000	170600	168600	166400	164700	163500	162800	162500	162400	162300	162000	161600	161500	161500	161900	162900	163900	163800	163200	163400	164000	164500	165100	165500	166000	167100	168800	170300	171900	173500	175000	176100	177200	178400	179000	178800	178400	178600	179200	179400	179100	179200	179600	180300	181300	182600	184200	185900	187400	188300	188800	189400	190500	191600	192200	192200	192000	191900	192100	192900	193900	195000	196500	197800	198900	200000	201100	202100	203000	204100	204900	205500	206700	208500	210100	211400	212500	213500	215100	217500	219200	220200	221600	223700	225100	226100	227000	227600	228100	229600	231500	232800	233900	234700	235200	236100	237500	238300	238800	239800	240900	241700
770	Union County	NC	Charlotte-Concord-Gastonia	37	179	302	111900	112700	112900	112700	112300	111700	111100	110700	110600	111000	111300	111600	112000	112300	112500	112600	112800	113200	113700	114400	115300	116200	116700	116400	115400	114000	112700	112000	112100	113000	114100	115000	115700	116100	115900	115300	115000	115400	116400	117900	119600	121000	122100	122800	123300	123500	123400	123200	123100	123400	124200	125200	126400	127300	127900	128300	128500	128900	129400	130100	130700	131200	131400	131500	131500	131500	131500	131600	131900	132700	134000	135300	136200	136800	137100	137500	138000	138500	139100	139800	140200	139700	138500	137700	137700	138800	140400	141900	143000	143700	144200	144400	144500	144400	144500	145000	145900	147000	147900	148700	149400	150000	150700	151600	152500	153500	154700	155900	157000	157900	158700	159300	159800	160300	161000	161900	163100	164500	165700	166800	167700	168400	169100	169800	170500	171000	171400	171700	172100	172900	173900	175100	176100	176800	177300	177900	178700	179700	180600	181200	181600	181700	181500	181100	180400	179300	177900	176200	174500	172900	171500	170200	168900	167800	166700	165600	164200	162600	160800	159200	157900	157000	156500	156300	156100	156200	156800	156700	155600	154700	154600	154200	153800	153200	152400	151600	151300	151000	150500	149600	148900	148600	147900	146800	145600	144400	143300	142500	142400	142900	143500	144300	145600	146700	147500	148100	148700	149200	149900	150400	150100	149000	148200	148100	148400	148600	149200	150600	152300	153600	155000	156600	158100	158700	159100	160300	161900	162800	163100	163500	164100	165200	166300	167100	167900	168800	169500	169800	170100	170800	172200	173600	174300	174700	175100	175700	176400	177100	177500	178000	179500	181200	183000	185300	188000	190100	191600	192600	193400	194300	195400	196200	197200	198600	199600	199900	200300	201100	202400	204300	207100	211000	215500	219300	221500	223100	224400	226000	227600	230000	232700	234400	235200	237000	238800	239000	238000	237100	237000	237000	237000
