RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,6,37,1,268.0158642,262.5944584,268.5584518,268.6103745,268.1270852,265.9678537,263.8888889,263.4285714,259.3378611,256.17185,253.9252842,247.6415094,244.7552448,245.1664524,245.5357143,243.902439,244.9920869,245.7002457,245.0378085,243.3628319,239.8377707,236.6050261,233.1828537,229.5437729,228.3471248,228.7414966,230.7692308,232.5065385,235.5102041,241.5682062,244.5321519,245.7355242,247.0982451,247.8109298,250,250.9689922,256.980765,261.7769827,274.194412,287.8787879,295.8786982,303.5662651,308.6997194,309.8171744,310.6666667,309.4320776,309.1684435,307.539072,307.4896122,310.3044496,312.7705628,319.9174407,325.9094284,329.1208791,331.9793205,331.1863108,331.7174515,331.125,331.7507418,326.4034905,323.4640003,330.9233449,336.160036,343.75,352.0431323,352.9079616,354.6077942,356.563897,357.1428571,359.3769141,357.6294278,357.6183858,359.7158345,366.6666667,372.102649,376.0445682,378.3437015,383.2822086,384.7758081,384.5630656,384.8160733,385.2703543,384.3482415,382.3529412,384.7294292,387.2822797,395.7317073,401.7751479,405.3015541,405.0633236,404.7691023,405.0362783,405.2224371,407.239819,408.9566929,406.964126,408.1333894,415.9696657,419.1445086,423.408459,426.0089686,428.4859986,428.2728012,427.5921165,427.9033515,430.1608883,430.3720089,426.4018692,426.0404414,428.3088235,432.4893477,435.2657464,436.8932039,439.3939394,441.8534447,441.4007994,444.9492843
Cook County,IL,Chicago-Naperville-Elgin,17,31,2,188.1818182,189.9493243,190.1086957,189.6799795,188.3697813,187.3611111,181.9764328,179.9,173.1590339,174.4750494,171.4932127,163.9308855,159.7826087,157.8942105,157.9425509,157.6058594,158.1151894,157.5936884,154.729388,151.7255334,150.3006012,146.8619918,142.1555448,138.2783617,137.2202591,137.4567474,137.7757353,139.1751172,138.8062253,138.75,133.9161821,132.0377358,129.9614644,127.7541083,127.688172,125.0404305,124.1987339,127.6572921,132.2504706,136.8407934,140.9244645,143.5778787,142.3357664,141.0228934,142.4578253,140.3455609,137.8809869,133.7540865,131.8495239,138.4640167,146.254459,151.814346,156.8354998,158.8540917,158.8886422,157.699867,156.0214095,153.7855237,150.7656613,147.0995671,143.1516262,147.0246238,155.2622745,157.839894,162.6118429,164.5316456,163.7330584,162.2761116,161.7110579,161.0740741,158.5728444,154.6887021,154.0239726,159.9743082,167.9771505,172.86095,176.056338,176.7676768,174.1565041,171.0538823,170.6300813,169.7484277,167.2983675,163.1818182,163.10168,170.0961672,176.4175532,180.4740406,183.25,184.5384615,183.2039195,180.7862291,180.1768053,179.5018113,177.5555556,173.9702303,174.2265643,181.7112299,190.5972046,195.8224543,196.8976765,197.2972973,196.7267094,195.7916667,195.5434783,194.5705086,193.242869,191.2123678,192.7693416,197.8,202.2005005,205.6185606,203.6111111,202.7383367,200,197.4494923,195.8783784
Harris County,TX,Houston-The Woodlands-Sugar Land,48,201,3,75.42976939,76.24755607,76.4774044,76.72592012,76.62835249,76.19047619,75.01066236,74.84227129,75.53835801,74.97793417,75.35164494,74.49767118,73.95020438,73.93202161,74.14521706,73.84194053,74.24780597,74.33886321,73.83759638,73.58636716,72.63922518,73.12358277,72.68740071,72.93963255,72.96954315,72.98543397,73.89162562,74.74657583,75.28248588,75.68089734,75.43418294,75.41988606,75.49317147,75,75.55875541,76.22627999,76.57851817,78.82305845,79.93261104,80.91468777,81.66488794,82.43534483,82.63888889,83.168,83.78116361,85.50917865,85.13973303,85.57733898,86.61346759,89.19722498,90.5514597,92.33182293,93.22564222,93.28888889,93.85918629,95.09062759,96.3266306,97.0165502,98.81355932,100.8827539,103.7357316,105.0176391,105.7975543,107.9995091,105.7377633,103.8212873,106.3348643,106.8454632,107.8088578,109.2335521,108.9965398,110.7647329,111.8496436,109.5517609,110.7927412,110.9222269,110.9596191,111.185006,110.5004605,110.9185442,110.6450063,110.6757813,110.7697868,111.2804878,111.981065,112.7883651,112.9880355,113.6531365,113.5902591,113.222032,112.475157,112.7842755,113.7923673,114.2459855,114.7485656,115.6622396,116.2790698,116.9528371,118.2477829,118.5682327,118.6258278,118.3022322,117.5757243,117.4231277,118.1178141,118.3413666,118.6460808,118.8469558,119.692065,120.1754386,120.7349814,122.178002,122.0684039,122.0639238,121.5469613,121.4749081,121.9625453
Maricopa County,AZ,Phoenix-Mesa-Scottsdale,4,13,4,99.29494712,97.66570135,96.70487106,95.26938239,93.06260575,91.78929479,89.47605074,87.76547418,86.58548452,85.00808098,83.50020886,81.69380948,80.33957541,80.03742938,79.63283685,78.34964524,78.6074672,78.50556439,78.45155694,79.6460177,80.09795191,81.57503715,82.57604206,82.78145695,85.11605359,86.996337,90.13989609,93.94081729,95.8805215,97.42400624,98.43659525,99.93381576,101.308569,103.4034034,105.7055268,107.1094481,109.3834197,111.8881119,114.4518072,116.9972949,119.4205531,120.4610951,120.9369025,120.2848723,121.0625388,122.4489796,122.6868327,122.8923476,124.5247148,125.4480287,126.1980939,126.8686707,126.598153,126.5652341,125.8169935,125.7517769,126.0884266,127.3313832,128.0157558,128.6807716,130.3620086,131.1983471,132.740113,134.5962114,135.0649351,134.858083,132.8653798,134.4476169,135.5294388,137.2422544,138.5603214,139.3040212,140.610945,143.1936399,143.6011937,144.2307692,145.3488372,144.9659942,144.1924365,143.9494832,144.7979565,145.6989374,146.4754692,146.9455195,148.5576923,150.0302186,150.4232804,151.5151515,151.5644745,151.0667042,150.3519202,150.9550216,152.4553571,154.3630262,155.0676484,156.2143672,157.5505351,159.1591592,160.0496274,161.6595745,161.9322548,161.5384981,161.2183343,161.4304933,161.9922631,163.0085441,163.4869737,163.9184397,165.4320988,166.2296679,166.6666667,167.6928649,167.2871115,167.1899645,167.4454829,167.9219144,169.6219772
San Diego County,CA,San Diego-Carlsbad,6,73,5,246.6179159,249.4566821,250.8826586,251.200407,250.7853403,247.7426637,246.5160258,246.090535,240.7996146,236.4192808,234.5102848,230.4572271,227.7224972,226.1185006,223.9583333,224.9209139,226.3257576,225.1782124,223.75,217.8045358,213.6073795,211.3676732,210.282343,209.1397849,208.1128748,207.5502562,208.7852495,209.919638,214.2857143,216.6583604,219.5068664,220.8258528,218.7572394,221.2101496,221.6956126,224.2813592,228.7876719,237.0948379,245.5357143,253.8665833,262.3604466,272.7268182,277.187842,278.1602003,280.0829876,277.2643253,274.0740741,274.3271222,277.7777778,282.243685,286.9376671,290.5264978,294.9435309,296.6666667,296.2336082,296.5779713,295.1821476,292.8841978,292.8333157,290.1086566,290.7034471,294.6650124,299.8001332,302.9950743,308.7628866,303.5208418,315.3310984,316.3348066,317.6265271,316.1317893,316.3375584,318.0077952,319.4321207,322.0581044,325.2130537,326.5139116,328.1548757,329.4829483,331.9291606,331.1428108,331.5161669,331.8425501,329.9278846,330.8633094,333.9794531,334.8276828,338.9955687,342.5312389,346.1333333,346.3206368,347.2222222,347.6865985,348.0747111,348.6020226,348.6666667,349.3870403,353.1247644,356.7351598,359.8680264,362.2782446,374.8218527,376.6993958,375.6637168,377.2965879,376.8844221,372.233743,371.7105263,371.9421691,373.1312098,375.0718174,377.8463914,381.0852532,381.9935353,383.6627907,382.3219923,381.850035,382.8091721
Orange County,CA,Los Angeles-Long Beach-Anaheim,6,59,6,299.92,296.4771538,296.6666667,298.1727575,297.6190476,295.9381044,293.522386,294.2640493,287.8612717,284.5528455,284.0463122,278.8120567,276.2672811,274.1436923,273.6618005,273.4375,272.6529022,272.2850555,270.6283326,269.2760943,266.3770972,263.3941054,260.0849257,257.1703191,256.8410946,257.8125,260.0416233,262.1137214,266.5079432,269.4034638,273.3305682,275.2863436,276.3274062,277.8015601,280.8296704,283.2450681,290.478752,298.7090924,309.6460177,318.2788051,327.6919456,335.0786171,339.0596745,341.9067137,344.0366972,343.545543,343.9759876,343.8498566,345.9637562,348.4455959,349.7698929,352.9743116,354.7849462,356.9500675,356.5053476,356.0128867,358.2943318,357.4836969,357.9813824,357.5079872,357.5149062,360.9571788,362.0599054,364.9815043,367.7144178,370.1692525,372.1212121,374.1604617,374.9995833,375.2938414,374.1734248,377.2563133,379.40704,382.4244147,384.6153846,386.8604258,389.2083149,391.9607843,391.7753919,391.5391539,392.0722135,392.8094885,394.6419461,395.7766749,398.9090909,400.8908686,404.3380752,406.504065,409.1467577,409.256927,411.1832612,412.3931624,413.8785626,414.1444677,415.6033466,417.26094,422.1530249,425.9807378,426.4705882,429.5023697,432.9965358,435.877551,434.6650999,433.3795755,433.8649156,433.5065482,431.9299253,431.5625981,431.0606061,431.159168,433.7335881,434.7826087,434.2354218,434.3933672,434.6534653,433.8996162,434.0190667
Kings County,NY,New York-Newark-Jersey City,36,47,7,415.6047078,414.8073022,400.6410256,398.2670924,402.5079423,402.3069684,399.0909091,393.4642861,409.4326093,412.2905028,409.4326093,411.5068269,409.1530055,393.4354486,404.4918036,402.0572451,405.1306873,399,393.7052658,390.6666667,398.4525591,400.3083248,400.3083248,400.2082744,398.4824903,402.0833333,404.7597598,427.1428571,437.1239525,426.9480519,423.6907687,415.687317,410.6359649,405.3592078,400.1068376,388.3333333,384.6177789,380.7692308,389.9147727,394.2028986,397.0588235,400,390.8333333,389.9147727,404.2717253,403.0955585,420.0863931,403.7287781,403.0966697,392.8571429,398.8888889,406.7995311,434.6879536,452.5151515,453.8922156,453.7301587,454.9450624,473.5639687,468.75,472.555205,521.5054271,516.8132437,530.9128553,548.245614,575.460496,572.2222222,575.0688705,570.952381,597.486413,607.0459128,604.4444901,608.5365854,657.7455544,670.6214123,649.8128884,700.4132231,666.6666667,675,665.3333333,677.5017116,699.2069886,705.1282051,704.7058824,713.3333333,707.2807718,717.199896,728.8083561,735.4749277,757.7132486,768.2591982,760.7555089,745,736.2716863,739.4843962,749.1395548,738.2374907,743.2899195,690,633.9285714,672.2122302,708.6991221,704.2944785,705.6003584,700,709.8662207,715.6160458,713.3675349,712.342437,714.0394089,728.5974499,741.2138981,750,760.0235849,754.2401726,742.1971642,727.9348757,742.2048611
Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.205653,158.1677486,164.4325658,169.0938511,172.4137931,171.8804921,171.1442786,175.5070203,182.0580475,165.3955213,164.1623539,169.1114245,182.4953445,183.2792311,189.9661781,192.9824561,191.0669975,193.9484127,191.7808219,194.4444444,191.7350455,191.7098446,195.4917924,198.2378855,220.1481795,223.1780543,223.5422413,223.8531071,224.3860599,228.368677,209.0016077,210.3102453,229.6847394,231.1756935,235.270858,234.689631,251.5967145,256.1507287,272.1423164,276.6485507,269.5531404,275.3492877,279.5,278.6624204,278.3783784,272.4191889,276.6264026,280.4562269,283.2324767,286.5809021,287.475672,289.6341463,288.8888889,288.6080847,291.6093535,293.3598015,291.8642988,286.0932171,289.1156463,285.7142857,292.3076923,296.7741935,296.6405375,296.0526316,297.2735268,297.8723404,298.1152727,295.3787879,295.0063398,293.3968799,295.3119232,295.3542747,299.5391705,302.4574669,301.6126319,299.875,296.7032967,296.8227425,297.5274725,297.4914188,296.3590178,297.3174367,297.8820914
Dallas County,TX,Dallas-Fort Worth-Arlington,48,113,9,84.65879938,85.05075188,87.61843555,88.89095574,88.4469697,87.8477306,87.4953201,85.70773864,84.56135712,84.42951318,83.64093014,81.07113884,78.91204701,79.29723817,79.85468479,80.42754539,81.76698488,81.28426363,80.50210876,79.24296691,78.25814536,78.90995261,77.83595472,77.0455019,76.41196013,78.42015936,79.45736434,80.37184863,83.20359281,83.19292772,81.73764906,80.49466363,80.29443255,81.22266219,82.07551426,82.04134367,81.3266697,82.66443701,87.59271746,90.1754386,91.69717171,91.56579461,91.46593255,91.29923959,91.91925466,91.70041594,91.61667171,90.84629745,90.48215404,91.563147,95.95598846,98.33348291,101.6066691,97.32287723,98.16712186,102.3136247,99.69339859,100.3048544,100.6944444,102.3403218,103.9255196,105.9900461,111.1111111,113.4818079,112.8223496,112.5827815,110.5510753,110.6322357,112.1799523,113.8633591,114.2857143,114.5936468,114.8971292,117.2512683,123.5245498,127.6686593,129.7391613,130.138769,129.712854,128.4969592,130.5993664,132.2295806,132.8917913,133.4164953,134.6250629,136.4704918,139.1765001,145.1793722,148.2746226,147.2650771,145.3959516,144.0743113,144.5049022,145.477707,145.849022,145.1601538,145.7789447,149.8898164,152.8384279,155.5071562,157.8153241,156.774916,155.4226475,152.1716662,154.7291488,154.7291488,156.5731167,154.8672566,153.500104,155.8238066,159.0817887,163.5708345,163.3673737,162.7179222,159.7207445,157.8907796,158.1923323
Queens County,NY,New York-Newark-Jersey City,36,81,10,,,,,,,332.5450954,326.2848037,322.6539589,328.1686453,326.3762626,320.5128205,321.012557,307.6131687,312.1442125,308.8562092,308.3881579,308.24,306.2574578,304.8854448,302.0032006,298.4122984,288.4615385,286.1690283,284.6146154,284.0909091,290.8333333,299.4467497,305.796309,300.6919778,299.55,296.957672,293.9072165,293.2762836,292.3108974,292.7120669,292.6421405,294.1896118,300.3623188,303.0870078,307.3253074,311.6,315.6894213,318.6868687,323.6550258,318.1818182,318.852459,315.3037383,314.4630227,312.49875,322.0070258,328.7848784,337.0849747,347.2222222,345.9573086,346.9476486,346.9565217,348.3333333,345.4545455,344.8268678,349.0280007,349.8921958,352.6800776,347.3101266,358.5108868,374.375,377.8890871,386.5131579,393.6273534,393.6011905,395.527945,398.5714286,409.7935268,415.2613468,419.9761635,427.7096774,435.2227793,439.8593305,444.9,450,452.1157965,456.7961036,452.3809524,452.0089286,440,446.0264322,459.8039216,474.8413766,489.0552995,497.1428571,493.8174351,492.6035503,491.0714286,491.9490741,493.377193,491.1268556,494.6727549,464.6182495,428.1017771,445.6845238,487.5,499,500,499.1666667,502.1438821,502.2348078,498.8492063,499.3541667,497.1428571,499.1273757,505.0980392,510.7044476,523.5081374,531.8275154,533.7171053,535.7142857,536.1618723
