RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09
Mecklenburg County	NC	Charlotte-Concord-Gastonia	37	119	49	102.2460762	103.1335318	102.7512633	102.8943622	101.941844	101.7665973	100.7979896	98.42519685	98.00071403	96.27575277	95.45454545	93.71894094	92.85714286	92.59259259	93.14334628	93.47831064	93.54207436	93.14140559	93.28358209	92.95877274	92.37846392	92.04850946	91.03013315	90.76442224	90.83833276	92.02271847	93.74287467	94.33440952	94.30041073	94.23901638	93.04820322	93.95973154	93.51620948	93.66566717	93.05071827	93.59230975	93.87602339	98.07323452	100.6711409	103.0384774	103.0752533	102.8356282	101.3779134	101.1682243	101.3735137	101.4237665	100.4634724	99.31624499	97.51852825	98.93837297	101.837966	103.3599779	103.8084247	104.0620709	103.8084247	104.2980252	104.7346369	105.1190422	103.7586047	102.8657855	103.8084247	105.9848485	108.110859	111.3106516	113.4140986	112.757732	113.1581655	113.3240321	112.1509861	114.4774712	114.3960804	113.2771338	117.0699032	121.572526	124.3751998	125.9178359	127.0325203	127.1195032	126.2336392	125.0521921	125.8372536	126.4209439	125.4111857	125.3761821	125.7869041	127.3741075	129.293709	132.8346079	133.4798995	132.3747407	131.458728	130.8372445	133.0810413	135.1926264	134.8358796	134.6738516	136.673623	139.2451484	140.617901	142.3156438	142.7061311	143.023173	142.2579381	142.2055887	143.8160332	143.908867	145.0718531	145.8797796	146.1457109	147.5884244	149.4056956	150.9322285	149.2473118	149.5954804	149.4392523	148.8154319	150.0511764
Wake County	NC	Raleigh	37	183	56	116.572866	116.0202588	115.8580234	115.7473684	115.5143963	114.9665552	113.9737991	113.6817832	113.2464093	112.745098	112.373067	111.6167665	110.4034973	109.7355947	109.6174204	110.257267	110.524552	109.931963	109.8419174	109.8179454	109.4855766	109.2257002	108.8511203	108.4659913	108.373494	108.4483892	109.4570928	109.4246697	109.2605992	109.1636969	108.074982	107.5536821	107.5525813	107.5120385	107.4596774	106.9158784	106.9888627	108.9106985	110.8007149	111.7728055	112.3552607	113.3010049	113.0846828	113.7329287	113.058225	113.3230572	112.5812442	111.7058824	112.275674	113.9437786	114.6216034	115.4623709	116.478246	116.5207053	116.6227747	117.5860596	117.6859206	117.877095	117.2075149	116.8914039	117.2955042	118.0821147	119.5127505	122.3960302	123.6603462	124.3391214	124.6730602	125.4420993	124.9107143	125.2618349	125.5699754	125	125.6448258	127.1129394	128.90625	130.3241548	131.2964999	131.3559322	132.0200681	132.4965132	132.6404246	132.7914414	133.1732052	133.6725254	133.9031339	135.4367951	136.5043241	138.4714528	139.3432853	138.3589744	137.8577961	138.081945	138.4844062	139.2519153	139.4998371	139.6246842	140.7807598	141.5217391	143.1011483	144.3468296	145.4940645	146.1200586	145.6991439	144.7105788	145.1606898	145.3966714	145.4197499	145.4575893	145.8967851	146.3414634	147.0966619	148.5144312	149.3804665	149.4579514	149.8341461	149.9593304	150.0910747
Guilford County	NC	Greensboro-High Point	37	081	135	92.4978185	92.84662999	93.48739496	92.37445228	92.57513123	92.27799228	91.74311927	91.64983149	91.14471374	90.38461538	90.26524268	88.95893851	88.28254645	86.91329224	86.88203622	87.39309785	88.36126629	88.22807594	87.39353682	87.26138664	86.97771588	86.61216147	86.12305009	85.36585366	85	85	85.38899431	86.56167979	86.86055054	85.76807154	84.61021505	84.59323254	83.47350715	83.96641343	82.23684211	82.25706941	83.13856427	84.68468468	86.4408196	87.31656184	88.08931485	89.03668183	88.34254144	87.32702112	87.46658969	86.72194083	86.36001189	85.95038435	86.7988176	87.45806252	88.61209964	89.49511401	90.4204364	90.34653465	90.58704453	90.47939454	89.70574837	88.78729702	89.41005803	89.18380519	89.28571429	89.45064775	90.47044632	91.73719271	93.79517623	94.09669211	93.3986388	92.18437784	92.19199577	92.48788734	92.32356356	92.18441429	91.62624457	92.36793696	94.60729932	96.04747542	96.99343271	97.36161701	96.95640255	95.85341091	95.49990612	96.28955021	95.49343154	95.20798645	95.60211398	95.14369256	96.49318702	99.92307692	100.2125216	100.3945481	100.7902709	100.6152125	100.3618773	100.7971864	100.4592423	100.4713276	100.2380952	101.351808	103.8447851	105.2029911	103.7055336	105.5084592	105.6352726	105.7646175	105.8287796	105.3536549	104.8558454	105.3165781	105.1283309	107.2821847	108.4201389	109.375	108.8139282	108.673913	108.6956522	107.884487	108.4435454
Forsyth County	NC	Winston-Salem	37	067	183	97.08560326	97.52925878	98.07288017	97.83580369	97.66572638	97.33470015	96.68683906	96.02763385	94.65891063	94.22634982	93.9047619	92.11130751	91.29765886	91.95116551	91.88191882	92.3816568	92.48024601	91.4379085	90.95378564	91.56519973	91.47254277	89.45331398	88.2034632	87.02879284	86.82273421	88.03524511	90.34443817	91.34615385	90.98479985	89.21651786	89.28571429	89.23615511	88.86083153	88.86278475	89.12009512	88.83089879	88.52980706	88.87025855	90	90.83333333	91.25	90.50249197	89.6965866	90.6904418	91.10077752	90.30239071	89.49725411	89.7119231	89.81731057	92.07579673	93.52941176	95.01689189	94.92217628	94.37596302	93.10106933	91.54929577	91.49326805	90.601927	90.89090909	90.12445253	91.36617572	92.20430108	92.05001917	92.52094356	94.9	94.03178722	93.7921078	93.06803594	90.19167001	91.84339315	92.28212703	90.03003003	90.69020867	94.01709402	95.39930556	97.45862036	97.96159875	98.80515362	98.46243535	97.39130435	97.21608484	97.36868769	95.74466942	97.16667054	95.66606546	98.18028082	98.65515824	102.7570093	103.5885167	103.6860202	102.4200035	101.8341094	101.8629808	102.0875066	102.2045855	102.8737013	101.0446261	101.6009852	105.022981	106.1929596	105.7478772	105.9981684	106.3041765	107.1479628	107.9828293	107.327888	107.2610465	107.0899087	106.6375653	108.8306452	110.2113971	112.8364389	114.0213363	115.3290722	114.9802891	114.9526539	114.9645909
Cumberland County	NC	Fayetteville	37	051	198	91.24906366	91.33932797	91.66906339	91.79395989	91.94950658	91.78713078	91.82721183	92.72011805	91.83256764	91.47104851	91.91815857	90.73846154	90.10600707	90.92967776	90.572395	90.99409449	91.25318066	90.63444109	90.21276596	90.01547779	89.46963874	89.70323741	89.04567572	87.99261084	88.09990206	87.57297748	89.11739503	88.24870434	88.34586466	87.52515091	87.29496558	86.85064935	85.63142591	86.68051335	85.01890508	85.52068474	85.21804472	84.92569002	85.02977034	85.68479179	85.53546592	85.10502864	84.93253373	84.93835388	83.72197776	83.33333333	83.41013727	85.71759233	83.33333333	82.82303866	83.24561404	83.37515684	83.05613306	83.36113428	82.64015591	82.4815189	81.96721311	81.52065217	81.11398008	81.22543251	81.79175725	82.40699881	82.41758242	83.3950346	84.11654135	84.36695191	83.64633812	83.31788693	83.94024276	83.53973168	83.37996642	83.54323332	83.60107095	83.40971586	83.90333544	84.81797057	84.66898955	85.32423208	85.16483516	84.74359308	83.84798046	82.83898305	82.22248075	82.3878628	83.57142857	84.3871308	85.33756843	85.78431373	85.46447791	86.27525253	85.9766624	85.65834557	85.14712602	85.21970706	85.65866294	85.86147682	85.63900677	85.8609426	85.61585671	86.61394392	86.39937107	86.81217338	86.93089857	86.97007481	87.20730798	86.95652174	87.01504355	87.08486347	87.97669348	88.87043189	89.72911964	91.27464573	91.26290707	91.37658228	91.41889525	91.43968872	90.63357557
Durham County	NC	Durham-Chapel Hill	37	063	243	106.0456916	106.285499	107.4463428	107.4898035	106.3660232	106.1861482	105.6163022	104.6324745	103.9358687	103.1496063	102.607987	101.6330811	101.1560694	101.0784093	101.8623901	102.000772	101.856777	100.7503618	100.1997063	99.90652174	99.00914634	97.54425647	96.80726604	95.90207914	95.5994898	97.39107603	99.82638889	99.73892649	98.7006237	96.69354839	96.48064687	96.30477736	95.50607703	95.27014532	95.55047777	95.04280614	96.4016352	98.76992234	101.8944832	102.3109937	101.7493639	101.7493639	101.4662608	101.6761159	101.5216719	101.9351464	101.9964445	102.1846371	102.3351648	104.1626182	105.7471264	106.2994419	106.4015883	104.7625854	106.1060445	105.2631579	105.9628825	106.6	106.5970551	107.0098598	108.7532206	109.3920952	110.6572893	111.6682177	111.856758	111.8188449	111.3931595	112.602148	112.5895599	113.5949423	113.915737	113.2988039	113.8408316	114.9886435	115.9834763	117.9831098	119.5067265	120.8274565	121.1092952	120.1923077	119.8441994	119.9238111	120.6679894	120.7849742	122.6076555	124.6383308	126.462116	126.4325104	127.2786037	128.9632561	130.1389358	130.0431568	130.7692308	133.8329764	134.740982	135.9693878	136.2403101	138.5731707	140.4007231	141.3810489	142.2987192	141.8386828	141.2886259	141.5636572	143.3512064	144.6416831	145.7074946	147.6377953	149.1915423	149.9483393	148.7103175	148.1040591	148.2337549	151.2357064	152.0318506	152.4550537	151.4171833
Buncombe County	NC	Asheville	37	021	267	153.7692308	151.9230769	150.8097166	150.4565153	151.2179487	151.1903697	151.6101695	148.3516484	145.4545455	146.4016293	144.7397046	143.3462293	141.0980392	140.5478733	140.821256	140.3061224	141.7689378	140.8067106	140.5431158	140.8912189	140.8681446	140.0771165	139.4281383	138.4803922	137.5431034	139.2934048	139.3083293	140.1136765	139.3188854	140.4931809	140.3656821	138.7962963	138.8888889	138.5804216	138.3301708	137.5	137.2673698	136.9417029	137.8719506	139.395667	140.4991948	142.1235582	141.9753086	141.9760099	140.9598214	140.2733119	140.7225028	140.2421652	139.1417783	140.1784432	140.7446732	142.755102	145.4416379	148.3732916	147.5930972	148.2103679	148.9142469	148.7103175	149.8962656	149.113045	150.6473214	151.2158055	151.9069166	154.050439	155.7768809	157.5536185	158.1438581	159.040404	159.6966678	162.6297578	163.1255127	164.2873657	165.2792052	166.0493827	167.9258242	170.3269888	172.829582	173.4183673	175.1571751	176.3342079	175.2368783	176.2820513	177.662082	179.7498045	179.809789	181.1076605	183.4325397	185.1190476	187.2927324	189.3153527	190.4910854	189.5238095	192.9551122	196.9906432	196.2209302	198.430296	200.3674491	200.9727626	204.8100026	208.1088235	209.3632959	210.6155675	211.1363629	209.8321343	211.0367729	210.0981407	209.6937698	209.5523239	209.5367495	209.8336496	210.6361118	211.7710625	213.6752137	210.4862968	210.8956985	211.2211221	214.2098637
Gaston County	NC	Charlotte-Concord-Gastonia	37	071	295	83.68606702	84.03913149	84.76190476	84.88899445	84.4924812	84.10626536	83.80103137	83.33333333	83.06493506	82.2012236	81.63265306	81.11194913	79.57559682	78.79818594	78.18047337	77.30988968	77.58604786	77.49458687	77.20979766	77.51937984	76.43654098	76.46302251	76.93704641	76.04477612	75.3968254	75.75	75.90260448	75.98784195	76.84081197	76.07361532	75.3968254	76.49318896	76.40886489	76.84294872	76.85897436	76.04748603	75.79013906	78.31169939	79.6212325	81.89655172	82.87752675	83.12975647	81.81751606	81.82140983	81.22326775	82.10834608	80.5875576	79.88011349	79.02144772	77.44521646	78.56259102	79.97817804	81.36696501	82.95019157	83.1758034	83.73239437	83.85475987	83.87419395	84.42615459	83.73239437	83.33570919	84.75056689	84.60438513	84.80536858	84.73815461	85.36455076	86.61647399	86.57770781	84.17508418	84.18947975	85.79920418	83.39621472	86.83978807	87.2815534	86.92261548	89.54703833	91.70108505	93.43852302	93.91298713	92.46586075	91.59928122	94.4529107	92.60692034	94.42649435	90.84302326	91.13391655	92.5888133	98.36439371	99.37888199	99.97845756	101.1732012	101.366843	100.9036145	102.8074338	101.3824885	100.7961783	102.7483677	104.1330645	106.3686411	106.5146669	108.4306457	109.0277778	109.4917392	110.9526054	111.1685978	111.230989	112.3097583	113.871308	115.2119988	115.4597956	116.7350866	120.683972	120.959596	122.0238095	122.0126021	121.2454321	121.8729955
New Hanover County	NC	Wilmington	37	129	300	144.3965517	143.013468	144.2286349	142.3929632	141.7808219	140.1851348	138.8888889	137.7991453	135.8976207	133.6020781	131.7987964	130.9482141	128.7980946	127.4193548	127.6667869	125.6261905	125.1222353	125.4880089	123.8377008	123.8272759	123.5093697	123.0765578	121.6521739	121.4230394	121.8886844	122.0993994	121.7125382	123.2201903	121.9508384	123.6538056	122.3302439	122.2424989	121.2898752	120.7081545	120.410933	120.9005298	120.6400171	121.5805471	123.8423185	125.9033267	126.9760326	129.2246521	128.4554575	126.3537906	127.7139365	125.3788923	126.1997947	126.2265512	126.0959471	127.2624434	129.0556591	130.743311	131.2438464	124.9371859	124.2942677	123.2384824	123.7600436	124.4019139	121.9230769	121.2816058	121.6004184	121.4520965	123.1894936	125.5813953	125.9328358	126.7281106	128.3355699	129.178633	128.8555195	131.3298465	130.5251733	134.8404255	133.9969372	133.9095707	135.6358031	138.5256446	139.1585754	138.5568379	138.6196979	138.8095238	139.1647332	141.0948916	141.5571284	142.9633867	143.8273986	144.980916	145.9607196	146.5648855	147.6793249	147.5794838	147.6858163	147.8405316	149.8991344	148.0211904	148.0211904	148.2030548	149.3533584	149.3186015	151.4349438	152.9050265	153.2797858	153.5837501	153.4800409	153.6993366	154.5564031	155.1090568	156.4332604	156.7258883	157.0797701	159.5371313	158.3129584	159.9664269	159.792922	159.3137255	159.8214286	161.3938053	164.0237894
Union County	NC	Charlotte-Concord-Gastonia	37	179	301	105.0585737	104.792107	103.7099494	103.3834586	102.5154799	102.402746	101.5521064	101.2560778	100.390625	98.86025768	98.89649924	97.95630726	96.59206511	95.77844553	96.39920612	96.64391354	96.51008514	95.76250153	95.08632385	94.52182386	93.36099585	92.83058278	92.70017589	91.71388677	91.49535342	90.85697979	93.37828582	93.69951535	93.93162393	95.10566023	94.11255013	93.16542832	92.54943695	92.09141691	92.37987864	92.67059815	93.69300912	95.82149558	96.28759398	97.96186719	99.86939821	100.0700743	101.6082342	101.7293998	101.9546745	102.1913317	102.3099134	102.1611052	100.9417065	100.4242681	98.53684491	100.4242681	100.8342246	100.8342246	100.5076142	102.4159166	103.8577236	105.4118981	103.1535514	101.8552201	100.9592084	104.8040204	106.127451	107.6941926	109.375	108.90929	106.9847931	107.7974205	106.6502463	108.955495	109.2976808	109.4974874	111.1555432	114.1617177	115.7097056	116.6567615	118.2004529	119.0485017	119.5652174	119.9280411	119.2368839	119.5451285	118.5609158	119.9151438	120.6518451	121.4278335	122.5909627	124.7899924	125.202921	125.4052026	125.7631269	125.7622738	126.8907982	126.5706091	126.9763648	128.7179487	127.9426817	129.9432082	131.4158258	131.6984191	132.5798674	131.8006431	131.8242344	131.76271	131.5789474	132.3774141	132.4884793	131.3205723	131.2393888	131.9447395	133.2119047	136.2133752	137.2245391	136.8114961	136.8356404	137.2671285	136.7165575
