	GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Estimated_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type
0	37001	Alamance County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990.0	61496.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
1	37003	Alexander County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	16045.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
2	37005	Alleghany County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	4851.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
3	37007	Anson County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	11754.916666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
4	37009	Ashe County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	11378.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
5	37011	Avery County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	7310.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
6	37013	Beaufort County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990.0	20566.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
7	37015	Bertie County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990.0	9038.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
8	37017	Bladen County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990.0	13465.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
9	37019	Brunswick County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990.0	24702.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
10	37021	Buncombe County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990.0	91530.33333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
11	37023	Burke County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	41929.333333333336		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
12	37025	Cabarrus County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	55386.58333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
13	37027	Caldwell County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	40308.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
14	37029	Camden County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	2821.916666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
15	37031	Carteret County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	25637.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
16	37033	Caswell County, NC	Piedmont-Triad	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	10202.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
17	37035	Catawba County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	71445.66666666669		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
18	37037	Chatham County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990.0	22069.33333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
19	37039	Cherokee County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	9502.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
20	37041	Chowan County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	6205.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
21	37043	Clay County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	3241.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
22	37045	Cleveland County, NC	Southwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990.0	45805.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
