Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",8116,6600,423,736,36,27,294
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",71125,53553,15185,290,989,26,1082
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",79241,60153,15608,1026,1025,53,1376
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",8523,6969,425,782,41,17,289
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",63367,48320,12893,259,859,30,1006
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",71890,55289,13318,1041,900,47,1295
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",16639,13569,848,1518,77,44,583
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",134492,101873,28078,549,1848,56,2088
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",151131,115442,28926,2067,1925,100,2671
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",8109,6594,422,736,36,27,294
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",71145,53578,15182,290,990,26,1079
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",79254,60172,15604,1026,1026,53,1373
