Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US37,37,North Carolina,372385,306402,30519,17301,3066,2188,12909
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US37,37,North Carolina,4517606,3193471,1078687,56405,109311,2699,77033
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US37,37,North Carolina,4889991,3499873,1109206,73706,112377,4887,89942
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US37,37,North Carolina,427735,356225,31125,20917,3494,2677,13297
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US37,37,North Carolina,4217757,3042198,948031,52943,100081,2745,71759
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US37,37,North Carolina,4645492,3398423,979156,73860,103575,5422,85056
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US37,37,North Carolina,800120,662627,61644,38218,6560,4865,26206
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US37,37,North Carolina,8735363,6235669,2026718,109348,209392,5444,148792
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US37,37,North Carolina,9535483,6898296,2088362,147566,215952,10309,174998
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US37,37,North Carolina,372385,306402,30519,17301,3066,2188,12909
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US37,37,North Carolina,4517741,3193562,1078728,56407,109310,2699,77035
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US37,37,North Carolina,4890126,3499964,1109247,73708,112376,4887,89944
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0400000US37,37,North Carolina,427736,356226,31125,20917,3494,2677,13297
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0400000US37,37,North Carolina,4217874,3042259,948085,52943,100081,2745,71761
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US37,37,North Carolina,4645610,3398485,979210,73860,103575,5422,85058
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0400000US37,37,North Carolina,800121,662628,61644,38218,6560,4865,26206
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0400000US37,37,North Carolina,8735615,6235821,2026813,109350,209391,5444,148796
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0400000US37,37,North Carolina,9535736,6898449,2088457,147568,215951,10309,175002
est72010,1-Jul-10,female,Female,hisp,Hispanic,0400000US37,37,North Carolina,375455,309165,30643,17336,3079,2197,13035
est72010,1-Jul-10,female,Female,nhisp,Not Hispanic,0400000US37,37,North Carolina,4528754,3199034,1082043,56571,110563,2711,77832
est72010,1-Jul-10,female,Female,tothisp,Total,0400000US37,37,North Carolina,4904209,3508199,1112686,73907,113642,4908,90867
est72010,1-Jul-10,male,Male,hisp,Hispanic,0400000US37,37,North Carolina,431048,359118,31363,20938,3512,2680,13437
est72010,1-Jul-10,male,Male,nhisp,Not Hispanic,0400000US37,37,North Carolina,4239036,3056414,952256,53184,101570,2803,72809
est72010,1-Jul-10,male,Male,tothisp,Total,0400000US37,37,North Carolina,4670084,3415532,983619,74122,105082,5483,86246
est72010,1-Jul-10,totsex,Both Sexes,hisp,Hispanic,0400000US37,37,North Carolina,806503,668283,62006,38274,6591,4877,26472
est72010,1-Jul-10,totsex,Both Sexes,nhisp,Not Hispanic,0400000US37,37,North Carolina,8767790,6255448,2034299,109755,212133,5514,150641
est72010,1-Jul-10,totsex,Both Sexes,tothisp,Total,0400000US37,37,North Carolina,9574293,6923731,2096305,148029,218724,10391,177113
est72011,1-Jul-11,female,Female,hisp,Hispanic,0400000US37,37,North Carolina,385834,316854,31826,17745,3442,2319,13648
