Region Code	Region Name	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
37001	Alamance County, NC	29.6	30.2	30.299999999999997	30.9	31.099999999999998	30.700000000000003	31.2	32.4	33.0	34.1
37003	Alexander County, NC	19.7	19.9	20.099999999999998	19.900000000000002	20.099999999999998	21.1	21.4	22.2	23.6	25.799999999999997
37005	Alleghany County, NC	23.0	23.6	25.400000000000002	24.099999999999998	29.3	27.1	27.4	28.4	28.6	25.2
37007	Anson County, NC	13.600000000000001	15.600000000000001	16.700000000000003	15.799999999999999	17.3	18.099999999999998	17.5	17.0	17.3	18.299999999999997
37009	Ashe County, NC	24.200000000000003	24.6	26.2	27.9	29.199999999999996	28.5	29.1	29.5	31.099999999999998	30.2
37011	Avery County, NC	30.9	30.6	29.6	30.300000000000004	29.1	28.8	26.9	26.5	28.0	28.6
37013	Beaufort County, NC	25.9	27.8	28.1	27.4	27.8	28.099999999999998	27.6	29.1	30.2	30.800000000000004
37015	Bertie County, NC	15.899999999999999	16.9	17.8	17.8	17.2	18.3	16.900000000000002	18.8	19.5	20.7
37017	Bladen County, NC	19.799999999999997	18.7	18.5	20.299999999999997	19.5	21.2	23.3	24.8	24.0	24.199999999999996
37019	Brunswick County, NC	30.1	32.300000000000004	32.9	34.1	34.9	35.3	36.0	37.1	38.2	39.199999999999996
37021	Buncombe County, NC	38.9	39.6	40.8	41.1	42.3	43.5	44.2	44.6	47.0	47.9
37023	Burke County, NC	23.799999999999997	24.5	25.5	26.5	26.5	27.299999999999997	27.7	28.0	28.1	28.1
37025	Cabarrus County, NC	32.4	33.8	34.199999999999996	34.6	34.5	35.9	36.9	38.400000000000006	39.400000000000006	41.0
37027	Caldwell County, NC	21.1	20.9	22.400000000000002	21.5	21.400000000000002	22.1	22.5	22.9	24.5	25.2
37029	Camden County, NC	27.299999999999997	28.400000000000002	30.799999999999997	30.200000000000003	31.999999999999996	33.9	36.9	34.9	31.9	31.9
37031	Carteret County, NC	33.6	33.2	32.6	33.7	33.5	34.8	36.4	37.2	37.8	40.099999999999994
37033	Caswell County, NC	17.8	18.1	16.5	17.4	16.3	17.9	18.7	20.6	22.4	25.9
37035	Catawba County, NC	27.5	28.4	28.8	30.0	30.799999999999997	31.400000000000002	31.7	31.799999999999997	32.1	33.0
37037	Chatham County, NC	40.0	41.3	43.199999999999996	43.2	42.9	42.8	44.0	46.0	47.599999999999994	49.400000000000006
37039	Cherokee County, NC	25.599999999999998	26.5	26.0	25.6	26.000000000000004	26.9	27.4	29.1	30.6	31.0
37041	Chowan County, NC	22.2	21.4	23.6	25.299999999999997	27.7	29.0	29.4	28.3	28.8	28.200000000000003
37043	Clay County, NC	26.500000000000004	26.5	27.8	28.799999999999997	30.400000000000002	29.2	31.1	31.400000000000002	33.0	32.5
37045	Cleveland County, NC	23.999999999999996	24.5	25.7	25.8	27.1	27.0	27.0	27.3	27.5	28.1
37047	Columbus County, NC	21.4	22.200000000000003	21.599999999999998	21.900000000000002	22.6	22.8	22.099999999999998	22.2	23.1	22.5
37049	Craven County, NC	31.5	31.4	31.300000000000004	32.0	31.8	32.2	32.800000000000004	33.8	35.3	36.0
37051	Cumberland County, NC	31.500000000000004	32.3	32.4	33.2	33.4	33.7	34.300000000000004	35.2	35.099999999999994	36.099999999999994
37053	Currituck County, NC	21.1	23.700000000000003	24.400000000000002	25.6	26.799999999999997	28.7	30.6	31.6	32.2	33.6
37055	Dare County, NC	38.9	39.8	39.2	38.4	38.0	37.0	38.099999999999994	37.8	39.400000000000006	43.1
37057	Davidson County, NC	23.599999999999998	25.3	24.8	25.1	26.0	26.6	27.599999999999998	27.7	28.200000000000003	28.799999999999997
37059	Davie County, NC	29.099999999999998	32.1	31.9	33.1	34.0	35.300000000000004	33.5	32.8	33.5	33.2
37061	Duplin County, NC	18.900000000000002	18.400000000000002	19.0	19.599999999999998	18.5	18.8	19.9	19.400000000000002	19.900000000000002	20.5
37063	Durham County, NC	50.2	50.599999999999994	50.8	51.2	51.2	51.7	51.900000000000006	53.300000000000004	53.6	54.2
37065	Edgecombe County, NC	17.6	17.599999999999998	18.2	18.5	18.200000000000003	19.0	19.6	19.900000000000002	20.900000000000002	22.2
37067	Forsyth County, NC	37.8	38.3	38.6	38.7	39.1	39.8	40.599999999999994	41.5	42.0	42.0
37069	Franklin County, NC	23.1	24.6	24.3	24.599999999999998	26.800000000000004	28.200000000000003	29.499999999999996	30.8	31.8	30.9
37071	Gaston County, NC	25.5	26.799999999999997	26.6	26.5	26.900000000000002	27.5	27.9	29.2	30.0	30.6
37073	Gates County, NC	19.4	18.4	19.599999999999998	21.599999999999998	21.7	22.099999999999998	23.4	24.699999999999996	27.1	27.2
37075	Graham County, NC	19.599999999999998	21.599999999999998	19.7	19.099999999999998	20.2	23.2	19.3	19.1	20.1	20.5
37077	Granville County, NC	23.0	23.3	24.6	24.799999999999997	26.4	27.0	27.0	29.099999999999998	30.5	31.700000000000003
37079	Greene County, NC	20.8	18.3	21.0	21.8	22.6	20.7	20.7	19.9	20.2	20.3
37081	Guilford County, NC	38.9	39.1	39.5	39.7	40.2	41.0	41.599999999999994	42.0	43.1	43.8
37083	Halifax County, NC	19.2	19.1	19.0	19.9	19.8	20.5	21.4	22.400000000000002	21.6	22.3
37085	Harnett County, NC	26.5	26.6	27.1	27.6	28.499999999999996	28.9	29.6	29.599999999999998	31.200000000000003	31.6
37087	Haywood County, NC	30.700000000000003	31.5	32.5	32.6	33.9	35.4	36.3	36.099999999999994	37.3	38.3
37089	Henderson County, NC	35.5	36.3	36.9	37.1	37.099999999999994	37.099999999999994	37.5	38.6	40.3	41.7
37091	Hertford County, NC	21.9	23.4	23.1	24.0	23.599999999999998	23.700000000000003	23.5	24.1	24.1	23.8
37093	Hoke County, NC	24.8	25.2	27.5	28.099999999999998	29.0	29.8	30.700000000000003	28.8	29.1	29.9
37095	Hyde County, NC	17.900000000000002	18.299999999999997	15.7	20.3	20.799999999999997	19.1	17.9	17.1	16.3	17.1
37097	Iredell County, NC	28.4	30.0	31.799999999999997	32.5	33.6	34.9	36.099999999999994	35.7	36.900000000000006	38.0
37099	Jackson County, NC	34.7	35.2	35.5	35.9	37.0	38.7	38.6	39.3	40.400000000000006	41.699999999999996
37101	Johnston County, NC	28.6	29.4	30.400000000000002	30.299999999999997	31.300000000000004	31.300000000000004	31.5	32.6	33.8	34.4
37103	Jones County, NC	18.3	18.8	22.599999999999998	23.0	22.7	24.1	22.6	23.400000000000002	22.0	20.2
37105	Lee County, NC	28.1	28.2	28.9	29.9	29.5	29.900000000000002	31.099999999999998	31.799999999999997	32.6	33.3
37107	Lenoir County, NC	23.099999999999998	23.4	23.700000000000003	23.400000000000002	23.7	23.9	23.5	24.5	24.8	25.9
37109	Lincoln County, NC	25.0	26.799999999999997	28.500000000000004	28.7	28.9	29.700000000000003	29.6	29.1	29.6	31.0
37113	Macon County, NC	29.300000000000004	28.2	28.0	28.700000000000003	29.5	31.7	32.7	33.6	32.6	33.6
37115	Madison County, NC	25.9	27.0	25.5	27.2	29.1	28.4	31.000000000000004	34.1	34.9	35.6
37117	Martin County, NC	20.299999999999997	21.2	22.7	21.900000000000002	22.0	23.2	23.099999999999998	25.200000000000003	25.3	26.299999999999997
37111	McDowell County, NC	23.599999999999998	24.0	24.400000000000002	24.3	23.6	23.4	23.700000000000003	25.3	27.5	29.0
37119	Mecklenburg County, NC	48.4	47.7	48.1	47.900000000000006	48.1	48.8	49.699999999999996	50.699999999999996	51.8	52.7
37121	Mitchell County, NC	22.7	22.700000000000003	22.299999999999997	25.4	26.200000000000003	27.1	27.299999999999997	27.7	28.6	28.8
37123	Montgomery County, NC	20.4	22.799999999999997	23.8	23.699999999999996	25.1	24.8	24.699999999999996	24.099999999999998	23.599999999999998	24.1
37125	Moore County, NC	37.2	40.1	40.4	42.0	43.1	43.7	43.5	44.800000000000004	46.3	47.2
37127	Nash County, NC	27.200000000000003	27.099999999999998	27.0	26.9	26.8	26.7	28.4	28.9	29.900000000000002	30.9
37129	New Hanover County, NC	44.800000000000004	45.4	45.7	46.5	46.4	46.8	46.599999999999994	47.400000000000006	48.3	49.1
37131	Northampton County, NC	18.7	18.5	18.400000000000002	16.3	17.1	20.2	21.1	21.0	22.3	22.4
37133	Onslow County, NC	26.700000000000003	27.2	27.700000000000003	28.300000000000004	28.0	28.4	29.3	29.6	30.5	32.0
37135	Orange County, NC	59.7	60.0	60.099999999999994	60.5	61.2	62.0	62.599999999999994	63.6	63.6	64.1
37137	Pamlico County, NC	25.1	26.699999999999996	29.799999999999997	28.0	28.299999999999997	30.0	29.5	29.2	29.200000000000003	29.900000000000002
37139	Pasquotank County, NC	29.1	28.6	29.0	30.700000000000003	30.1	27.700000000000003	28.300000000000004	27.9	29.4	30.3
37141	Pender County, NC	25.200000000000003	26.2	28.0	28.499999999999996	30.8	30.6	30.7	33.1	36.0	36.7
37143	Perquimans County, NC	23.0	24.4	24.5	24.8	26.7	25.4	25.9	26.3	29.9	30.3
37145	Person County, NC	22.499999999999996	22.9	23.599999999999998	23.900000000000002	24.1	23.900000000000002	24.700000000000003	25.1	26.7	27.3
37147	Pitt County, NC	37.8	37.5	37.3	38.0	38.5	39.6	40.7	41.1	42.9	43.8
37149	Polk County, NC	32.7	35.2	34.8	33.3	35.9	39.4	40.5	41.8	42.7	41.8
37151	Randolph County, NC	20.2	20.299999999999997	21.9	22.4	22.9	23.6	24.5	24.6	25.1	25.700000000000003
37153	Richmond County, NC	20.0	17.900000000000002	20.1	20.700000000000003	21.0	22.9	22.8	22.700000000000003	22.999999999999996	23.5
37155	Robeson County, NC	18.6	18.5	18.8	20.0	20.099999999999998	20.3	20.900000000000002	21.2	21.400000000000002	22.299999999999997
37157	Rockingham County, NC	19.6	19.6	20.700000000000003	20.7	21.4	21.599999999999998	22.4	22.5	23.6	24.2
37159	Rowan County, NC	24.799999999999997	25.099999999999998	25.9	25.6	26.299999999999997	27.2	28.2	28.199999999999996	28.700000000000003	29.299999999999997
37161	Rutherford County, NC	24.099999999999998	24.5	24.9	26.0	27.8	27.099999999999998	27.099999999999998	27.9	28.500000000000004	28.7
37163	Sampson County, NC	19.900000000000002	20.6	20.799999999999997	21.1	20.7	19.700000000000003	20.299999999999997	20.7	21.8	22.700000000000003
37165	Scotland County, NC	22.400000000000002	20.900000000000002	21.5	22.299999999999997	21.7	23.199999999999996	24.8	23.9	24.5	24.400000000000002
37167	Stanly County, NC	23.6	23.799999999999997	23.8	24.9	25.0	25.5	26.1	26.9	27.799999999999997	27.4
37169	Stokes County, NC	16.6	16.8	17.3	18.9	19.8	21.099999999999998	22.599999999999998	23.3	23.3	23.0
37171	Surry County, NC	22.700000000000003	23.800000000000004	23.700000000000003	23.6	24.4	25.0	25.5	26.5	27.9	28.5
37173	Swain County, NC	29.800000000000004	28.900000000000002	29.7	30.0	26.6	24.200000000000003	25.599999999999998	24.2	24.4	25.6
37175	Transylvania County, NC	37.4	35.900000000000006	37.2	36.7	37.7	38.400000000000006	38.099999999999994	37.599999999999994	38.2	39.599999999999994
37177	Tyrrell County, NC	16.400000000000002	16.0	16.0	15.9	14.0	14.0	13.799999999999999	13.1	13.9	18.7
37179	Union County, NC	34.5	37.1	37.9	38.8	40.2	40.099999999999994	41.7	42.099999999999994	42.599999999999994	43.3
37181	Vance County, NC	18.5	17.5	18.0	17.7	18.2	20.5	19.9	20.4	21.599999999999998	22.8
37183	Wake County, NC	55.4	55.5	56.0	55.9	56.1	56.6	57.099999999999994	58.199999999999996	59.0	60.099999999999994
37185	Warren County, NC	21.4	22.300000000000004	21.700000000000003	20.1	20.7	21.6	21.5	22.400000000000002	23.6	22.900000000000002
37187	Washington County, NC	19.1	19.3	20.200000000000003	22.0	21.700000000000003	20.5	22.6	18.2	18.1	20.2
37189	Watauga County, NC	42.5	44.3	47.5	46.400000000000006	46.2	45.8	46.6	46.5	49.8	50.1
