GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Estimated_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type
37001	Alamance County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990	61496.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37003	Alexander County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	16045.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37005	Alleghany County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	4851.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37007	Anson County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	11754.916666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37009	Ashe County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	11378.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37011	Avery County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	7310.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37013	Beaufort County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990	20566.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37015	Bertie County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990	9038.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37017	Bladen County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990	13465.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37019	Brunswick County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990	24702.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37021	Buncombe County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990	91530.33333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37023	Burke County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	41929.333333333336		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37025	Cabarrus County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	55386.58333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37027	Caldwell County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	40308.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37029	Camden County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	2821.916666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37031	Carteret County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	25637.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37033	Caswell County, NC	Piedmont-Triad	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	10202.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37035	Catawba County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	71445.66666666669		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37037	Chatham County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990	22069.33333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37039	Cherokee County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	9502.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37041	Chowan County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	6205.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37043	Clay County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	3241.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37045	Cleveland County, NC	Southwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990	45805.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37047	Columbus County, NC	South Central	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990	22215.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37049	Craven County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	33728.833333333336		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37051	Cumberland County, NC	South Central	Cumberland County	FRED_LFN_00000	Civilian Labor Force by County	1990	103547.08333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37053	Currituck County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	7003.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37055	Dare County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	14153.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37057	Davidson County, NC	Piedmont-Triad	DavidsonWorks, Inc.	FRED_LFN_00000	Civilian Labor Force by County	1990	73052.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37059	Davie County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	15741.666666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37061	Duplin County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	19857.83333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37063	Durham County, NC	North Central	Durham	FRED_LFN_00000	Civilian Labor Force by County	1990	102027.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37065	Edgecombe County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990	28251.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37067	Forsyth County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	145660.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37069	Franklin County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	18842.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37071	Gaston County, NC	Southwest	Gaston County	FRED_LFN_00000	Civilian Labor Force by County	1990	95440.66666666669		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37073	Gates County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	4080.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
