,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,5934062,6276583,6511665,6964970,7529046,8340463,9102511,9189241,8636427,9538772,10447578,11464088,11721957,12727341,13078767,13656829,14571886,15146406,16039042
1,37001,"Alamance, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,96326,103684,91396,95846,97012,111845,119177,120272,104934,117074,133717,136258,142561,152032,153250,143567,147869,149636,154395
2,37003,"Alexander, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),6228,8511,12340,13928,12179,8957,9527,(D),(D),(D),(D),14686,14693,15655,19373,21626
3,37005,"Alleghany, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1450,1429,1312,1316,1405,2048,2676,2207,(D),2353,(D),(D),6301,6458,6899,(D),(D),(D),(D)
4,37007,"Anson, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,4073,(D),5503,7316,6679,8139,8742,8334,10115,10982,13014,12479,12527,17715,14002,13223,11510,11782,11524
5,37009,"Ashe, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),(D),5172,5838,(D),(D),(D),5928,6524,6400,6522,7869,8279,8173,9018,10944,11394
6,37011,"Avery, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,5042,6813,6747,7161,5590,6408,8495,9318,6942,6863,8588,11053,16908,20244,25231,26388,30243,32821,22688
7,37013,"Beaufort, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,11353,11100,14091,19805,20759,28860,29157,30838,28215,36290,51270,48251,50159,55104,58613,63850,67319,80639,59636
8,37015,"Bertie, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,2279,(D),(D),2830,2592,3111,3278,3576,3716,8760,9866,10076,11536,16972,16838,14395,10590,10447,11621
9,37017,"Bladen, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,9822,22325,28710,23508,16925,15330,16918,17605,18429,12603,13152,6556,7959,9742,19466,19367,20936,26329,32184
10,37019,"Brunswick, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),21660,26087,33437,33500,49394,57610,67268,67765,71079,66996,73220,73172,80114,78294,83534,105391,111338,112773
11,37021,"Buncombe, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,139859,159542,176971,179995,200530,229703,260967,252393,228846,250354,267805,261868,279476,308306,345950,353426,352654,367260,388825
12,37023,"Burke, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,21276,30038,35045,33378,34962,37669,36797,34595,28501,29667,33182,38997,46807,45053,42727,41272,44925,35996,55987
13,37025,"Cabarrus, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,74859,79037,99339,120857,134379,118706,138433,148702,153621,162986,191501,236433,304224,307949,318068,302120,406358,190033,207755
14,37027,"Caldwell, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,18319,20775,19116,22089,23101,24018,28262,28310,26476,39069,34121,33538,31912,31854,35302,41328,46371,54852,51309
15,37029,"Camden, NC",5.0,CAINC5N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1824,2085,2278,1884,2618,3181,(D),(D),21212,33198,26322,17664,4902,3703,10852,10130,4021,4053,4749
