,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,1489435,1544288,1756114,1929395,1902947,2166201,2379949,2342588,2370216,2451423,2801213,2927803,3139140,3248450,3289826,3464175,3752522,3727714,3855408
1,37001,"Alamance, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,25088,10696,11639,11177,12904,13207,13757,12660,14980,16644,16412,16235,17185,18438,20961,22480,21729,25214,26394
2,37003,"Alexander, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,1542,1228,1237,1424,1292,1376,1794,1726,1329,1199,1610,2045,2079,2245,2226,2651,3290,3556,3572
3,37005,"Alleghany, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,2771,3010,4060,4403,5111,5411,5971,6181,5305,6397,7017,6514,6839,6955,6381,8305,8189,8203,8354
4,37007,"Anson, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),(D),552,362,158,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5,37009,"Ashe, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,3581,3072,(D),(D),2102,(D),2481,2487,1491,2048,2455,2552,2587,2125,2107,2199,2791,2628,2597
6,37011,"Avery, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,14249,15580,(D),(D),(D),24294,29813,23366,21880,24234,36491,32706,31539,31237,30904,31698,31107,32261,34656
7,37013,"Beaufort, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,2257,1492,2070,1976,(D),1730,1727,1818,1919,2400,2722,4481,6078,6400,4506,4117,4504,4082,4080
8,37015,"Bertie, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,680,980,937,526,239,157,(D),(D),(D),(D),938,(D),(D),1412,1217,1737,1965,1802,2131
9,37017,"Bladen, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),376,(D),47,(D),(D),(D),(D),(D),316,392,410,635,(D),443,502,449,494,420
10,37019,"Brunswick, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,21333,23194,27986,56036,55348,38613,50258,51729,47230,47216,47794,43495,50772,60281,59831,63332,68854,75171,78213
11,37021,"Buncombe, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,48166,53714,58912,64323,62516,72111,79471,83987,83376,85049,90933,95894,103514,112214,117576,130595,139282,180460,193425
12,37023,"Burke, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,2762,2769,2945,3302,2946,3038,4123,3150,3215,3658,3390,3737,3609,3920,4938,5114,5346,4414,4336
13,37025,"Cabarrus, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,110417,109401,129693,136543,168940,165408,214045,246312,282631,296347,359998,377903,342677,367486,375595,382792,369912,342690,340363
14,37027,"Caldwell, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,3605,3624,3547,2885,2468,3354,3561,3333,2758,2085,2353,2642,2585,3889,3899,4085,3539,3520,4247
15,37029,"Camden, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),351,335,800,1106,(D),(D),(D),316,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
16,37031,"Carteret, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,13353,14845,14914,16063,15100,14636,13976,15016,15563,15479,15303,18739,19780,21423,21322,21827,22051,19964,20055
17,37033,"Caswell, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),(D),(D),(D),1085,1081,1206,837,831,(D),349,407,718,515,418,(D),580,781,(D)
18,37035,"Catawba, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,36433,25207,31281,31142,28449,36634,37245,30951,29116,30641,33736,27806,25615,34793,26410,27221,49118,46360,43983
19,37037,"Chatham, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,6991,6284,9017,11287,14503,16839,21491,18324,18462,17858,19960,20537,17915,16307,12750,12152,13277,15055,15597
20,37039,"Cherokee, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),(D),588,617,(D),621,613,641,595,675,945,898,822,954,1086,692,416,1127,1245
21,37041,"Chowan, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,(D),(D),422,528,443,531,544,591,611,838,489,484,582,533,443,561,556,556,497
22,37043,"Clay, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,589,(D),722,873,899,(D),(D),(D),356,(D),(D),(D),605,(D),(D),(D),(D),(D),729
23,37045,"Cleveland, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,5767,5369,5681,6061,5722,5713,5433,4282,3794,4346,4787,4946,3013,3300,3651,7947,8059,8128,8789
24,37047,"Columbus, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,1495,(D),2633,1721,1287,957,1071,816,996,1075,(D),(D),1092,1340,731,430,849,1102,1132
25,37049,"Craven, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,7591,8266,8831,8796,8870,8859,9692,9166,10392,11232,13327,12425,10334,10252,10523,(D),9247,9058,10746
26,37051,"Cumberland, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,20949,24478,24188,17687,17645,19617,21552,21423,23429,21641,22482,24930,24074,25837,23951,25494,26022,30220,31149
27,37053,"Currituck, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,4251,6963,9872,9410,7933,7926,7141,6698,6398,6755,6162,5939,6085,6313,5855,10072,11896,12879,13665
28,37055,"Dare, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,10728,12807,14240,15352,13596,12382,13860,14182,14431,14475,16174,15403,18067,20523,21629,21246,19115,19165,20323
29,37057,"Davidson, NC",5.0,CAINC5N,1700.0,71,"   Arts, entertainment, and recreation",Thousands of dollars,25637,32430,22981,36699,40959,48362,48172,43879,39465,34916,41166,44807,54505,76011,73972,75506,77373,70356,70186
