,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,3122222,1514875,1595170,2374414,3208411,2606730,2293231,2242865,2268739,2398986,2062732,2890330,3413284,3693704,3093438,2523471,3259715,2227657
1,37001,"Alamance, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,16481,5171,10726,11196,14720,12589,11611,5659,2932,2605,-534,5692,4504,7897,3912,442,1806,-3133
2,37003,"Alexander, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,29093,14444,20658,25707,40924,36099,28358,4223,19830,22942,4030,14206,49615,80048,86564,57375,70538,62031
3,37005,"Alleghany, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,28688,23930,24847,24656,26256,15168,16718,15920,19030,16988,16086,15412,13498,19880,21222,15196,17098,10825
4,37007,"Anson, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,50319,18226,14959,24908,24384,32804,27688,13744,15602,27468,18315,32726,45706,60829,66118,43591,60054,53551
5,37009,"Ashe, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,35533,25528,24258,24983,18323,23265,21853,16694,27997,28887,26447,35793,37982,42229,45979,40924,44286,36642
6,37011,"Avery, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,35469,28059,20153,18805,25137,8851,13854,8499,14134,13730,12737,16927,10901,12267,12718,14139,13908,11675
7,37013,"Beaufort, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,35665,8199,20452,29692,48933,32407,28612,35912,33950,25597,26438,56035,50588,18698,747,6460,9901,2244
8,37015,"Bertie, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,35088,16838,21572,20753,22354,15406,26722,30802,35002,31160,13234,34499,32475,22035,15529,7421,18610,10357
9,37017,"Bladen, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,64567,20222,40085,67439,65728,42532,48084,72318,72019,95824,90052,85752,113026,107500,79794,71805,100125,57228
10,37019,"Brunswick, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,13164,8156,7484,8971,10504,10932,10872,10127,11652,11883,12974,21270,35812,38591,31116,28575,33377,24505
11,37021,"Buncombe, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,17707,4947,12466,20908,30033,38865,16940,23141,23600,19666,22055,20837,28374,36375,43442,36735,39727,34449
12,37023,"Burke, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,29090,24295,17233,15604,20249,16612,12788,6378,7107,6531,3783,8023,13480,18367,21744,17423,18275,18105
13,37025,"Cabarrus, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,15477,7510,6655,11232,12305,14505,12374,7700,5177,5755,5312,12703,21554,28924,29524,23039,28005,21600
14,37027,"Caldwell, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,20128,11742,11663,15372,20317,20988,8061,7505,7672,7749,6445,7872,5269,8427,7288,7309,6018,4926
15,37029,"Camden, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,6263,4993,5812,3884,10302,4923,6733,7097,7088,3736,8567,12459,10485,2787,2945,3566,3331,2908
16,37031,"Carteret, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,2707,1925,2703,1800,1597,2764,3589,20162,25703,32178,38783,7841,14070,3972,2276,2742,3201,5080
17,37033,"Caswell, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,13166,9880,10964,13507,7446,8948,9459,18632,18070,15952,6502,16401,28930,42436,36084,27880,31643,21716
18,37035,"Catawba, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,13965,3763,6792,8822,18743,15261,8868,6129,13931,14546,5841,10958,27305,32058,34354,27504,33143,30275
19,37037,"Chatham, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,64844,22551,29824,38248,43070,37926,34535,-282,10210,20008,532,15180,17845,35230,40081,23080,32299,18019
20,37039,"Cherokee, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,4220,1548,1283,3246,7014,6111,3533,5362,6038,5645,5645,5577,11036,18227,19240,14009,13470,11499
21,37041,"Chowan, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,33124,21574,20305,22196,38148,26612,16941,6761,11436,2146,14372,16125,13389,2192,2457,2519,3860,2479
22,37043,"Clay, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,783,201,433,636,1054,274,122,-382,-1369,-2893,-3038,-3583,-478,-2038,-2524,-2742,-3225,-4285
23,37045,"Cleveland, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,20368,7225,1740,19288,31178,13583,14516,4009,5261,9291,-1215,7467,20784,31549,34487,22132,31596,30432
24,37047,"Columbus, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,59520,16266,17547,24595,55975,37159,25854,49462,30589,43122,44018,55638,62427,29865,4896,13251,27579,3701
25,37049,"Craven, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,37392,13611,17454,28892,44710,31985,11963,24117,20949,17909,13421,21611,16772,5289,-1832,-973,3537,-95
26,37051,"Cumberland, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,25087,2050,1454,22605,19947,38911,17280,25664,19403,18773,21788,33660,30753,31915,15715,14585,22542,12184
27,37053,"Currituck, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,1911,-394,2294,3707,9186,8201,4092,6562,1486,537,4914,6313,5907,-1717,-2272,-2706,-2003,-3178
28,37055,"Dare, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,37057,"Davidson, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,6845,2105,3404,4549,8538,8148,9468,8008,4815,9958,9431,16251,15875,19458,17541,16994,19465,13225
30,37059,"Davie, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,5947,2058,1866,5798,10120,8300,3727,8552,1308,744,3377,4869,2079,2125,718,-379,1205,-1603
31,37061,"Duplin, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,167129,77068,76609,120767,158458,137838,177633,230515,216411,289218,223225,261026,311573,312378,246300,190170,258692,163149
32,37063,"Durham, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,5500,3589,4173,6055,9538,9329,13276,14439,11854,8940,7685,8981,9682,9702,9789,9414,11085,8687
33,37065,"Edgecombe, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,60230,24912,30524,38953,55772,40825,21445,30392,36287,31503,34352,39161,14329,-1512,-5717,874,5379,-8038
34,37067,"Forsyth, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,4523,3556,4161,3922,3688,3101,4985,10161,10804,7543,8601,15558,10322,12031,10023,11587,15299,9637
35,37069,"Franklin, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,35957,12096,11043,23986,13839,14561,16340,27988,25651,12889,18509,32849,34129,45616,40760,34414,39753,30183
36,37071,"Gaston, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,10613,5367,3327,6487,11642,7746,2713,1294,1031,1764,694,1051,-901,-291,-386,-591,639,-762
37,37073,"Gates, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,16864,9975,18340,17278,25071,19773,13680,5394,6647,6843,8392,11449,8343,-5816,-7942,-5236,2493,-6120
38,37075,"Graham, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,732,254,279,325,970,616,469,1741,1912,1399,1538,1474,2346,2665,2214,1890,1896,1640
39,37077,"Granville, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,19221,9814,11614,17928,12405,12165,5459,17580,15558,13275,9228,15490,9996,17535,11121,11777,14077,6519
40,37079,"Greene, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,44311,15741,18282,25814,26085,22368,24094,28023,34003,42455,50511,61064,92955,94386,69968,59290,77544,53201
41,37081,"Guilford, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,37365,19192,18221,24986,31166,29712,19317,24408,22382,20717,20346,29281,30607,42358,37282,31164,38153,23349
42,37083,"Halifax, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,40929,19531,28532,37588,52966,38554,32865,15063,10884,12695,30119,22978,16310,-13698,-24682,-18865,-4026,-19388
43,37085,"Harnett, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,53433,22447,11195,43289,84789,73466,31942,53781,45413,36588,14095,30909,29981,47969,32328,23833,37123,34359
44,37087,"Haywood, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,10963,6012,7265,6870,9913,6244,7382,7509,4802,4153,4979,3304,1188,1098,617,1292,770,-984
45,37089,"Henderson, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,57228,43968,43909,42475,66888,64217,29732,38237,45025,38528,35308,32457,20005,24350,27999,30921,31636,23540
46,37091,"Hertford, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,29534,24726,19171,26761,33252,20447,19974,10823,10923,9728,332,19347,28916,20796,20464,21081,28700,11277
47,37093,"Hoke, NC",5.0,CAINC5N,81.0,111-112, Farm earnings,Thousands of dollars,19574,6789,6041,17249,18673,16485,8998,14088,11993,18824,21163,24387,36099,31757,21443,21945,35217,21786
