,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,3539931,3695635,3973480,4267186,4472151,4723656,5036921,5184335,5490421,5892407,6153440,6208855,6195771,6401298,6771283,7022243,7305494,7598279
1,37001,"Alamance, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,15339,15460,15846,17072,17098,17402,18183,18120,17742,18221,17826,17296,16776,17321,18643,18659,19766,21251
2,37003,"Alexander, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2345,2415,2543,2685,2697,3089,3146,3136,3230,3455,3296,3480,3458,3559,3820,3787,3854,4084
3,37005,"Alleghany, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2575,2451,2650,2715,2963,3045,2955,2959,3038,3397,2919,2983,2805,3096,2981,3028,3111,3280
4,37007,"Anson, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,3015,3067,3139,3490,3479,3666,3527,3522,3402,3813,3637,3599,3533,3461,3660,3609,3775,4001
5,37009,"Ashe, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,3379,3384,3577,3841,3894,3909,3985,3809,3666,4217,3998,3959,3817,3781,4264,4398,4534,4542
6,37011,"Avery, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2585,2539,2539,2612,2669,2596,2593,2725,2921,3875,3082,3090,3017,3015,3272,3109,3306,3617
7,37013,"Beaufort, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,6617,6884,7151,7708,7881,8372,9044,9346,9420,9982,9432,9233,8947,8859,9125,9540,9675,10088
8,37015,"Bertie, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,4965,4888,5251,5871,6082,5834,5779,5977,6012,6403,6939,6734,6372,6608,7011,7266,7578,7699
9,37017,"Bladen, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,6096,6285,6622,6276,6471,6575,7085,7459,7786,8454,8010,7925,7791,8014,8531,9343,9407,10172
10,37019,"Brunswick, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,20509,20381,21701,24049,25721,27042,28270,29904,32132,35067,35827,35987,34515,35439,38901,40800,43999,46663
11,37021,"Buncombe, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,173761,172334,205251,225797,225429,241885,253573,275544,295177,308666,321027,331563,321224,315026,318022,324997,338202,363405
12,37023,"Burke, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,7231,7479,7777,8234,8518,8784,8939,9187,9294,10305,9523,10182,10726,10688,11722,11935,12205,13144
13,37025,"Cabarrus, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,15059,15651,15975,17782,18427,19066,20245,20496,20599,23759,21003,21017,21346,22596,25277,26175,27348,28873
14,37027,"Caldwell, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,6245,6752,6777,7163,7386,7511,8029,8321,8567,9425,8717,9216,9080,9416,10333,10301,10766,10884
15,37029,"Camden, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,816,840,890,873,1020,1049,1087,1073,1072,1288,1177,1067,843,884,765,830,833,872
16,37031,"Carteret, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,15646,16126,16744,19002,20214,19985,21875,22536,24377,27921,27467,26293,25817,25722,25794,26083,28121,30358
17,37033,"Caswell, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2569,2515,2453,2635,2637,2553,2612,2671,2697,2616,2619,2701,2474,2470,2696,2776,2772,2962
18,37035,"Catawba, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,31112,31750,32387,34989,34968,36050,38488,38637,39970,45371,42639,36153,30435,31703,30586,26595,27507,29864
19,37037,"Chatham, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,7035,7237,7661,8246,9568,9693,9887,10107,10204,10547,10174,9261,8781,9173,7384,7519,8232,8561
20,37039,"Cherokee, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,7721,8567,8200,8639,8731,8818,8796,8553,8106,9156,9138,7958,7368,7903,8590,9205,9680,10311
21,37041,"Chowan, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2914,2768,2820,2702,2858,2960,3062,3012,3014,3225,3070,2530,2485,2490,2058,1978,2155,2508
22,37043,"Clay, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,1015,1076,1106,1167,1326,1445,1423,1502,1581,1727,1561,1447,1309,1317,1442,1395,1510,1603
23,37045,"Cleveland, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,10688,10883,11267,11921,11930,12511,13383,13375,13688,14043,13348,13523,13304,12971,14211,14527,15132,16302
24,37047,"Columbus, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,7264,7626,7901,8132,8308,8284,8695,8847,8874,9732,9384,9023,8921,8891,9680,9593,10080,10347
25,37049,"Craven, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,346478,353437,386565,409247,434955,436806,456101,444661,463030,478951,486899,483169,456555,487037,520169,542098,558177,570513
26,37051,"Cumberland, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,491719,531100,573009,630470,669536,740578,819104,905454,1016731,1076462,1289501,1312447,1297804,1320440,1387847,1479136,1558662,1609470
27,37053,"Currituck, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2104,2221,2221,2443,2306,2266,2451,2446,2580,2716,2189,2104,2058,2109,2271,2332,2757,2908
28,37055,"Dare, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,13168,13080,14654,15984,15206,16010,15741,16244,17178,19031,17676,17456,17634,18246,18979,19333,20541,20984
29,37057,"Davidson, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,10305,10346,10515,11339,11241,11457,12071,11993,12093,13318,12260,12250,12104,12854,13897,14464,15152,16035
30,37059,"Davie, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,3047,3045,3108,3447,3428,3852,3939,4027,4244,4269,3973,4193,4270,4552,4468,4599,4752,5218
31,37061,"Duplin, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,8129,8555,8997,9408,9520,9919,11707,12092,12920,13076,11832,11366,11145,11356,11022,11034,11031,11677
32,37063,"Durham, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,343813,372663,419272,442949,465019,511639,531893,462195,496838,593967,628234,633570,658646,687198,732317,772792,811730,844925
33,37065,"Edgecombe, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,29691,30011,30033,31256,28533,28869,30110,29973,28535,25869,18626,18362,16481,14917,17890,17865,18326,18852
34,37067,"Forsyth, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,72982,74795,74825,77170,83755,86377,92065,100063,109116,137020,141984,144480,147598,157795,170836,167334,162394,165495
35,37069,"Franklin, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,3798,3964,3969,4181,4624,4731,5309,5069,5593,6231,5676,5543,5445,5283,5805,6017,6842,7130
36,37071,"Gaston, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,22180,22995,24103,26503,27728,28665,30089,30600,30539,33407,29950,29513,28791,29157,30904,32107,33698,35620
37,37073,"Gates, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,1421,1496,1583,1690,1625,1705,1811,1852,1884,1931,1791,1765,1481,1451,1365,1268,1201,1226
38,37075,"Graham, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2928,2765,2835,2526,2646,2705,2762,2706,2661,2968,2785,2464,2432,2702,2799,2855,2740,2970
39,37077,"Granville, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,66704,73799,79947,86839,93273,102698,120824,132458,140867,148883,153463,158505,161430,166836,172405,172537,180980,184139
40,37079,"Greene, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,2614,2551,2313,2360,2460,2355,2396,2493,2309,2496,2380,2288,2272,2393,2461,2430,2588,2833
41,37081,"Guilford, NC",5.0,CAINC5N,2001.0,...,   Federal civilian,Thousands of dollars,265514,268596,276425,297333,306632,325644,348158,347980,344048,348558,348464,356436,351757,357424,387578,390499,399345,415046
