,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,5693077,6082243,7986684,11063935,14168475,18421346,23502718,30861975,26748733,21467170,18500449,25073812,18283201,17639760,17979086,19521691,21449890,23194570
1,37001,"Alamance, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,114378,108026,111343,130112,119211,130962,112002,132763,113791,126953,105711,122448,109501,118385,118746,129521,140622,140013
2,37003,"Alexander, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,4261,4565,5316,8092,7447,7489,7355,9637,10987,13351,10122,11564,10467,10331,11213,12440,13641,13055
3,37005,"Alleghany, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,3009,3079,2841,3297,3738,3537,4235,4767,5716,7037,4595,4015,3467,3461,3614,3967,4290,4967
4,37007,"Anson, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,3686,3986,4509,5831,6018,6621,6896,7717,8593,11115,5573,7018,5516,5416,4735,4921,5262,5544
5,37009,"Ashe, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,7386,6885,7534,9942,10281,10332,10795,13681,15274,19539,11461,13099,11644,12672,11962,12319,13409,13123
6,37011,"Avery, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,2757,2089,2460,3218,3525,4114,4853,5959,6552,7656,5060,4917,4457,4969,5083,5611,6170,5721
7,37013,"Beaufort, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,14641,14363,15112,18214,20377,22135,22585,25169,28154,37524,25310,28806,26747,28107,27156,24683,27632,27865
8,37015,"Bertie, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,2777,2741,2748,3926,4496,4668,4972,7078,7924,9480,4869,5231,4277,4197,4124,4306,4662,4685
9,37017,"Bladen, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,3979,4063,4097,6568,7024,7182,6911,8611,10645,15921,8934,11153,8049,7197,6555,7438,8216,7717
10,37019,"Brunswick, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,13760,15386,18784,31380,39016,44114,47320,59431,70506,91725,49475,53107,41591,40168,39673,43952,50478,50713
11,37021,"Buncombe, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,130009,128776,136315,163665,177287,197127,212734,224531,213136,232776,212161,228361,228762,247352,252640,273204,303272,302704
12,37023,"Burke, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,17027,17391,18308,23075,24747,25681,26706,28498,33542,45956,28990,34092,28234,27510,25444,29936,32574,32013
13,37025,"Cabarrus, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,41228,36787,40015,57273,64216,62336,62674,65754,63770,72137,65962,67364,63287,68748,73730,91644,95523,100995
14,37027,"Caldwell, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,15206,13560,14660,22019,22860,23421,22366,22181,23301,25528,25080,28874,25946,21902,21156,21876,25967,26778
15,37029,"Camden, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,1060,908,670,1088,1317,1403,1768,1955,2022,1938,1923,1807,1453,1151,946,1327,1658,(D)
16,37031,"Carteret, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,14713,16663,20842,29529,34167,32931,42260,48892,48907,65718,42425,48132,41513,42231,37578,41620,46543,51575
17,37033,"Caswell, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,1935,1534,1742,2919,3367,3215,3169,3903,4743,6323,3547,3840,(D),3311,3333,3526,4508,4868
18,37035,"Catawba, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,77376,74409,70863,87007,92384,100380,131904,131296,123239,145808,100998,116807,85514,89005,88548,88825,96994,107385
19,37037,"Chatham, NC",5.0,CAINC5N,1000.0,52,   Finance and insurance,Thousands of dollars,7362,8099,6970,14308,19091,20664,24891,36848,46755,65754,25512,35906,21992,21812,15750,19060,23888,26595
