,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,473654,481630,478774,507655,479627,520580,481745,460391,514885,661227,632718,749827,770044,810293,840008,810566,784528,818976
1,37001,"Alamance, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),2264,2481,2992,2431,2296,2702,3007,3600,3665
2,37003,"Alexander, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),1360,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
3,37005,"Alleghany, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4,37007,"Anson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,7713,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5,37009,"Ashe, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6,37011,"Avery, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7,37013,"Beaufort, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),14966,13578,13925,12906,15141,15484,15837,16645,20620,20057,24039,25830,26648,28681,24631,(D),(D)
8,37015,"Bertie, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,10141,9832,8891,10077,(D),11350,11175,11350,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,10677,11231,12065,(D),(D),(D),(D),16328,18726,20975,22378,25528,24004,26406,27724,27672,27575,30260
10,37019,"Brunswick, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6597,(D)
11,37021,"Buncombe, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,948,967,691,1010,1141,(D),1367,1868,2515,4932,4259,5170,5757,5924,5932,6579,7183,7844
12,37023,"Burke, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2234,(D),(D),(D),(D),(D)
13,37025,"Cabarrus, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1176,1071,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14,37027,"Caldwell, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,2099,1994,1868,2019,1896,2390,2147,2070,1859,2050,1682,1820,(D),(D),(D),(D),(D),(D)
15,37029,"Camden, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3485,3860,4262,4625,4383,4216,4103,3882,4403,4390,3831,4553,5873,6785,7212,6451,5967,6068
16,37031,"Carteret, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,5657,5530,4701,3625,3301,(D),(D),(D),(D),(D),(D),(D),(D),995,1874,(D),(D),(D)
17,37033,"Caswell, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
18,37035,"Catawba, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),1319,1116,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
19,37037,"Chatham, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),4929,6343,6352,5785,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
20,37039,"Cherokee, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
21,37041,"Chowan, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,4348,4560,4541,5285,4473,4547,4511,4645,4971,4447,3804,4634,4753,5363,5883,5718,5921,5799
22,37043,"Clay, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
23,37045,"Cleveland, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1073,1067,982,1647,1403,1463,1651,1646,(D),1973,2146,(D),(D),(D),(D),(D),(D),(D)
24,37047,"Columbus, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,9046,8990,(D),(D),9043,9935,8493,7851,7224,7840,7255,8669,8320,11406,11168,11685,12781,13359
25,37049,"Craven, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,12823,(D),(D),(D),10673,9416,8803,(D),(D),(D),13495,18533,(D),(D),15394,14083,13601,14116
26,37051,"Cumberland, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),2628,(D),(D),(D),3106,(D),(D),(D),(D),(D),(D),(D),(D),(D),7867,7914
27,37053,"Currituck, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1429,1220,1378,1297,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
28,37055,"Dare, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
29,37057,"Davidson, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),2030,1817,2162,1636,1580,1913,2905,3148,3692,2925,2817,2806,3042,3106,(D)
30,37059,"Davie, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),241,274,379,336,400,541,561,549,701,956,(D)
31,37061,"Duplin, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),15591,16935,14808,(D),(D),(D),(D),(D),(D),21425,20890,25291,30124,31109,33289,31287
32,37063,"Durham, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
33,37065,"Edgecombe, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7463,(D),(D)
34,37067,"Forsyth, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3576,3401,4377,4538,(D),4050,2449,751,1581,3179,6307,(D),5349,5475,4175,2322,2451,2708
35,37069,"Franklin, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6485,6060,(D)
36,37071,"Gaston, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,1258,1302,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
37,37073,"Gates, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3045,2892,2808,3039,3055,2929,2463,3289,2702,2946,2695,2995,4045,5522,5969,6400,6851,6384
38,37075,"Graham, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),689,(D),(D),(D),(D),(D),(D),917,(D),(D),(D)
39,37077,"Granville, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,3521,3707,3817,4108,3724,4642,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40,37079,"Greene, NC",5.0,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4983,(D)
