,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,14635906,15703300,16699394,17938642,19048054,20831382,22291740,23699139,24598916,25216018,25358963,26337278,27104499,28165172,29273526,30630815,32084284,33371967,35062028
1,37001,"Alamance, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,246639,264005,272765,291188,317626,348637,368682,394251,437184,465803,494464,530385,688470,693780,659171,712398,710182,765688,787053
2,37003,"Alexander, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),17014,(D),(D),(D),19882,(D),21039,(D),(D),(D),(D),22064,(D),(D),25388,(D),(D)
3,37005,"Alleghany, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),17484,18041,18938,(D),(D),(D),21420,(D),(D),(D),(D),(D),21038
4,37007,"Anson, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,15680,16869,18507,20223,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18627,19090,19449
5,37009,"Ashe, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),45019,45370,47149,49096,49305,47789,50151,48618,47325,47071,50090,50031,50267,51452
6,37011,"Avery, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),39786,42610,(D),(D),(D),36151,33887,34852,36487,(D),(D),(D),(D),(D),(D),(D)
7,37013,"Beaufort, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,71163,77305,80787,87902,90971,94040,102264,102638,100189,95869,92344,87140,83702,82309,84423,86522,86551,91651,63509
8,37015,"Bertie, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),29062,(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,22013,22003,23034,26579,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26860,26456
10,37019,"Brunswick, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,64421,72855,77570,81318,86468,102082,112753,118391,128868,136250,140158,163505,167304,200431,202219,212522,227568,249322,266657
11,37021,"Buncombe, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,724714,772429,838108,897293,954622,1025718,1066662,1118283,1153308,1206882,1248465,1326239,1410834,1495540,1583747,1707590,1784728,1888490,1917209
12,37023,"Burke, NC",5.0,CAINC5N,1600.0,62,   Health care and social assistance,Thousands of dollars,150695,160541,173198,183655,193567,207347,213964,223711,229883,235455,247298,260891,256208,267802,269501,276464,285077,290482,300354
