,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,(D),4998160,5108772,5712169,5679905,5805491,6244957,6150039,5793284,5632762,5768439,6105228,6389957,7302160,7786806,8031168,8128297,8645787,8514780
1,37001,"Alamance, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,19114,20123,18814,19188,21411,20757,43975,31039,27053,23864,23769,26257,28772,27888,28611,30464,28531,28657,28714
2,37003,"Alexander, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,1001,1004,1062,1226,1233,1251,1489,1728,1654,2147,1971,1347,1329,1089,958,1124,1089,915,1021
3,37005,"Alleghany, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,967,1044,1144,1035,1123,1219,1347,1435,1124,1764,1796,1451,1506,1179,1238,1198,1278,1130,1152
4,37007,"Anson, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,2209,2562,2184,1623,1529,1619,1660,1922,2367,1807,1838,1852,1872,2119,1832,1707,1429,1832,1880
5,37009,"Ashe, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,3784,4420,4825,4708,4612,4991,5515,5338,4450,5007,5810,5231,5071,5254,4338,3820,3769,4039,3992
6,37011,"Avery, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,2606,2642,2102,2151,2041,1810,2101,(D),1864,1700,1780,1558,1576,1603,1638,1574,1724,1378,1133
7,37013,"Beaufort, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,9305,9086,9501,9902,10279,9078,8818,8788,8282,9616,8799,8635,9616,9832,9823,9423,4840,5549,4283
8,37015,"Bertie, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,486,550,529,471,435,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,(D),(D),(D),1309,1225,1080,991,820,953,560,537,514,439,(D),(D),(D),239,(D),(D)
10,37019,"Brunswick, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,12792,14271,15499,17587,22213,20194,21179,23294,23898,26392,28263,26930,26179,25605,25384,23857,24412,24033,27055
11,37021,"Buncombe, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,80044,76490,75635,80468,82372,83938,95269,95150,96219,92064,101620,109577,110317,113629,108868,124680,125970,123362,130588
12,37023,"Burke, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,6359,6407,6024,6783,7531,7042,6198,6737,6163,6684,5934,6349,6763,7073,6500,7449,7718,6519,6616
13,37025,"Cabarrus, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,62060,42932,41309,42619,41044,48732,47732,37364,34653,31497,29497,30602,31020,34893,36090,84273,76977,71904,69995
14,37027,"Caldwell, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,8719,11659,11981,13133,12026,11223,11527,11304,10630,9584,9440,10519,10070,11408,10022,8688,9008,32171,33140
15,37029,"Camden, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,5076,4938,4875,3720,1586,1580,1825,1553,(D),781,(D),(D),(D),(D),(D),(D),(D),(D),(D)
16,37031,"Carteret, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,13643,14018,14765,15674,14318,17058,18027,16344,15507,16495,16756,15327,16224,15871,16224,16496,14100,12998,11932
17,37033,"Caswell, NC",5.0,CAINC5N,900.0,51,   Information,Thousands of dollars,910,914,847,579,528,461,509,455,430,499,533,620,528,(D),(D),(D),(D),(D),(D)
