,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,16015151,16586505,17347300,18493109,19649514,20460395,21917788,23052894,23347372,23473406,23338604,23771535,24504805,24792635,26319758,26723699,27655320,28549602
1,37001,"Alamance, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,193069,205285,211306,222651,233875,248542,264480,278271,280891,284240,274248,276301,282133,287259,304101,307737,316471,327768
2,37003,"Alexander, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,42015,44359,45729,48274,51186,53796,57372,59756,59730,60166,59467,59418,61071,(D),(D),(D),(D),(D)
3,37005,"Alleghany, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,16428,17606,18210,19662,21443,20642,19586,19381,19403,19348,23162,21527,21610,22262,23042,22553,23122,23928
4,37007,"Anson, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,52988,52528,54679,57968,59485,64045,66704,66209,64898,64273,62664,62380,61205,60202,57355,57452,57160,58725
5,37009,"Ashe, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,30780,32475,34762,36586,39130,40953,43821,44800,44882,44957,44105,42472,43397,42803,45656,46123,46922,48151
6,37011,"Avery, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,27246,27954,29499,30560,31720,33427,35902,36686,36895,37545,36995,37773,38412,39198,40434,40557,40958,41317
7,37013,"Beaufort, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,77630,78914,82534,86363,86886,89809,94053,95061,95865,96307,95482,93805,94690,96582,100707,100919,102063,105055
8,37015,"Bertie, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,33807,32374,32823,33617,33404,33857,35863,38158,38372,36685,34556,33924,34626,(D),40176,39984,39382,38619
9,37017,"Bladen, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,63444,62262,64150,69103,75044,78457,81068,85094,86811,88183,87035,87346,90964,92230,91665,88766,90640,93285
10,37019,"Brunswick, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,123647,125833,134309,144522,158406,170982,189009,210289,208003,209005,210253,207115,210594,214956,223824,226679,235632,251220
11,37021,"Buncombe, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,340189,339415,348248,365795,385647,410458,437887,468526,468926,463852,453761,460946,467790,478694,483424,492326,512374,535392
12,37023,"Burke, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,129252,130454,132225,142951,148616,154931,165258,178256,164139,157437,148155,149558,152873,152947,157732,155984,157711,161784
13,37025,"Cabarrus, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,388228,422627,(D),485384,517557,557279,617071,660164,649482,677433,656137,689498,709583,723119,783716,890555,940936,960192
14,37027,"Caldwell, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,113104,115021,(D),123568,127969,135129,147998,145938,147096,148584,145986,143125,143870,145161,151818,152717,155768,160318
15,37029,"Camden, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,10832,11627,12718,14143,15531,17101,19171,20157,20020,19653,19405,19417,(D),20020,22070,21738,22267,22982
16,37031,"Carteret, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,126529,127901,130028,138582,146605,158850,166441,174040,178751,180558,177640,178894,187806,188557,198629,201265,208711,219531
17,37033,"Caswell, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,30794,30486,31310,33099,36105,36678,38507,39822,38650,38218,36369,35690,35760,35751,36659,36943,38222,34699
18,37035,"Catawba, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,309308,312985,325472,354451,360576,381734,411265,429103,428770,429934,423629,432251,441327,445578,473935,489943,507571,517029
19,37037,"Chatham, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,67399,69684,74988,78144,83928,86792,93586,100973,100476,101431,99056,99260,102214,104368,110264,112935,117978,123618
20,37039,"Cherokee, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,35845,37303,38224,40942,43437,46601,50556,53012,52642,52357,50902,51278,51548,51866,54213,55913,59390,61827
21,37041,"Chowan, NC",5.0,CAINC5N,2012.0,...,    Local government,Thousands of dollars,27642,27677,29446,31015,31590,33868,36454,37027,33720,33061,31928,31964,32881,32362,32612,32317,32844,33315
