,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,32935500,31628213,31018180,31631146,32062303,32525480,33319795,32351371,28917061,29312247,29862927,30665848,31396324,32663058,33917464,34507827,35564443,36525917,37579844
1,37001,"Alamance, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,634884,612148,605640,609793,606135,598556,583181,560223,452057,465017,477001,512461,497982,514173,533721,555667,561592,584145,605526
2,37003,"Alexander, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,180185,175003,176846,183873,177822,182257,185343,173540,134051,134786,136634,141725,145683,158818,162231,167260,174103,180212,183875
3,37005,"Alleghany, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,38479,34041,24222,21134,25889,26753,25698,22925,19900,21606,20711,21334,21400,24155,24191,26400,28297,29727,32764
4,37007,"Anson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,80026,75909,68019,73411,75453,67618,67898,71619,59816,69395,72227,75604,70975,77725,79700,77201,76657,81367,86027
5,37009,"Ashe, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,80984,86440,81737,83808,83277,80256,79817,76761,65056,65016,55354,56181,52503,47093,38505,40406,44773,45587,47330
6,37011,"Avery, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,10719,9422,9403,9771,10017,9022,9919,(D),6220,5085,4752,4903,5165,5404,4709,3504,3826,3763,5469
7,37013,"Beaufort, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,172261,164139,168020,179166,181637,186566,191514,196436,197275,200534,217416,214723,193539,198844,193541,199325,198805,191136,184854
8,37015,"Bertie, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,69963,75319,(D),(D),(D),(D),79756,82759,84290,79999,74946,76059,76273,87412,91471,(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,192139,192932,197836,189450,195526,208243,228972,220987,232429,239432,229533,244777,244932,263985,283457,297450,307248,314070,325341
10,37019,"Brunswick, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,122357,66951,64536,73151,80251,85293,82638,83591,64021,62264,66081,70186,74232,80388,83032,86200,101625,109607,112987
11,37021,"Buncombe, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,669986,651672,683540,692591,687195,703705,723986,720040,688046,680798,667420,703599,705620,757644,821492,836336,861985,911139,986023
12,37023,"Burke, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,456248,461182,454208,478334,465810,447480,436397,408919,331382,355850,375438,404570,415506,434242,435098,421854,423171,433740,445235
13,37025,"Cabarrus, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,634966,659162,553301,503895,536836,568486,555319,516360,422837,349280,280555,283424,294369,302665,330019,370617,372500,392996,416148
14,37027,"Caldwell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,484895,445706,431569,421719,384130,349948,307309,288197,242674,241586,246178,249623,250962,266011,293028,321459,354170,430632,412146
15,37029,"Camden, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,3682,3702,3598,4895,4813,5988,7173,1811,1825,2008,2399,2476,1890,1733,3088,3239,3315,2455,2151
16,37031,"Carteret, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,49222,51702,54132,56934,56062,57414,50890,48464,38733,40188,42393,43334,43876,48759,51056,53134,56132,56231,55106
17,37033,"Caswell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,16857,16918,17542,14928,13129,12279,13259,12425,11089,9550,11819,14328,15276,17329,15607,14673,16269,15607,14273
18,37035,"Catawba, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,1553827,1384981,1273485,1313347,1319406,1361716,1370398,1308310,1054830,1096017,1113458,1133158,1182908,1263177,1369271,1424892,1520825,1563240,1585699
19,37037,"Chatham, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,218131,218083,216629,240079,229282,232173,208641,206348,156204,158972,147593,133755,127594,124849,112342,107600,101089,93683,94899
20,37039,"Cherokee, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,67613,55227,48227,51575,61372,50514,42111,38400,32374,32629,32855,34978,35995,38306,42561,39831,44087,44315,44308
21,37041,"Chowan, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,44541,39618,42947,42646,46813,45222,33692,24756,18100,18477,21851,20469,20875,23151,22440,23272,26303,30717,33667
22,37043,"Clay, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,3669,4646,(D),6350,6041,5387,6159,5284,(D),(D),3927,3368,(D),(D),(D),(D),(D),(D),(D)
23,37045,"Cleveland, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,463453,441761,430123,434657,423011,408263,404938,390482,309888,308591,375122,400952,398955,435288,450655,443037,458080,483233,537056
24,37047,"Columbus, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,156685,155662,156930,156857,160967,154008,149886,150252,133378,137407,136259,137871,147575,151976,142923,147430,135370,141359,144810
25,37049,"Craven, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,208126,207575,210992,239279,259671,267015,283020,239525,197763,195222,202765,220381,211637,224697,245574,260322,271545,279085,280864
26,37051,"Cumberland, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,553605,544145,519848,522015,525500,474570,512370,530724,534892,522265,502417,493449,493039,495816,480164,480814,477439,500789,528735
27,37053,"Currituck, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,4275,4256,4300,5081,4541,5404,3204,2544,1900,2032,2008,2503,2537,3158,3104,3233,3229,4497,4075
28,37055,"Dare, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,25805,25601,25060,31098,35420,37045,34563,31494,23300,19161,18980,21924,25525,29262,31446,30927,32041,30954,30011
29,37057,"Davidson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,613739,598262,580179,587476,593673,580999,533779,484372,408065,426682,440648,450249,475753,511646,554623,583589,614775,616693,630521
30,37059,"Davie, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,136089,135220,120472,126127,109217,108860,94717,81359,70308,71960,74763,68303,77096,102015,136729,160407,186636,192170,209557
31,37061,"Duplin, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,190968,198043,197938,208918,198938,202192,232666,230226,219615,233430,252168,261590,242766,268750,264189,270909,263262,283075,301432
32,37063,"Durham, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,3966942,3384733,3346192,3576117,3580323,3895813,4380891,4307783,4100605,4095153,3379684,3443190,3766840,3786444,3522282,3281996,3252834,3336990,3481495
33,37065,"Edgecombe, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,200528,177486,170270,193298,195330,187656,194751,186499,169592,166789,156010,156289,159737,145637,156039,164732,168790,164204,164837
34,37067,"Forsyth, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,1722613,1631610,1791848,1808554,1815068,1789199,1777558,1766930,1584077,1504009,1468072,1218505,1203406,1322013,1370100,1344741,1430066,1303435,1340561
35,37069,"Franklin, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,109022,109628,116741,128700,151348,169323,185199,152410,135658,136063,129847,129253,135653,151748,169468,187018,196939,206834,222370
36,37071,"Gaston, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,951501,937674,862316,886905,886588,868671,861820,800128,627286,656911,689688,732977,873532,927332,1002702,968738,1005626,1102897,1116203
37,37073,"Gates, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,6501,6942,6973,7156,7692,7934,(D),6906,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
38,37075,"Graham, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,(D),(D),20263,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5418,1924,1854,2442,3230
39,37077,"Granville, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,288518,306367,308790,292596,297216,319236,335628,334953,299121,295948,301025,319098,317537,329629,346119,380617,411876,371864,366418
40,37079,"Greene, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,19699,18539,16262,14089,12472,12910,14015,15092,13511,14563,8657,9998,10074,10174,11594,11774,12646,14251,15219
41,37081,"Guilford, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,2387431,2325993,2326363,2320405,2351488,2343839,2431287,2360244,2134096,2182206,2226680,2290426,2381486,2540170,2698167,2765917,2900990,2862100,2770211
42,37083,"Halifax, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,126102,119652,115750,112946,112193,113117,114401,117700,112291,112681,108231,115018,116395,125465,124499,126706,124643,133379,137946
43,37085,"Harnett, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,109731,97119,100928,123411,126263,127512,117195,95503,65809,60176,57268,60590,69036,81440,89473,107757,115818,109229,110357
44,37087,"Haywood, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,111571,114335,118761,121159,121935,128389,143230,129456,128294,148675,159479,171764,165679,181948,193995,208791,211824,224555,243426
45,37089,"Henderson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,359562,375025,342633,362476,365964,376078,359771,363520,311641,324348,337398,336225,338679,355512,341114,359310,378833,406016,380650
46,37091,"Hertford, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,61883,63912,69887,73262,73945,79663,81522,81391,73832,76258,79121,82116,81040,84900,81465,78986,82960,90680,95453
47,37093,"Hoke, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,81446,85429,86005,84143,84470,78635,78824,86933,89378,93479,78654,89412,112021,91566,85082,97693,99839,99354,101642
48,37095,"Hyde, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,2445,2410,2612,2619,3228,3021,2294,3248,861,1892,3802,3937,3568,3937,4679,3869,3231,10450,10962
49,37097,"Iredell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,623704,634742,626518,634015,621235,626148,649338,635457,548992,583348,573992,618782,678301,728805,762366,805111,800731,794714,836954
50,37099,"Jackson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,21806,21270,20010,24149,24714,22417,20975,19986,10017,8069,15151,18664,22257,22774,13998,15499,17409,19402,21450
51,37101,"Johnston, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,389764,398654,404145,420402,440843,445084,513305,408680,412516,452052,528492,425219,476155,488019,519594,555717,560526,613233,645578
52,37103,"Jones, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,3815,2969,2915,2439,2676,2140,1786,2062,1534,1783,1812,1584,1507,1251,1502,2031,1827,1800,1532
53,37105,"Lee, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,459783,465329,496094,547806,579869,589835,586364,561716,502777,530735,453470,462336,462161,472635,472938,487728,527533,563878,524970
54,37107,"Lenoir, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,221252,209495,213141,233224,233377,204265,205436,192394,174019,180190,246121,280689,316528,349511,363766,369583,415110,439834,464945
55,37109,"Lincoln, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,240015,236218,243157,264571,280588,292196,306452,283381,225279,245365,241436,254264,252422,262256,277902,298373,318490,325175,336856
56,37111,"McDowell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,309782,301842,300148,301356,297240,290440,289844,280589,234894,254133,254351,258785,273146,320357,349795,345788,375134,382822,379163
57,37113,"Macon, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,39234,40680,40718,42404,41797,45547,43479,44531,34304,37343,36687,36062,34727,36242,33369,23359,21245,25958,24555
58,37115,"Madison, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,(D),28260,29901,32224,23686,20867,20525,21521,19871,20733,19830,20129,20972,20526,19533,19642,19989,21264,25087
59,37117,"Martin, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,149671,162094,150388,139103,140522,139719,124475,123268,102054,95532,94663,95989,99877,103650,97663,96715,95679,94051,83161
60,37119,"Mecklenburg, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,2697132,2666863,2602693,2592968,2563600,2649021,2694146,2608131,2378006,2483782,2776986,3000395,2948097,2869295,2977789,3117446,3262623,3349414,3388719
61,37121,"Mitchell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,43655,37912,38636,35476,36677,26336,16653,15333,11876,(D),(D),11922,11448,13163,12863,(D),(D),10320,(D)
62,37123,"Montgomery, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,167294,168279,158896,176140,179802,168779,151730,137108,109821,119698,120193,130998,138191,149963,157121,158242,168566,175179,180465
63,37125,"Moore, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,132130,120831,95375,95200,100163,101939,105433,90921,79957,92124,106602,110332,91793,93910,97053,98472,95939,97501,102207
64,37127,"Nash, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,405888,391133,405292,403490,402756,442799,447106,479371,446507,452511,456889,484525,492925,531691,577115,525561,508849,558471,576006
65,37129,"New Hanover, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,519757,432925,388829,392734,447349,485156,535932,548054,513348,484324,470520,376109,420104,361233,396147,474396,480445,469835,484448
66,37131,"Northampton, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,32408,27992,23047,25244,24851,26381,23770,23003,21666,22377,20794,24838,25099,26154,26552,27118,27720,36941,28653
67,37133,"Onslow, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,48558,40041,34706,40523,41075,37633,40480,43036,38059,38164,43819,36462,48580,50939,51415,53010,54120,52882,53850
68,37135,"Orange, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,111190,118954,92937,88424,90441,93817,95082,96862,81931,81128,85702,88983,97268,104652,108965,117931,124662,125941,123967
69,37137,"Pamlico, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,4020,4620,4290,4461,5364,5723,5859,4996,4478,4977,6547,7086,6746,6995,6950,7438,7102,8159,9524
70,37139,"Pasquotank, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,27929,28328,30075,29538,33033,34093,38286,39108,35630,34699,37071,41856,39822,39914,37853,36249,38308,38987,39623
71,37141,"Pender, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,34172,31719,31323,34258,33332,38245,45490,50855,48480,47058,46553,45874,41011,37711,38512,40943,40547,43641,44747
72,37143,"Perquimans, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,3029,3290,3340,3653,3007,2113,2228,1901,1675,(D),2112,2484,2444,2307,2307,2461,2510,2169,2117
73,37145,"Person, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,137698,156388,148765,136651,126369,109601,111034,104273,77982,76354,77862,84338,88796,92867,103753,104033,114694,112605,107838
74,37147,"Pitt, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,376239,405196,397765,392675,381782,392435,436613,439695,396296,416193,427618,499039,439946,480043,465683,494861,523430,529856,578734
75,37149,"Polk, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,22563,22653,23014,23906,23976,24073,23071,18266,12874,11819,11232,13879,15252,14865,13226,13067,12865,13635,14426
76,37151,"Randolph, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,647052,686698,718944,781066,773903,776386,783605,750547,655162,674395,694512,774630,793389,812384,815385,807087,822606,861392,890749
77,37153,"Richmond, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,144349,143879,151941,145459,145885,142959,138430,135646,127381,116611,113770,121452,120905,133662,142986,149783,153202,161605,170928
78,37155,"Robeson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,272981,262132,255241,275693,280396,306393,307940,301911,274573,256626,250222,267367,285070,306473,304121,318571,331306,344750,399439
79,37157,"Rockingham, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,469397,476616,462480,449278,435520,412811,423848,415755,365117,388704,349607,357108,355878,369276,366049,361642,325975,309002,311850
80,37159,"Rowan, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,541810,560741,543332,578017,638521,654794,561484,524694,490453,440448,493755,534064,436929,467582,548398,504256,530784,564110,549628
81,37161,"Rutherford, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,313374,292934,281359,243562,223339,193842,199594,184901,123135,131630,133842,143350,148187,159474,152449,160253,164722,170235,174397
82,37163,"Sampson, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,137610,138989,139060,144298,139890,156874,179439,158647,144468,149577,143967,152508,160408,161127,175366,174449,172827,179866,189995
83,37165,"Scotland, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,275154,245024,234310,223305,208039,194288,159955,144039,113986,116525,116083,110650,114900,130052,133371,128537,135639,140330,144885
84,37167,"Stanly, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,227520,210630,196521,196278,218570,210840,213750,194586,149521,145575,155940,166490,168834,184398,196083,218883,220661,229845,238902
85,37169,"Stokes, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,43820,41170,43265,43372,40692,42972,39619,40931,37806,37601,38018,38096,40747,47192,48478,48898,45979,45535,46370
86,37171,"Surry, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,333610,304725,298896,297077,280887,296940,272913,239793,176000,163053,160750,167268,159625,180351,182821,184158,200555,213778,220104
87,37173,"Swain, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,8408,10331,11263,13243,16897,18390,14887,13593,12057,14104,16726,20551,20842,24825,(D),24571,24321,(D),(D)
88,37175,"Transylvania, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,125693,98455,40977,23884,22903,23744,24615,18357,20353,19686,17959,23050,20092,29734,33073,41404,42106,41181,44682
89,37177,"Tyrrell, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,2773,(D),(D),2837,1625,593,751,783,(D),(D),(D),3336,3468,3857,4098,4569,4921,4623,4098
90,37179,"Union, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,541231,541780,526674,532132,588253,638189,659078,649257,561646,561660,581112,629233,650200,716779,769679,762660,827960,870198,904521
91,37181,"Vance, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,148344,136815,124112,102167,93991,89359,90195,89028,81765,89279,98146,91307,88420,86280,87206,91237,96950,103038,102700
92,37183,"Wake, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,1659117,1617839,1538192,1539295,1733494,1763282,1881445,2015199,1886683,1944720,2647984,2677823,2725466,2718334,3125715,3266603,3297568,3372732,3625433
93,37185,"Warren, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,19578,20093,23095,26766,17599,17611,17396,27356,23934,21538,16405,18037,16456,19697,20125,19630,17193,16222,17406
94,37187,"Washington, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,8284,7603,6590,7460,7463,6955,7454,8302,18832,20164,21884,19614,21720,22058,22166,21572,21411,22186,22185
95,37189,"Watauga, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,40222,34546,35490,33729,35198,35996,36914,30775,25947,29757,31070,30796,26112,26524,23630,22184,24218,25998,27458
96,37191,"Wayne, NC",5.0,CAINC5N,500.0,31-33,   Manufacturing,Thousands of dollars,262094,272812,277870,297771,302466,304426,298980,288141,268429,261862,272682,296474,308897,336223,337356,328455,317729,318480,331589
