,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,6154093,6736314,6890685,7240168,7578072,8158243,8237844,7865741,7883673,8577242,8884523,9706434,9849688,10481846,10877180,11237147,11327532,11993558,12704264
1,37001,"Alamance, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,104050,113523,112109,117113,122558,130584,129998,122286,124819,132197,134248,144226,144439,154385,161241,164754,161477,168999,184916
2,37003,"Alexander, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,19467,22279,22646,24787,26355,27043,26142,23738,24219,26350,26763,32685,32395,33881,32218,32714,32251,32903,34381
3,37005,"Alleghany, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,5418,6227,6655,7473,(D),7349,7446,7748,7991,8309,8183,8969,9072,9487,9487,8124,8607,9054,9370
4,37007,"Anson, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,11438,13256,15671,17032,18566,19332,17686,16160,15567,16449,17628,20550,21017,21791,18614,19310,19585,20245,21055
5,37009,"Ashe, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,15787,18988,18029,18820,20410,22606,22580,21158,21600,24748,24218,25745,24345,27440,29041,30595,28206,26574,27449
6,37011,"Avery, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,14143,15634,16112,17411,17689,18731,17921,17169,17607,18298,18498,19793,19904,21477,21099,20304,21312,22181,23996
7,37013,"Beaufort, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,28024,33530,33958,37296,39068,44607,45491,42204,41438,44324,45418,47061,44716,48501,49351,47502,44954,44203,45255
8,37015,"Bertie, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,10033,10377,10773,10973,11053,10970,10735,11347,11271,11721,11090,11659,11796,12040,11271,10929,10733,11150,11184
9,37017,"Bladen, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),12631,14081,17498,19837,21392,18968,19273,18800,19316,19219,20694,20640,(D),(D),(D),21100,(D),(D)
10,37019,"Brunswick, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,40603,45198,48825,53568,61054,70292,70150,67995,68943,80467,81673,89430,90252,99201,105586,108620,113715,130032,137200
11,37021,"Buncombe, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,184282,202482,206848,208749,222731,238440,235677,221267,226057,248285,256728,279707,274780,301362,315359,337500,349045,384307,421253
12,37023,"Burke, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,51800,57469,56962,58926,60980,65375,61653,59350,60190,65538,64000,67263,65615,69000,69129,71538,69780,74317,77860
13,37025,"Cabarrus, NC",5.0,CAINC5N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,86817,101796,103356,113222,119645,133362,134881,132387,129291,143914,148692,162859,165502,180878,190985,197038,200930,216047,229565
