,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,139363181,141702381,146478419,157714912,167650601,184073742,196758476,206029038,189965898,188872780,192635983,210996955,209536515,223115090,234659203,243911755,256190075,270687367
1," ""37001""","Alamance, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,2234287,2238443,2226270,2337260,2393522,2527702,2599316,2631448,2388275,2482708,2590583,2776722,2786356,2860665,2904173,3067719,3160266,3314466
2," ""37003""","Alexander, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,315470,313754,326895,346817,343472,354657,362506,347409,301722,314144,317223,335319,334954,352043,351976,356580,380069,386686
3," ""37005""","Alleghany, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,105869,103606,97525,104406,109841,119042,116669,115581,108465,111928,109915,111826,116670,121752,125935,132223,136558,141734
4," ""37007""","Anson, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,221334,225918,222137,230640,233133,233187,237668,241335,222307,240251,244659,249824,236232,250477,251845,251975,255784,268893
5," ""37009""","Ashe, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,254079,268120,270123,282964,296594,315784,321554,327646,306706,314604,297066,312893,303464,314600,311053,330806,343887,355495
6," ""37011""","Avery, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,180479,186798,200577,208391,221899,236713,252700,239933,220445,217845,220488,226925,225947,238681,240436,246284,254972,266749
7," ""37013""","Beaufort, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,520777,531251,533862,562953,593031,635649,660272,662436,649627,679018,701984,724431,714133,734702,742570,752406,756324,767261
8," ""37015""","Bertie, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,157818,165280,164194,174184,186750,191097,195796,199862,204730,206595,194404,196100,191737,209197,212174,203751,201313,202553
9," ""37017""","Bladen, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,327678,339497,356967,362686,369995,389937,411747,411277,427927,441148,424852,442794,437396,465066,502225,514166,524183,542213
10," ""37019""","Brunswick, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,824971,787878,883676,1080688,1223014,1325480,1306830,1241809,1147712,1191094,1160090,1227652,1304185,1427628,1514742,1606479,1723426,1796789
11," ""37021""","Buncombe, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,3712782,3769169,3922619,4164221,4420655,4795264,5044382,5066490,4767616,4871220,4995530,5374909,5580792,6093426,6526190,6917713,7201368,7613062
12," ""37023""","Burke, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,1032372,1058572,1062672,1124741,1116741,1137351,1114821,1102923,979046,1025663,1044583,1115497,1117368,1163165,1177179,1187607,1214721,1243411
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,2042761,2143909,2130622,2276177,2460448,2665269,2826278,2813409,2594944,2547905,2602528,2738152,2857562,3027493,3235724,3499384,3791301,3729384
14," ""37027""","Caldwell, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,1087638,1094398,1089297,1120971,1086238,1080280,1054506,1021898,945822,943483,939669,952655,945695,970179,1026673,1087787,1190276,1333771
15," ""37029""","Camden, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,39491,43217,45972,55926,66356,89284,91163,89598,92439,102343,83845,75034,63924,62293,69441,62682,58715,56882
16," ""37031""","Carteret, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,576495,601777,643345,690901,736263,794826,791702,786694,738470,765571,744047,821096,822871,877042,910962,960227,1009947,1046860
17," ""37033""","Caswell, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,77457,77891,79028,79330,77527,80416,81715,81160,87671,97044,100075,99806,98738,100677,106797,104566,114589,127175
18," ""37035""","Catawba, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,3471790,3355699,3258296,3411396,3543400,3842011,3915543,3861711,3467755,3610267,3709802,3861553,3911897,4147665,4393488,4502537,4793183,4987154
19," ""37037""","Chatham, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,548635,560219,575244,632873,660364,725263,734543,731368,668024,699112,667714,698063,701183,694347,700115,738526,774993,800622
20," ""37039""","Cherokee, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,277339,275805,266978,263889,286527,302548,301325,301361,281257,290225,286227,296698,289054,300978,314748,315655,330420,343010
21," ""37041""","Chowan, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,151538,153520,165217,179517,187362,199645,194814,187268,178612,180893,177672,190830,186235,192203,196863,197427,213077,224664
22," ""37043""","Clay, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,58740,63462,65588,73168,77320,84969,80703,71063,59054,67169,62263,65282,65363,73302,73487,74415,76661,82755
23," ""37045""","Cleveland, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,1154676,1161201,1194575,1250845,1311011,1356938,1395726,1375192,1244757,1293833,1354856,1442961,1437666,1508437,1540907,1609274,1684716,1762621
24," ""37047""","Columbus, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,504257,512125,520948,538940,554059,572603,585536,596346,556608,580352,567145,593202,613550,605909,591488,603140,592324,615658
25," ""37049""","Craven, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,951941,991207,1057989,1137605,1221070,1317830,1404042,1356696,1274042,1293591,1299545,1388500,1373393,1440006,1481760,1508596,1535306,1569440
26," ""37051""","Cumberland, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,2758459,2963592,3075738,3254134,3506204,3640309,3839320,4005484,4063390,4273456,4296579,4389263,4351577,4324978,4298455,4330501,4413635,4590579
27," ""37053""","Currituck, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,122563,141586,164790,185870,199448,202741,208796,192064,192081,213595,254403,264435,276505,299037,314660,294454,313572,347471
28," ""37055""","Dare, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,610817,674160,741167,806334,787804,782314,746611,714209,660505,674607,675405,773220,813293,852618,887251,900211,931169,958637
29," ""37057""","Davidson, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,1653839,1667741,1673406,1712303,1753119,1823439,1805100,1740622,1624808,1754111,1783813,1892706,1933546,2053703,2127062,2218318,2331507,2433488
30," ""37059""","Davie, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,350840,353895,357181,383320,394353,436003,452865,440719,387948,395384,393841,412823,441144,494004,540150,578610,621664,646358
31," ""37061""","Duplin, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,477671,496966,496426,510754,498193,520121,559791,621720,609653,653016,679454,710036,711549,742663,732800,742149,730860,760329
32," ""37063""","Durham, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,9657088,9511759,9661187,10471373,10868448,11812513,12949611,13469402,13508580,14165749,13720156,14572710,14880720,16093102,16175443,16439591,17173244,18238163
33," ""37065""","Edgecombe, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,709693,709117,725367,762188,752222,753636,743091,720898,701656,698340,681169,686096,612546,616847,611685,617912,620623,616730
34," ""37067""","Forsyth, NC",5.0,CAINC5N,90.0,113-814,  Private nonfarm earnings,Thousands of dollars,8040310,8149097,8452678,8967882,9278036,9762615,10032615,10322041,9834336,10324955,10028907,10571398,10456467,11402397,11851668,11906428,12632311,12851597
