,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,13742036,13249115,15036596,19487493,22659855,27650173,30686174,38067226,31713177,27247011,24936751,34701615,28886362,29906142,30594607,31903484,34173125,34255059,35812298
1,37001,"Alamance, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,189048,191971,195713,208575,225994,246340,240350,234680,228520,282720,283601,342775,332540,336977,333442,326753,304728,315411,328956
2,37003,"Alexander, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,67572,55977,67003,76545,90694,88444,81256,53879,66875,82127,63262,82736,93407,111377,121522,96064,108455,100922,95192
3,37005,"Alleghany, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,45290,41402,41523,41202,42340,34681,33530,33997,37395,39162,37948,39077,25596,28897,31222,32266,37290,32667,34204
4,37007,"Anson, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,76814,45494,41155,51030,48333,58847,51643,37370,42617,62828,52369,68135,70755,90411,119163,95545,115342,97242,82402
5,37009,"Ashe, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,78199,70041,70117,72624,70321,82510,73289,72816,83774,93059,81372,92765,75733,68416,55701,52815,46900,43258,46473
6,37011,"Avery, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,66772,62158,58146,54601,66547,54798,60482,47688,52317,56814,56504,60333,51822,45231,37167,33975,32092,33557,35449
7,37013,"Beaufort, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,93971,69946,76216,83870,111074,105158,100052,105127,102922,119355,114310,165625,161887,144231,115931,118065,120848,114936,133618
8,37015,"Bertie, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,39569,21330,27384,27081,29322,22514,31861,35077,40784,42053,19544,40942,43074,53309,58182,47925,71864,48638,54582
9,37017,"Bladen, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,66385,19545,41066,70528,71224,52303,55051,87676,93404,130369,115018,111648,154661,168896,141796,118445,151482,102619,99196
10,37019,"Brunswick, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,157641,163083,193440,299560,390133,410031,327372,234991,165736,194116,177316,190637,209885,255307,279207,320467,358005,390039,407503
11,37021,"Buncombe, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,464926,486623,503500,557089,595882,698919,656642,615082,502529,532796,569371,683896,716958,871849,914844,1033435,1049223,1147572,1202155
12,37023,"Burke, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,133088,135903,133476,132894,130473,131436,121295,125496,122226,150757,127060,147169,134836,135878,139484,139734,144533,145292,148228
13,37025,"Cabarrus, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,149906,154496,162745,210755,217877,260598,280096,308329,298711,375153,451245,447749,428737,449481,485104,493546,546129,553224,578028
14,37027,"Caldwell, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,128439,129897,134804,150758,150216,154647,133831,114710,110513,119244,115473,134715,125526,128577,131020,130891,138957,145761,150950
15,37029,"Camden, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,15043,14290,15223,14645,23558,19844,18751,18285,19113,19080,23707,27928,27280,22233,18457,17708,19002,19353,21020
16,37031,"Carteret, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,122434,130647,135560,150566,165817,190016,166652,159066,149311,189338,175594,181013,174910,179356,186606,208492,208437,212393,221090
17,37033,"Caswell, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,33243,31630,32642,34775,27710,27873,26210,34102,36539,41175,32078,45437,47038,47446,43332,40071,44315,35636,36527
18,37035,"Catawba, NC",5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,273325,287869,283357,293791,335552,394954,388640,412608,391249,453650,392807,461665,451165,484610,461634,449621,473275,475247,495942
