,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,13203409,13440700,13793506,14233407,14686640,15401780,15721173,15401837,14538823,14919571,14966515,15714199,16363209,17227306,17871824,18445061,18880584,19515299
1,37001,"Alamance, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,200512,202872,199352,187048,208333,223678,234679,228812,221812,226070,239122,247631,251908,257638,262006,291300,306554,318549
2,37003,"Alexander, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,22199,23837,29366,28906,26583,24167,24177,22921,20894,20538,19261,20578,21925,23822,22216,23152,22881,23446
3,37005,"Alleghany, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,12148,11782,11741,10996,10246,11767,8874,9823,9052,7512,9000,9639,9709,12502,12576,13023,12472,12951
4,37007,"Anson, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,19237,19839,18964,19547,18540,23043,25802,26563,26360,23495,23288,21439,19759,20089,19426,20005,20668,21802
5,37009,"Ashe, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,30980,34795,34855,34326,35052,34495,33202,33979,32468,29333,29886,31523,30883,31521,31982,33976,34901,36460
6,37011,"Avery, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,18588,18618,19614,19109,21179,23534,25041,24690,24550,25996,23796,23641,23867,25293,24319,24585,24588,25488
7,37013,"Beaufort, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,50739,50760,53203,57145,59306,64919,65810,65444,61622,63208,63414,64933,66459,68180,69656,72465,69882,69111
8,37015,"Bertie, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,9118,8699,8706,8687,7970,8015,8145,8647,8551,9422,8361,8074,8356,8137,9217,9013,8434,7754
9,37017,"Bladen, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,23711,21499,19943,19694,18577,19717,20203,23062,22395,22324,22269,23112,23246,22640,26326,26603,26329,26561
10,37019,"Brunswick, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,86731,90361,97124,114329,122407,126405,132468,121764,120535,123819,126961,130130,133911,143105,152958,163302,171073,181667
11,37021,"Buncombe, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,388756,393319,414203,418524,450592,487951,497666,488070,451711,461789,474214,505721,526884,557906,594046,628647,650953,671903
12,37023,"Burke, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,86349,84345,87906,87350,81311,75984,77955,79126,77294,80215,83124,79973,80530,85544,84824,84198,89440,90542
13,37025,"Cabarrus, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,207446,219495,256301,292357,301040,319032,336917,328170,303432,302291,316746,346428,352362,369762,377592,384137,396576,414520
14,37027,"Caldwell, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,80358,80491,87257,94398,88518,80853,81994,89711,90052,93827,87107,84404,84614,86697,89549,90369,90634,91985
15,37029,"Camden, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,4847,5278,4608,5419,6422,6044,6095,6266,5900,5852,4923,4129,4230,4706,4312,4253,4544,4029
16,37031,"Carteret, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,90023,93006,96452,98241,102385,117603,121232,114485,109983,111424,104361,118674,129482,140730,155161,159975,162233,166385
17,37033,"Caswell, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,5956,5662,6339,7459,6952,5902,5441,5693,6091,6617,7605,7344,7664,7020,7117,7221,7638,7699
18,37035,"Catawba, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,293347,302703,302985,293707,325359,339347,347730,341501,308110,318293,313867,340630,355098,364888,416735,406623,437161,453094
19,37037,"Chatham, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,52296,53813,52210,53504,55294,60356,62139,54150,56353,55146,55827,50134,59031,63424,66188,66926,70229,74226
20,37039,"Cherokee, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,36343,39194,41028,41140,40087,41681,46455,43470,39386,36451,35099,35721,36293,39051,39775,40702,41966,43624
21,37041,"Chowan, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,13524,14076,14340,15599,15058,18811,17715,17645,16400,17377,17448,18224,16363,17385,20134,18371,18067,19049
22,37043,"Clay, NC",5.0,CAINC5N,700.0,44-45,   Retail trade,Thousands of dollars,7722,9122,8875,9257,10166,11906,13900,12919,12219,13600,14770,13999,12518,12669,13683,11978,12208,13058
