,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,7574849,7757856,8035874,8630798,9178363,9930489,10726057,11268351,11487416,11833383,11862424,11982636,12416098,12206654,12693548,12918540,13124660,13700161
1,37001,"Alamance, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,35260,36303,34823,36643,40283,42623,44623,46115,48064,46790,47307,47123,47623,44976,48263,49457,50448,51764
2,37003,"Alexander, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,4608,5278,6451,16276,19870,22929,25299,28034,29525,30743,30651,30890,32472,(D),(D),(D),(D),(D)
3,37005,"Alleghany, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,2891,3246,3285,3501,3656,3652,3660,3802,4906,5551,4828,4774,4897,4279,4434,4166,4088,4160
4,37007,"Anson, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,29297,28752,31238,40486,44926,48754,53378,57448,51637,52869,51862,52033,55551,56331,57534,53187,48644,47761
5,37009,"Ashe, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,6748,7164,7171,7792,8050,8582,8873,8885,9705,10094,10141,9785,9993,9704,9909,8597,8330,8687
6,37011,"Avery, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,13284,14958,15320,16872,19681,22059,24265,26028,33386,33732,32770,32117,33105,32497,34005,35127,36365,36991
7,37013,"Beaufort, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,28726,27454,29647,31474,32806,33881,36003,38091,37606,37595,36875,36794,37263,35305,37142,35673,34561,35254
8,37015,"Bertie, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,5372,5599,4836,4856,5044,13315,17226,19332,23894,23701,23439,24716,26184,(D),25381,26585,26824,26548
9,37017,"Bladen, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,18386,19558,19251,20854,22488,23624,23838,25274,24307,28476,29484,29954,30423,26256,27797,27659,27375,28441
10,37019,"Brunswick, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,17768,19010,19091,20696,22010,23406,24844,26829,29252,32089,32611,31801,32339,31470,34057,35034,34779,35721
11,37021,"Buncombe, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,164348,165848,167573,180002,193159,206748,221028,230438,232252,242491,239884,236458,242120,237274,247053,247715,249415,256568
12,37023,"Burke, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,192176,175970,176689,187579,198141,210073,222341,233332,216359,214501,207027,208782,212775,201255,209813,212061,215739,222987
13,37025,"Cabarrus, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,26645,28274,(D),26490,28419,30137,34519,36494,40829,43960,44162,40014,40619,42463,47082,45514,46142,49249
14,37027,"Caldwell, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,28499,29148,(D),32594,35313,38275,39990,41491,49102,51235,50183,51045,51245,47267,48962,48217,49118,48656
15,37029,"Camden, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,2252,2407,1821,1788,2015,2192,2405,2684,2588,1886,1798,1794,(D),1514,1525,1537,1578,1684
16,37031,"Carteret, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,38520,37935,39160,41893,44939,48371,51627,52521,54040,53085,52040,51587,52228,50501,51500,51651,50884,52565
17,37033,"Caswell, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,23441,22964,21321,22106,22820,24027,26122,27700,25389,25084,24025,23568,24086,23086,23507,24217,23652,23528
18,37035,"Catawba, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,43283,45718,46134,51293,56760,58365,61543,63272,68226,69709,72502,71772,71675,67443,68778,69820,71770,74900
19,37037,"Chatham, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,10651,11576,11150,12180,12566,13182,14276,14204,18701,18812,19171,19364,19794,19006,19860,20209,20148,21449
20,37039,"Cherokee, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,12780,12584,13826,15025,15794,17008,17626,17558,18042,17532,17633,17117,18064,17030,18662,18186,18077,18867
21,37041,"Chowan, NC",5.0,CAINC5N,2011.0,...,    State government,Thousands of dollars,6138,6066,5703,5885,6041,6648,7151,7430,8362,8193,8250,8245,8500,7924,8036,7639,7383,7928
