,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,37000,North Carolina,5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,23590000,24344361,25383174,27123907,28827877,30390884,32643845,34321245,34834788,35306789,35201028,35754171,36920903,36999289,39013306,39642239,40779980,42249763
1,37001,"Alamance, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,228329,241588,246129,259294,274158,291165,309103,324386,328955,331030,321555,323424,329756,332235,352364,357194,366919,379532
2,37003,"Alexander, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,46623,49637,52180,64550,71056,76725,82671,87790,89255,90909,90118,90308,93543,92674,95388,97493,101415,106203
3,37005,"Alleghany, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,19319,20852,21495,23163,25099,24294,23246,23183,24309,24899,27990,26301,26507,26541,27476,26719,27210,28088
4,37007,"Anson, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,82285,81280,85917,98454,104411,112799,120082,123657,116535,117142,114526,114413,116756,116533,114889,110639,105804,106486
5,37009,"Ashe, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,37528,39639,41933,44378,47180,49535,52694,53685,54587,55051,54246,52257,53390,52507,55565,54720,55252,56838
6,37011,"Avery, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,40530,42912,44819,47432,51401,55486,60167,62714,70281,71277,69765,69890,71517,71695,74439,75684,77323,78308
7,37013,"Beaufort, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,106356,106368,112181,117837,119692,123690,130056,133152,133471,133902,132357,130599,131953,131887,137849,136592,136624,140309
8,37015,"Bertie, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,39179,37973,37659,38473,38448,47172,53089,57490,62266,60386,57995,58640,60810,63908,65557,66569,66206,65167
9,37017,"Bladen, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,81830,81820,83401,89957,97532,102081,104906,110368,111118,116659,116519,117300,121387,118486,119462,116425,118015,121726
10,37019,"Brunswick, NC",5.0,CAINC5N,2010.0,...,   State and local,Thousands of dollars,141415,144843,153400,165218,180416,194388,213853,237118,237255,241094,242864,238916,242933,246426,257881,261713,270411,286941
