,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,6113413,5816411,5886332,6249997,6425455,6595771,6928073,6673291,6318087,6494938,6940013,7246264,7482287,8036618,8664667,8798591,9412817,10068382
1," ""37001""","Alamance, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,59078,50639,47726,45472,57952,54261,53084,50515,51318,55423,64434,74990,74801,75591,76097,75607,67953,76241
2," ""37003""","Alexander, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,15228,13299,12104,11711,12585,14044,16985,14660,14595,15599,17703,17411,16330,15943,17001,14619,17251,18189
3," ""37005""","Alleghany, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),6758,7015,6713,7210,6867,6389,5344,4538,2700,3913,(D),(D),(D),(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),19549,18430,17026,18346,19385,18742,16387,18242,20936,23055,26803,27725
5," ""37009""","Ashe, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,5357,(D),(D),(D),(D),(D),(D),(D),(D),(D),4843,(D),(D),(D),(D),(D),(D),(D)
6," ""37011""","Avery, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,6533,6243,5864,5932,(D),(D),(D),7113,6324,5429,6880,(D),(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),20809,24554,25281,26288,24825,25633,23094,21168,24352,(D),(D),(D),24864,26249,26638,(D),(D)
8," ""37015""","Bertie, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),7033,7998,8509,9426,10090,8387,7942,7912,(D),(D),(D),(D),8741,8065,7240,8812
9," ""37017""","Bladen, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,11988,12745,12747,15122,15913,14416,16232,16695,19255,20049,20055,19301,19925,19174,19296,19113,18855,19155
10," ""37019""","Brunswick, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,41662,27355,31548,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),44107,47548,47999,49486,50425
11," ""37021""","Buncombe, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,179567,134190,123012,132761,150562,165617,175579,172825,(D),(D),194355,213936,215195,228025,262796,213114,232333,233711
12," ""37023""","Burke, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,25373,28067,31242,36052,35950,42889,45883,45979,36179,34171,31839,30674,25202,23736,21751,21491,20336,19295
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,86123,83891,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),167336,239077
14," ""37027""","Caldwell, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,65643,65400,68667,65840,64694,67689,70028,59748,(D),59422,53000,38424,38794,40029,45088,41663,48645,55312
15," ""37029""","Camden, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),1289,6163,7193,7387,6981,5933,3216,3965,3094
16," ""37031""","Carteret, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,15219,14492,13363,15082,17883,17935,20896,16857,14898,15091,15362,15903,13121,17008,17757,16662,15422,17075
17," ""37033""","Caswell, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),1905,2178,1967,1888,1572,2033,2237,3028,4004,5020,4215,3850,4309,4895,4065,3699,3791
18," ""37035""","Catawba, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),164517,183218,197129,207423,224107,200973,(D),209033,(D),(D),(D),(D),(D),(D),(D),295294
19," ""37037""","Chatham, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,14600,14011,15835,16302,17760,16706,18095,16028,14192,15183,17622,21052,20892,(D),24331,26160,26046,(D)
20," ""37039""","Cherokee, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3430,3528
21," ""37041""","Chowan, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,7202,7654,7950,8591,8371,8491,9069,8332,9840,11675,12725,14681,12043,12465,12721,14235,16743,16876
22," ""37043""","Clay, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),510,(D),(D),(D),(D),(D),(D),(D),(D),1620,1465,2292,(D),4525
23," ""37045""","Cleveland, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),116985,123479,115915,107476,102035,99618,105989,111734,125876,134279,139199,147398,138207
24," ""37047""","Columbus, NC",5.0,CAINC5N,800.0,48-49,   Transportation and warehousing,Thousands of dollars,15873,17396,15783,9727,9769,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
