,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),1279510,1183716,1237111,1153915,1732473,1717612,2646050,2084966,2258749,2190305,1850950,1569505,1809498,2031331,2026892,2352142,2559384
1," ""37001""","Alamance, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,9202,9715,9882,10186,10272,10427,8846,10091,9692,10354,17142,37915,38467,11621,11299,11862,11672,12903
2," ""37003""","Alexander, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,2033,1825,1802,1997,1666,2104,1942,2782,2451,2540,2443,1993,1761,2012,2224,2383,2672,(D)
3," ""37005""","Alleghany, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),4380,4375,4730,4931,4713,4190,4588,4951,5030,5483,4924,5022
5," ""37009""","Ashe, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4106,(D),(D),(D),(D),(D),(D),(D)
6," ""37011""","Avery, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7," ""37013""","Beaufort, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),127,49,17,-53,222,182,678,382,476,(D),(D),(D),-79,31,-29,(D),(D)
8," ""37015""","Bertie, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-101,-90,(D),(D)
9," ""37017""","Bladen, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),1411,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
10," ""37019""","Brunswick, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),189068,207271,210472,203614,206509
11," ""37021""","Buncombe, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,27333,28698,28440,32470,31343,33087,32629,38030,(D),(D),38586,33573,38491,37000,39384,53246,62893,56561
12," ""37023""","Burke, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,2208,4216,3955,4112,3746,4859,4850,6253,5386,5865,5608,4796,4448,4930,5449,5292,6057,7053
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,14670,12227,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14," ""37027""","Caldwell, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,10529,11373,9250,9381,10390,10452,9896,11077,(D),11785,12101,11666,12228,12488,14686,13994,14982,15197
15," ""37029""","Camden, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
16," ""37031""","Carteret, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,7832,8504,8674,8319,7492,8608,8256,9585,9270,9365,9390,8958,8942,12942,12149,13041,12959,13585
17," ""37033""","Caswell, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,13,26,25,10,0,-9,-30,-50,-35,-31,-60,-79,-73,-59,-61,-55,-61,-65
18," ""37035""","Catawba, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),38018,37411,38271,43123,31409,35065,(D),37945,(D),(D),(D),(D),(D),(D),(D),(D)
19," ""37037""","Chatham, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,148,111,49,16,-50,353,255,941,546,653,514,192,-155,(D),7597,4627,9872,(D)
20," ""37039""","Cherokee, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),875,1065
21," ""37041""","Chowan, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,87,93,17,4,-53,249,245,813,462,539,466,216,-71,1,129,52,295,340
22," ""37043""","Clay, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,13,26,25,10,0,-9,-30,-50,-35,-31,-60,-79,-73,-59,-61,-55,-61,-65
23," ""37045""","Cleveland, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),3431,2951,4013,3815,3667,(D),(D),(D),(D),(D),(D),15977,28215
24," ""37047""","Columbus, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,4359,4972,4929,6423,7776,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
25," ""37049""","Craven, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,5448,5614,7262,8507,8321,9113,9339,10150,10042,10526,10622,10037,10779,12612,12776,13370,14719,15894
26," ""37051""","Cumberland, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,19230,(D),18515,19877,17542,26673,27744,35950,36293,38430,38444,35612,34752,39846,41063,43178,45376,48700
27," ""37053""","Currituck, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
28," ""37055""","Dare, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,6349,(D),7135,7336,7825,8955,9100,10327,9657,10189,(D),7680,7793,8099,8610,9153,9571,10240
29," ""37057""","Davidson, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,8829,8643,8337,8024,7794,9825,9926,12504,12039,10652,10606,9562,9159,10269,10357,10718,10967,(D)
30," ""37059""","Davie, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
31," ""37061""","Duplin, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,3187,3906,4078,3852,1964,3772,2271,3023,4907,6611,6571,5882,5836,4864,2773,2130,2117,2481
32," ""37063""","Durham, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),25414,22096,26172,(D),(D),21690,17309,(D),(D),(D),(D),(D),30285
33," ""37065""","Edgecombe, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),9250,9892,10241,10174,10927,12574,12961,12631,(D),(D),(D),(D),(D),(D),(D),8682,9284
34," ""37067""","Forsyth, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
35," ""37069""","Franklin, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5791,6030,6203,6968,(D)
36," ""37071""","Gaston, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,60626,55280,49110,51975,51592,61651,52507,66391,61668,64688,63907,53519,50462,55614,59685,63457,63151,67650
37," ""37073""","Gates, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,7,15,14,6,0,-5,-17,-29,-20,-17,(D),(D),-43,-35,-36,-33,(D),(D)
38," ""37075""","Graham, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),2134,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
39," ""37077""","Granville, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,3472,(D),(D),(D),(D),(D),(D),(D),2511,(D),(D),(D),(D),(D),(D),(D),(D),(D)
40," ""37079""","Greene, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
41," ""37081""","Guilford, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,48742,52633,51075,50067,48169,51973,36104,40725,38759,40568,40474,37358,42045,44455,44526,47372,47613,50159
42," ""37083""","Halifax, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,12429,12960,14987,13547,13376,12125,(D),(D),(D),(D),(D),26594,26770,25310,24198,16967,15790,11939
43," ""37085""","Harnett, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
44," ""37087""","Haywood, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
45," ""37089""","Henderson, NC",5.0,CAINC5N,300.0,22,   Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9659
