,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,10.0,...,Personal income (thousands of dollars),Thousands of dollars,228879962,232267281,241625829,261640155,281033775,306078047,329509436,350848256,338315713,341627602,355052267,379925288,376023857,397995923,419891523,433195584,453769026,478861557
1," ""37000""",North Carolina,5.0,CAINC5N,20.0,...,Population (persons) 2/,Number of persons,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
2," ""37000""",North Carolina,5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36767,38970,38200,40064,41851,42651,44180,46117
3," ""37000""",North Carolina,5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,174113335,176206894,183376885,197980982,211519107,229570540,245339716,257505459,243168101,243762027,247464422,267072169,266760383,280636099,293911001,303689403,317893541,333559983
4," ""37000""",North Carolina,5.0,CAINC5N,36.0,..., Less: Contributions for government social insurance 3/,Thousands of dollars,20100040,20369137,21376375,22462511,24021774,25771292,27517660,28278511,27492664,27812781,25926513,26956299,31307775,32936145,34551393,35605704,36993403,38219633
5," ""37000""",North Carolina,5.0,CAINC5N,37.0,...,  Employee and self-employed contributions for government social insurance,Thousands of dollars,10403048,10671081,10943536,11590367,12382376,13386141,14341084,14729479,14360860,14579985,11963453,12397899,16318119,17141057,18004631,18915168,19987923,21075278
6," ""37000""",North Carolina,5.0,CAINC5N,38.0,...,  Employer contributions for government social insurance,Thousands of dollars,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16546762,16690536,17005480,17144355
7," ""37000""",North Carolina,5.0,CAINC5N,42.0,..., Plus: Adjustment for residence 4/,Thousands of dollars,-930337,-899336,-755506,-756652,-825958,-1009797,-1240143,-1271482,-1045944,-961488,-890818,-938757,-847332,-919147,-1125376,-1290206,-1201195,-1475662
8," ""37000""",North Carolina,5.0,CAINC5N,45.0,..., Equals: Net earnings by place of residence,Thousands of dollars,153082958,154938421,161245004,174761819,186671375,202789451,216581913,227955466,214629493,214987758,220647091,239177113,234605276,246780807,258234232,266793493,279698943,293864688
9," ""37000""",North Carolina,5.0,CAINC5N,46.0,...," Plus: Dividends, interest, and rent 5/",Thousands of dollars,42293268,41065318,42242273,45761211,49731945,54629985,60583999,63442622,57188099,55995665,62027408,66771237,66028648,72906274,78927440,81130003,85439772,92309312
10," ""37000""",North Carolina,5.0,CAINC5N,47.0,..., Plus: Personal current transfer receipts,Thousands of dollars,33503736,36263542,38138552,41117125,44630455,48658611,52343524,59450168,66498121,70644179,72377768,73976938,75389933,78308842,82729851,85272088,88630311,92687557
11," ""37000""",North Carolina,5.0,CAINC5N,50.0,..., Wages and salaries,Thousands of dollars,132002644,133601815,136786159,144742427,152363869,163308232,173894615,177813382,169548458,173519379,179966208,187090787,192266678,201605023,212899864,221474327,232229403,245399095
12," ""37000""",North Carolina,5.0,CAINC5N,60.0,..., Supplements to wages and salaries,Thousands of dollars,28368655,29355964,31554130,33751062,36495383,38612135,40758927,41624851,41906466,42995637,42561463,45279767,45607343,49124934,50601344,50371317,51173688,53267797
13," ""37000""",North Carolina,5.0,CAINC5N,61.0,...,  Employer contributions for employee pension and insurance funds 6/,Thousands of dollars,18671663,19657908,21121291,22878918,24855985,26226984,27582351,28075819,28774662,29762841,28598403,30721367,30617687,33329846,34054582,33680781,34168208,36123442
14," ""37000""",North Carolina,5.0,CAINC5N,62.0,...,  Employer contributions for government social insurance,Thousands of dollars,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16546762,16690536,17005480,17144355
15," ""37000""",North Carolina,5.0,CAINC5N,70.0,..., Proprietors' income 7/,Thousands of dollars,13742036,13249115,15036596,19487493,22659855,27650173,30686174,38067226,31713177,27247011,24936751,34701615,28886362,29906142,30409793,31843759,34490450,34893091
16," ""37000""",North Carolina,5.0,CAINC5N,71.0,...,  Farm proprietors' income,Thousands of dollars,2605675,902661,1053626,1807150,2666124,2008965,1551166,1574115,1715859,1973493,1539551,2245381,2744498,3031722,2450392,1747141,2530577,1579027
17," ""37000""",North Carolina,5.0,CAINC5N,72.0,...,  Nonfarm proprietors' income,Thousands of dollars,11136361,12346454,13982970,17680343,19993731,25641208,29135008,36493111,29997318,25273518,23397200,32456234,26141864,26874420,27959401,30096618,31959873,33314064
