,	GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
0,"0	"" """"37000""""""	North Carolina	5.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 1/	Thousands of dollars	160371299	162957779	168340289	178493489	188859252	201920367	214653542	219438233	211454924	216515016	222527671	232370554	237874021	250034594	263482253	271908258	284329408"
1,"1	"" """"37000""""""	North Carolina	5.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	132002644	133601815	136786159	144742427	152363869	163308232	173894615	177813382	169548458	173519379	179966208	187090787	192266678	200930443	212837993	221422210	232254845"
2,"2	"" """"37000""""""	North Carolina	5.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	28368655	29355964	31554130	33751062	36495383	38612135	40758927	41624851	41906466	42995637	42561463	45279767	45607343	49104151	50644260	50486048	52074563"
3,"3	"" """"37000""""""	North Carolina	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 2/	Thousands of dollars	18671663	19657908	21121291	22878918	24855985	26226984	27582351	28075819	28774662	29762841	28598403	30721367	30617687	33333413	34086384	33784938	35087081"
4,"4	"" """"37000""""""	North Carolina	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	9696992	9698056	10432839	10872144	11639398	12385151	13176576	13549032	13131804	13232796	13963060	14558400	14989656	15770738	16557876	16701110	16987482"
5,"5	"" """"37000""""""	North Carolina	5.0	CAINC6N	9.0	...	Average compensation per job (dollars) 3/	Dollars	39318	40256	41827	43679	45384	47223	48995	50224	50878	52495	53289	54781	55341	57073	58619	59254	61048"
6,"6	"" """"37000""""""	North Carolina	5.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	516547	612214	541544	567264	542287	597765	742065	668750	552880	425493	523181	644949	668786	662226	649520	768123	784736"
7,"7	"" """"37000""""""	North Carolina	5.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	159854752	162345565	167798745	177926225	188316965	201322602	213911477	218769483	210902044	216089523	222004490	231725605	237205235	249372368	262832733	271140135	283544672"
8,"8	"" """"37000""""""	North Carolina	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	128226820	129355927	132495449	140034569	147656870	158432534	167623468	169535927	159968580	163599262	169238783	178540721	183394651	195505060	206659001	213821297	224971588"
9,"10	"" """"37000""""""	North Carolina	5.0	CAINC6N	101.0	113	    Forestry and logging	Thousands of dollars	140939	138909	141389	155754	145091	149107	154633	143508	136344	140189	134980	143216	138119	158685	165070	173687	173984"
10,"12	"" """"37000""""""	North Carolina	5.0	CAINC6N	103.0	115	    Support activities for agriculture and forestry	Thousands of dollars	166229	188237	198820	232042	238520	277717	280090	283510	327921	329830	340171	373789	393144	433684	450340	460690	468723"
11,"14	"" """"37000""""""	North Carolina	5.0	CAINC6N	201.0	211	    Oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	0	0	(D)	(D)	(D)	974	1461	1274	2364	2084	2199	2174	1569	(D)"
12,"15	"" """"37000""""""	North Carolina	5.0	CAINC6N	202.0	212	    Mining (except oil and gas)	Thousands of dollars	199832	184509	188559	210152	240928	272251	294027	237155	206140	154747	156183	153393	150984	157835	174021	185136	210782"
13,"16	"" """"37000""""""	North Carolina	5.0	CAINC6N	203.0	213	    Support activities for mining	Thousands of dollars	(D)	(D)	(D)	7767	7149	(D)	(D)	(D)	7870	9347	16255	22098	23201	17404	18970	21502	(D)"
14,"17	"" """"37000""""""	North Carolina	5.0	CAINC6N	300.0	22	   Utilities	Thousands of dollars	(D)	1206308	1193011	1245215	1218429	1300848	1314107	1365634	1336765	1399223	1415956	1414259	1566711	1723596	1753587	1857118	1811481"
15,"18	"" """"37000""""""	North Carolina	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9172824	8815876	8845270	9505904	10399913	11545978	12436153	11815148	9688298	9062976	9027920	9364836	9641491	10450941	11449311	12538480	13472174"
16,"19	"" """"37000""""""	North Carolina	5.0	CAINC6N	401.0	236	    Construction of buildings	Thousands of dollars	2498509	2468992	2477684	2569537	2866065	3142242	3344531	3050556	2435412	2202517	2145137	2376986	2423819	2598990	2903377	3205838	3364346"
17,"20	"" """"37000""""""	North Carolina	5.0	CAINC6N	402.0	237	    Heavy and civil engineering construction	Thousands of dollars	1575288	1433184	1389816	1510427	1633104	1780192	1827347	1727702	1404448	1366207	1386041	1513163	1557656	1688976	1851253	2073370	2292052"
18,"21	"" """"37000""""""	North Carolina	5.0	CAINC6N	403.0	238	    Specialty trade contractors	Thousands of dollars	5099027	4913700	4977770	5425940	5900744	6623544	7264275	7036890	5848438	5494252	5496742	5474687	5660016	6162975	6694681	7259272	7815776"
19,"22	"" """"37000""""""	North Carolina	5.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	32690625	31231371	30662668	31190700	31542262	32133216	32975377	32097132	28669242	28818732	29380447	30198650	30963025	32311451	33674420	33675592	34939421"
20,"24	"" """"37000""""""	North Carolina	5.0	CAINC6N	511.0	321	     Wood product manufacturing	Thousands of dollars	1017769	1007670	994143	1076239	1171881	1179099	1116756	985124	734019	727596	733423	758300	823861	907976	951203	975415	1046009"
21,"25	"" """"37000""""""	North Carolina	5.0	CAINC6N	512.0	327	     Nonmetallic mineral product manufacturing	Thousands of dollars	1011688	910925	861379	869625	901940	959515	999430	944133	784635	763186	781294	839661	854095	902335	959684	995581	1040317"
22,"26	"" """"37000""""""	North Carolina	5.0	CAINC6N	513.0	331	     Primary metal manufacturing	Thousands of dollars	385184	366809	357471	428522	468314	532632	552262	557441	456100	462349	512484	552179	550593	593473	624701	590880	611640"
23,"27	"" """"37000""""""	North Carolina	5.0	CAINC6N	514.0	332	     Fabricated metal product manufacturing	Thousands of dollars	1846752	1817521	1823025	1911482	2022830	2183695	2243645	2140004	1819383	1836252	1877563	2071258	2101119	2171833	2265818	2317872	2393266"
24,"28	"" """"37000""""""	North Carolina	5.0	CAINC6N	515.0	333	     Machinery manufacturing	Thousands of dollars	1813592	1709507	1702411	1789935	1908529	1999063	2106451	2128306	1825222	1893258	2071992	2208548	2250074	2410996	2522935	2603174	2759738"
25,"29	"" """"37000""""""	North Carolina	5.0	CAINC6N	516.0	334	     Computer and electronic product manufacturing	Thousands of dollars	4808402	3944710	3707407	3818850	3757775	4183688	4609924	4449578	4227362	4132585	4107200	4272164	4459291	4095151	4237196	4307798	4463420"
26,"32	"" """"37000""""""	North Carolina	5.0	CAINC6N	519.0	3364-3369	     Other transportation equipment manufacturing	Thousands of dollars	331375	338028	350995	420539	509632	574442	662106	732963	623974	614298	633120	690146	695074	813735	879815	930969	955025"
27,"33	"" """"37000""""""	North Carolina	5.0	CAINC6N	521.0	337	     Furniture and related product manufacturing	Thousands of dollars	2242255	2186383	2179883	2217720	2161516	2084425	2024136	1841549	1433762	1404676	1412219	1469389	1503014	1582068	1720355	1745015	1799356"
28,"34	"" """"37000""""""	North Carolina	5.0	CAINC6N	522.0	339	     Miscellaneous manufacturing	Thousands of dollars	748929	760017	782701	806881	853643	900232	920524	963052	938231	941380	997599	1042462	1078700	1104051	1214566	1155507	1149438"
29,"36	"" """"37000""""""	North Carolina	5.0	CAINC6N	531.0	311	     Food manufacturing	Thousands of dollars	1617790	1728713	1868304	1820101	1838499	1923949	2063006	2122589	2182612	2269643	2199511	2261399	2359626	2561768	2580756	2686461	2834430"
30,"37	"" """"37000""""""	North Carolina	5.0	CAINC6N	532.0	312	     Beverage and tobacco product manufacturing	Thousands of dollars	1311260	1310227	1295017	1342839	1340569	1261949	1277026	1198183	1119069	1006898	890677	824054	787329	820192	882360	852138	848028"
31,"38	"" """"37000""""""	North Carolina	5.0	CAINC6N	533.0	313	     Textile mills	Thousands of dollars	3095075	2905457	2598663	2411215	2154469	1979447	1837334	1671361	1269834	1332429	1277930	1287258	1319005	1420499	1422960	1400175	1442934"
32,"39	"" """"37000""""""	North Carolina	5.0	CAINC6N	534.0	314	     Textile product mills	Thousands of dollars	546923	525938	507453	479496	448360	392433	379552	360426	261377	270005	268829	281572	248026	272549	270033	272439	283808"
33,"40	"" """"37000""""""	North Carolina	5.0	CAINC6N	535.0	315	     Apparel manufacturing	Thousands of dollars	1209290	1118022	1065046	1011619	962115	923807	750410	656165	552319	525897	511046	308456	308695	333450	304145	279689	272791"
34,"41	"" """"37000""""""	North Carolina	5.0	CAINC6N	536.0	316	     Leather and allied product manufacturing	Thousands of dollars	39184	24226	27432	26960	25694	25892	29632	27605	21891	18393	19382	17007	19749	24545	29640	31952	30073"
35,"42	"" """"37000""""""	North Carolina	5.0	CAINC6N	537.0	322	     Paper manufacturing	Thousands of dollars	1165592	1161769	1163444	1146440	1192352	1189178	1216722	1220987	1112258	1114371	1125091	1148849	1164801	1219011	1251873	1275743	1311088"
36,"43	"" """"37000""""""	North Carolina	5.0	CAINC6N	538.0	323	     Printing and related support activities	Thousands of dollars	733038	721541	719996	728311	749179	784351	818661	797300	662414	641879	627641	580404	591945	630286	630024	650218	649827"
37,"44	"" """"37000""""""	North Carolina	5.0	CAINC6N	539.0	324	     Petroleum and coal products manufacturing	Thousands of dollars	82798	73218	81981	80739	80066	86485	90888	94902	90293	93279	89613	97041	97376	79315	77033	84796	76790"
38,"45	"" """"37000""""""	North Carolina	5.0	CAINC6N	541.0	325	     Chemical manufacturing	Thousands of dollars	3556206	3695730	3761360	3761704	3740356	3708971	4036746	4075499	4045920	4167774	4338808	4332522	4467762	4738856	4870394	4573307	4715708"
39,"46	"" """"37000""""""	North Carolina	5.0	CAINC6N	542.0	326	     Plastics and rubber products manufacturing	Thousands of dollars	1684809	1730683	1706454	1696404	1779236	1814285	1855389	1828753	1602336	1692201	1749000	1819645	1852921	1973055	2058414	2131067	2238321"
40,"47	"" """"37000""""""	North Carolina	5.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	8275236	8647282	9068291	9839792	10451306	11181340	12007655	12066848	11313225	11666793	12265087	12945052	13333504	14243515	14731952	15043926	15957338"
41,"48	"" """"37000""""""	North Carolina	5.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	11563892	11692330	12004875	12409932	13130053	13664284	14378231	14208072	13348553	13516866	13667838	14301735	14904151	15653899	16252083	16799404	17178636"
42,"49	"" """"37000""""""	North Carolina	5.0	CAINC6N	701.0	441	    Motor vehicle and parts dealers	Thousands of dollars	2367601	2455345	2545923	2640988	2766725	2864816	2981554	2773441	2365757	2507534	2646581	2830807	3000494	3212728	3422153	3605823	3699372"
43,"50	"" """"37000""""""	North Carolina	5.0	CAINC6N	702.0	442	    Furniture and home furnishings stores	Thousands of dollars	561189	568587	576783	593507	654764	690519	696109	649595	527242	494656	499113	520207	551345	566150	591806	619797	633511"
44,"51	"" """"37000""""""	North Carolina	5.0	CAINC6N	703.0	443	    Electronics and appliance stores	Thousands of dollars	687907	634762	597181	602556	601025	632424	689134	714640	627062	589366	604060	643837	657377	691595	721284	713101	723667"
45,"52	"" """"37000""""""	North Carolina	5.0	CAINC6N	704.0	444	    Building material and garden equipment and supplies dealers	Thousands of dollars	1182751	1176376	1231173	1336350	1439374	1519448	1613061	1553202	1401930	1397697	1336574	1399582	1434323	1510124	1527079	1639374	1705228"
46,"53	"" """"37000""""""	North Carolina	5.0	CAINC6N	705.0	445	    Food and beverage stores	Thousands of dollars	1708176	1719159	1698054	1660576	1676358	1680005	1740363	1866852	1802598	1827364	1758913	1957292	2023672	2124088	2259962	2303444	2391537"
47,"54	"" """"37000""""""	North Carolina	5.0	CAINC6N	706.0	446	    Health and personal care stores	Thousands of dollars	750515	785676	832368	913576	1023663	1109693	1217292	1185248	1214397	1332305	1338578	1365893	1401984	1451303	1469532	1492862	1482854"
48,"55	"" """"37000""""""	North Carolina	5.0	CAINC6N	707.0	447	    Gasoline stations	Thousands of dollars	546464	545774	572040	588843	599775	622263	635040	623503	607534	622785	605924	636380	651155	681639	693472	745191	791510"
49,"56	"" """"37000""""""	North Carolina	5.0	CAINC6N	708.0	448	    Clothing and clothing accessories stores	Thousands of dollars	695378	671502	695227	718777	743082	774061	811682	781969	717921	737455	724110	767336	792194	824821	856585	876372	920371"
50,"58	"" """"37000""""""	North Carolina	5.0	CAINC6N	711.0	452	    General merchandise stores	Thousands of dollars	1595878	1704072	1825142	1910403	2130977	2235563	2398834	2472623	2564349	2541684	2644211	2643349	2772637	2885026	2909649	2983255	2978205"
51,"59	"" """"37000""""""	North Carolina	5.0	CAINC6N	712.0	453	    Miscellaneous store retailers	Thousands of dollars	789428	750676	738190	725929	740148	738950	758715	745590	696095	660149	683457	683197	693873	714452	755673	750774	744816"
52,"60	"" """"37000""""""	North Carolina	5.0	CAINC6N	713.0	454	    Nonstore retailers	Thousands of dollars	357854	355259	370441	382290	403735	434875	462450	466144	451154	441241	476030	498430	551962	598307	627192	654091	682035"
53,"61	"" """"37000""""""	North Carolina	5.0	CAINC6N	800.0	48-49	   Transportation and warehousing	Thousands of dollars	5471108	5153254	5182630	5504466	5644147	5785483	5971121	6012870	5623354	5633078	5895918	6147649	6339890	6779908	7289203	7465566	8072898"
54,"62	"" """"37000""""""	North Carolina	5.0	CAINC6N	801.0	481	    Air transportation	Thousands of dollars	1099656	963122	850940	781171	738559	675878	705748	869223	786200	826881	891296	904064	1006914	1135452	1257662	1319532	1506749"
55,"63	"" """"37000""""""	North Carolina	5.0	CAINC6N	802.0	482	    Rail transportation	Thousands of dollars	194350	199818	(D)	(D)	224876	238877	243476	257682	249623	(D)	(D)	(D)	(D)	(D)	(D)	(D)	293282"
56,"64	"" """"37000""""""	North Carolina	5.0	CAINC6N	803.0	483	    Water transportation	Thousands of dollars	72394	76225	12152	9607	10307	70791	58482	99550	131049	116279	110031	93877	85253	85095	25194	13228	11697"
57,"65	"" """"37000""""""	North Carolina	5.0	CAINC6N	804.0	484	    Truck transportation	Thousands of dollars	2217459	2119852	2151299	2243520	2345675	2471015	2515417	2375214	2082384	2033905	2129835	2160476	2246612	2385652	2597720	2638411	2746896"
58,"66	"" """"37000""""""	North Carolina	5.0	CAINC6N	805.0	485	    Transit and ground passenger transportation	Thousands of dollars	123549	120748	134621	145657	156636	169076	171918	184907	185685	187903	201330	212267	224518	244758	261690	253256	260061"
59,"67	"" """"37000""""""	North Carolina	5.0	CAINC6N	806.0	486	    Pipeline transportation	Thousands of dollars	9665	10593	10459	(D)	10349	11526	12463	13801	16533	25138	26115	27383	25413	25372	30379	34798	37464"
60,"68	"" """"37000""""""	North Carolina	5.0	CAINC6N	807.0	487	    Scenic and sightseeing transportation	Thousands of dollars	9078	10225	11147	12630	10575	11662	12130	10724	10700	10471	10101	10958	10929	10768	11812	11961	12267"
61,"69	"" """"37000""""""	North Carolina	5.0	CAINC6N	808.0	488	    Support activities for transportation	Thousands of dollars	569751	519684	582583	689499	695368	683070	735671	740385	659887	639223	718353	750447	799474	853614	872764	876577	962168"
62,"70	"" """"37000""""""	North Carolina	5.0	CAINC6N	809.0	492	    Couriers and messengers	Thousands of dollars	528934	533095	(D)	(D)	641712	646792	683427	672423	669243	(D)	(D)	(D)	(D)	(D)	(D)	(D)	846140"
63,"71	"" """"37000""""""	North Carolina	5.0	CAINC6N	811.0	493	    Warehousing and storage	Thousands of dollars	646272	599892	671154	779119	810090	806796	832389	788961	832050	857629	887240	1012998	993936	1042406	1170372	1235025	1396174"
64,"72	"" """"37000""""""	North Carolina	5.0	CAINC6N	900.0	51	   Information	Thousands of dollars	(D)	4521107	4648008	4744453	4871495	4987973	5213651	5320155	5352937	5353426	5594126	5966554	6161686	6889922	7361778	7606924	7789924"
