,County	Collections
0,Alamance	9033609.0
1,Alamance	10105284.0
2,Alamance	10641774.0
3,Alamance	11396716.0
4,Alamance	10004256.0
5,Alamance	10467512.0
6,Alamance	10539132.0
7,Alamance	10944463.0
8,Alamance	11953854.0
9,Alamance	10149765.0
10,Alamance	10810131.0
11,Alamance	9006359.0
12,Alamance	9906970.0
13,Alamance	10150906.0
14,Alamance	10909984.0
15,Alexander	853331.0
16,Alexander	933091.0
17,Alexander	887174.0
18,Alexander	800011.0
19,Alexander	836831.0
20,Alexander	888560.0
21,Alexander	819955.0
22,Alexander	833296.0
23,Alexander	919117.0
24,Alexander	911366.0
25,Alexander	906996.0
26,Alexander	797676.0
27,Alexander	902058.0
28,Alexander	930421.0
29,Alexander	863871.0
30,Alleghany	292330.0
31,Alleghany	303952.0
32,Alleghany	342060.0
33,Alleghany	395509.0
34,Alleghany	314247.0
35,Alleghany	353488.0
36,Alleghany	359699.0
37,Alleghany	361759.0
38,Alleghany	411434.0
39,Alleghany	323355.0
40,Alleghany	295485.0
41,Alleghany	334013.0
42,Alleghany	382902.0
43,Alleghany	310448.0
44,Alleghany	404200.0
45,Anson	570158.0
46,Anson	596442.0
47,Anson	578192.0
48,Anson	696783.0
49,Anson	535475.0
50,Anson	706618.0
51,Anson	595217.0
52,Anson	604831.0
53,Anson	707385.0
54,Anson	625045.0
55,Anson	608442.0
56,Anson	634646.0
57,Anson	649259.0
58,Anson	607178.0
59,Anson	665965.0
60,Ashe	932434.0
61,Ashe	1192388.0
62,Ashe	1139192.0
63,Ashe	1317268.0
64,Ashe	1117479.0
65,Ashe	1287210.0
66,Ashe	1286587.0
67,Ashe	1163933.0
68,Ashe	1224626.0
69,Ashe	1221335.0
70,Ashe	1152274.0
71,Ashe	1337460.0
72,Ashe	1141923.0
73,Ashe	970277.0
74,Ashe	1301564.0
75,Avery	1519148.0
76,Avery	1403953.0
77,Avery	969821.0
78,Avery	1265384.0
79,Avery	1175209.0
80,Avery	1219074.0
81,Avery	1183492.0
82,Avery	980838.0
83,Avery	1449640.0
84,Avery	1065920.0
85,Avery	1433584.0
86,Avery	1073140.0
87,Avery	1324269.0
88,Avery	990322.0
89,Avery	1561201.0
90,Beaufort	1911582.0
91,Beaufort	2040423.0
92,Beaufort	2129428.0
93,Beaufort	2063793.0
94,Beaufort	2117305.0
95,Beaufort	2122820.0
96,Beaufort	1959432.0
97,Beaufort	2164638.0
98,Beaufort	2233588.0
99,Beaufort	1822437.0
100,Beaufort	2361760.0
101,Beaufort	1835356.0
102,Beaufort	2118911.0
103,Beaufort	2327096.0
104,Beaufort	2171697.0
105,Bertie	369380.0
106,Bertie	348728.0
107,Bertie	330657.0
108,Bertie	365499.0
109,Bertie	296479.0
110,Bertie	341218.0
111,Bertie	325447.0
112,Bertie	379269.0
113,Bertie	401996.0
114,Bertie	335726.0
115,Bertie	374772.0
116,Bertie	363048.0
117,Bertie	338410.0
118,Bertie	323060.0
119,Bertie	368986.0
120,Bladen	856333.0
121,Bladen	804809.0
122,Bladen	725840.0
123,Bladen	935444.0
124,Bladen	875237.0
125,Bladen	882572.0
126,Bladen	801292.0
127,Bladen	937616.0
128,Bladen	937675.0
129,Bladen	793584.0
130,Bladen	919722.0
131,Bladen	885889.0
132,Bladen	780252.0
133,Bladen	823004.0
134,Bladen	878961.0
135,Brunswick	7689135.0
136,Brunswick	10251967.0
137,Brunswick	6651887.0
138,Brunswick	6197739.0
139,Brunswick	10682191.0
140,Brunswick	7515544.0
141,Brunswick	6265611.0
142,Brunswick	8507008.0
143,Brunswick	7234166.0
144,Brunswick	7744297.0
145,Brunswick	6718447.0
146,Brunswick	7933440.0
147,Brunswick	6758763.0
148,Brunswick	5744404.0
149,Brunswick	9412856.0
150,Buncombe	24220622.0
151,Buncombe	23414035.0
152,Buncombe	23989132.0
153,Buncombe	24686920.0
154,Buncombe	22482331.0
155,Buncombe	23378632.0
156,Buncombe	23840649.0
157,Buncombe	24077379.0
158,Buncombe	24041364.0
159,Buncombe	24164782.0
160,Buncombe	18371476.0
161,Buncombe	23040063.0
162,Buncombe	18566343.0
163,Buncombe	22895549.0
164,Buncombe	25769617.0
165,Burke	2903944.0
166,Burke	2846390.0
167,Burke	3203470.0
168,Burke	3360081.0
169,Burke	3305501.0
170,Burke	3281410.0
171,Burke	3093676.0
172,Burke	3079500.0
173,Burke	3224131.0
174,Burke	2806882.0
175,Burke	3088111.0
176,Burke	3278484.0
177,Burke	3013813.0
178,Burke	2953600.0
179,Burke	3135706.0
180,Cabarrus	13073078.0
181,Cabarrus	14488119.0
182,Cabarrus	12861720.0
183,Cabarrus	14603171.0
184,Cabarrus	16700574.0
185,Cabarrus	14826318.0
186,Cabarrus	15089603.0
187,Cabarrus	14374043.0
188,Cabarrus	14797784.0
189,Cabarrus	15271704.0
190,Cabarrus	15532943.0
191,Cabarrus	14335666.0
192,Cabarrus	14064535.0
193,Cabarrus	15265361.0
194,Cabarrus	15757329.0
195,Caldwell	2581494.0
196,Caldwell	2649058.0
197,Caldwell	2690987.0
198,Caldwell	2695082.0
199,Caldwell	2788565.0
200,Caldwell	2741208.0
201,Caldwell	2574935.0
202,Caldwell	2244861.0
203,Caldwell	2348856.0
204,Caldwell	2536179.0
205,Caldwell	2563637.0
