,GeoArea_FIPS	GeoArea_Name	Date	Published_Value
37001	Alamance, NC	01-01-19	250983564.42
37001	Alamance, NC	01-01-20	267938536.67
37001	Alamance, NC	02-01-19	189452507.22
37001	Alamance, NC	02-01-20	189839140.88
37001	Alamance, NC	03-01-19	189220035.13
37001	Alamance, NC	04-01-19	226671322.92
37001	Alamance, NC	05-01-19	219748993.2
37001	Alamance, NC	06-01-19	221131625.21
37001	Alamance, NC	07-01-19	239138880.91
37001	Alamance, NC	08-01-19	228867396.82
37001	Alamance, NC	09-01-19	213204912.37
37001	Alamance, NC	10-01-18	209955241.29
37001	Alamance, NC	10-01-19	211860768.34
37001	Alamance, NC	11-01-18	213134019.98
37001	Alamance, NC	11-01-19	208118165.86
37001	Alamance, NC	12-01-18	223557435.87
37001	Alamance, NC	12-01-19	229813165.41
37003	Alexander, NC	01-01-19	18952002.86
37003	Alexander, NC	01-01-20	22606947.67
37003	Alexander, NC	02-01-19	16776215.44
37003	Alexander, NC	02-01-20	16877651.71
37003	Alexander, NC	03-01-19	16732887.02
37003	Alexander, NC	04-01-19	19527434.47
37003	Alexander, NC	05-01-19	19259327.15
37003	Alexander, NC	06-01-19	19192350.84
37003	Alexander, NC	07-01-19	19053006.32
37003	Alexander, NC	08-01-19	17923010.93
37003	Alexander, NC	09-01-19	18202268.66
37003	Alexander, NC	10-01-18	17547002.99
37003	Alexander, NC	10-01-19	18561753.15
37003	Alexander, NC	11-01-18	17232566.94
37003	Alexander, NC	11-01-19	18693840.37
37003	Alexander, NC	12-01-18	17489769.37
37003	Alexander, NC	12-01-19	19573355.72
37005	Alleghany, NC	01-01-19	6198583.35
37005	Alleghany, NC	01-01-20	7856539.68
37005	Alleghany, NC	02-01-19	8639216.1
37005	Alleghany, NC	02-01-20	6836073.51
37005	Alleghany, NC	03-01-19	5947880.62
37005	Alleghany, NC	04-01-19	6725692.37
37005	Alleghany, NC	05-01-19	6381166.13
37005	Alleghany, NC	06-01-19	7145781.33
37005	Alleghany, NC	07-01-19	7351705.68
37005	Alleghany, NC	08-01-19	8186256.36
37005	Alleghany, NC	09-01-19	7558317.62
37005	Alleghany, NC	10-01-18	6970167.92
37005	Alleghany, NC	10-01-19	8441540.76
37005	Alleghany, NC	11-01-18	6577319.52
37005	Alleghany, NC	11-01-19	7995251.8
37005	Alleghany, NC	12-01-18	6498547.34
37005	Alleghany, NC	12-01-19	7503971.15
37007	Anson, NC	01-01-19	14867880.53
37007	Anson, NC	01-01-20	14598569.92
37007	Anson, NC	02-01-19	11969289.03
37007	Anson, NC	02-01-20	12303694.74
37007	Anson, NC	03-01-19	11215901.09
37007	Anson, NC	04-01-19	14792185.91
37007	Anson, NC	05-01-19	13619546.41
37007	Anson, NC	06-01-19	13975124.35
37007	Anson, NC	07-01-19	14635410.18
37007	Anson, NC	08-01-19	13098783.01
37007	Anson, NC	09-01-19	12491283.54
37007	Anson, NC	10-01-18	12719786.64
37007	Anson, NC	10-01-19	12784349.65
37007	Anson, NC	11-01-18	12526253.42
37007	Anson, NC	11-01-19	12149547.54
37007	Anson, NC	12-01-18	13332225.29
37007	Anson, NC	12-01-19	12702751.33
37009	Ashe, NC	01-01-19	23959437.46
37009	Ashe, NC	01-01-20	28798965.87
37009	Ashe, NC	02-01-19	19558551.15
37009	Ashe, NC	02-01-20	22428143.0
37009	Ashe, NC	03-01-19	20267565.34
37009	Ashe, NC	04-01-19	24301400.37
37009	Ashe, NC	05-01-19	25025173.62
37009	Ashe, NC	06-01-19	26976832.89
37009	Ashe, NC	07-01-19	27280202.28
37009	Ashe, NC	08-01-19	25724732.85
37009	Ashe, NC	09-01-19	25677021.47
37009	Ashe, NC	10-01-18	24178983.15
37009	Ashe, NC	10-01-19	28072402.4
37009	Ashe, NC	11-01-18	23900577.37
37009	Ashe, NC	11-01-19	27684127.76
37009	Ashe, NC	12-01-18	23469471.24
37009	Ashe, NC	12-01-19	27042429.8
37011	Avery, NC	01-01-19	24782489.74
37011	Avery, NC	01-01-20	26275008.6
37011	Avery, NC	02-01-19	20480720.09
37011	Avery, NC	02-01-20	30467676.31
37011	Avery, NC	03-01-19	22408911.93
37011	Avery, NC	04-01-19	20224187.66
37011	Avery, NC	05-01-19	20730749.93
37011	Avery, NC	06-01-19	25544085.55
