GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5934062	6276583	6511665	6964970	7529046	8340463	9102511	9189241	8636427	9538772	10447578	11464088	11721957	12727341	13087025	13610856	14511409	15058597
" ""37001"""	Alamance, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	96326	103684	91396	95846	97012	111845	119177	120272	104934	117074	133717	136258	142561	152032	153375	142914	147147	149427
" ""37003"""	Alexander, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	6228	8511	12340	13928	12179	8957	9527	(D)	(D)	(D)	(D)	14698	14633	15600	19399
" ""37005"""	Alleghany, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1450	1429	1312	1316	1405	2048	2676	2207	(D)	2353	(D)	(D)	6301	6458	6902	(D)	(D)	(D)
" ""37007"""	Anson, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	4073	(D)	5503	7316	6679	8139	8742	8334	10115	10982	13014	12479	12527	17715	14007	13169	11448	12045
" ""37009"""	Ashe, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	5172	5838	(D)	(D)	(D)	5928	6524	6400	6522	7869	8283	8145	8995	10829
" ""37011"""	Avery, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5042	6813	6747	7161	5590	6408	8495	9318	6942	6863	8588	11053	16908	20244	25244	26308	30134	32532
" ""37013"""	Beaufort, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	11353	11100	14091	19805	20759	28860	29157	30838	28215	36290	51270	48251	50159	55104	58645	63626	67006	80178
" ""37015"""	Bertie, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	2279	(D)	(D)	2830	2592	3111	3278	3576	3716	8760	9866	10076	11536	16972	16850	14327	10527	10127
" ""37017"""	Bladen, NC	5.0	CAINC5N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	9822	22325	28710	23508	16925	15330	16918	17605	18429	12603	13152	6556	7959	9742	19487	19262	20779	25681
