GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1849579	2080703	2229197	2614701	2791357	3153709	3520044	3779306	4194360	4385809	4617000	4875466	4447883	5545765	5702476	5867541	5636184	6031163
 37001	Alamance, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	42078	50386	55900	62952	67966	76454	87633	96223	105267	110427	113289	122142	111199	133357	140001	148893	151699	158353
 37003	Alexander, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	96	(D)	(D)	(D)	474	(D)	1001	(D)	(D)	138	(D)	271	(D)	(D)	1913	(D)
 37005	Alleghany, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	281	288	227	(D)	(D)	(D)	447	523	594	(D)	(D)	(D)
 37007	Anson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	54	56	27	17	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	350	352
 37009	Ashe, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	357	559	652	1032	1513	1397	858	738	908	1039	1047	945	1663
 37011	Avery, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	9419	8560	(D)	(D)	(D)	9844	9657	9116	8991	(D)	(D)	(D)	(D)	(D)	(D)
 37013	Beaufort, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2028	2329	2566	2943	3294	4176	5397	5055	4847	5306	5441	5578	5444	5912	5843	5745	5536	5383
 37015	Bertie, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	5360	(D)	(D)	(D)
 37017	Bladen, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	327	291	260	331	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1840
 37019	Brunswick, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	3869	4075	5627	4423	3955	5221	8544	9333	9865	9564	9018	8872	8233	9063	11416	13149	13142	16688
 37021	Buncombe, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	46061	57529	47221	51637	53261	57232	66895	72699	75126	79471	79589	83902	82398	99060	109616	119577	127259	132070
 37023	Burke, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	3741	4316	5256	3854	3831	4286	5177	4881	4680	4871	4876	5179	4442	4679	4664	4568	5009	5069
 37025	Cabarrus, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	11360	13493	16371	20766	13987	26077	31218	31187	28286	25561	26464	30236	22934	25991	28075	33091	38033	35888
 37027	Caldwell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1778	2449	2455	4335	4128	4626	3375	3633	3729	5687	4144	4311	3938	4260	4633	4498	3113	2826
 37029	Camden, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37031	Carteret, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2878	3072	3190	2830	3519	3936	4183	4492	5128	4948	4711	7058	6712	7756	7208	6454	13819	14626
 37033	Caswell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	193	75	95	153	(D)	(D)	210	486	(D)	(D)	(D)
 37035	Catawba, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	19844	21438	21204	22612	23726	25628	31931	34336	36164	37061	38916	41337	34841	41152	39936	43403	42232	48894
 37037	Chatham, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1647	2031	2747	3230	3439	3922	5571	6115	6962	7873	7952	9878	9912	10896	11314	11888	11811	13702
 37039	Cherokee, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1317	(D)	(D)	1719	(D)	2176	2837	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37041	Chowan, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37043	Clay, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	193	199	204	204	197	234	331	136	(D)	(D)	(D)	(D)	(D)	(D)	(D)	874	807	774
 37045	Cleveland, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	46974	47505	46082	45387
 37047	Columbus, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	2560	2777	3235	3385	4034	4306	4363	4668	4295	4510	3865	3985	4071	3666	2474	2034
 37049	Craven, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	6515	6160	6369	6760	9075	10488	12317	12423	14536	15846	13554	14003	14237	16141	17253	21285	23842	24882
 37051	Cumberland, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	33583	39960	43292	49505	53909	56881	77578	98872	137743	175682	203156	111313	90604	105164	106560	118880	113076	115157
 37053	Currituck, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	4	(D)	(D)	(D)	(D)	(D)	(D)	988	1050	707	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37055	Dare, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1091	1059	1372	1519	2091	2398	2185	2038	2082	2195	2336	2525	2796	3463	3469	3316	3073	3060
 37057	Davidson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	6861	8803	9395	10486	10317	10642	12194	12099	13826	14476	13980	14698	14633	15563	15652	17940	17790	19497
 37059	Davie, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	1014	1179	1370	1261	1274	1675	1698	1785	1979	1695	1734	1602	(D)	(D)	3235	3196	3270
 37061	Duplin, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	691	787	723	810	727	1002	1472	1240	1698	1746	(D)	3370	2031	1698	1718	1827	2499	2506
 37063	Durham, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	384779	421888	461239	670242	739595	877632	963401	1048561	1230248	1254820	1352095	1443581	1299184	1814171	1834110	1903683	1918955	2032845
 37065	Edgecombe, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37067	Forsyth, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	409206	456614	475391	509374	535848	575044	613596	644300	705195	762006	820710	876206	780370	960120	948910	911545	661451	829122
 37069	Franklin, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	4649	4349	5131	6227	(D)	7717	6930	(D)	7845	7878	8551	7634	10146	10782	11833	11585	11563
 37071	Gaston, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	20203	23418	23764	26065	27533	30040	34021	35685	34740	35607	38019	40965	37051	41874	42624	45065	42316	43491
 37073	Gates, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	80	83	95	60	54	88	122	83	18	16	32	62	126	163	157	111	89	93
 37075	Graham, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	137	141	144	(D)	54	(D)	(D)	(D)	(D)	558	386	455	524	604	663	466	277	207
 37077	Granville, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1302	(D)	1103	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37079	Greene, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	549	721	673	833	754	887	1028	813	1105	1290	1036	1074	1001	1109	1453	1480	1243	1188
 37081	Guilford, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	119212	130083	136515	149876	158444	170761	187348	199526	216782	213767	220991	242733	225881	263870	283807	300225	292480	311186
 37083	Halifax, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	3333	(D)	(D)	(D)	4533	5675	5335	5602	5090	4880	5012	5534	5991	6201	6887	5639	5900
 37085	Harnett, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	60683	(D)	(D)	(D)	86364	96831	104282	111595
