GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	3122222	1514875	1595170	2374414	3208411	2606730	2293231	2242865	2268739	2398986	2062732	2890330	3413284	3693704	3276122	2558212	3272283	1852409	2098316
 37001	Alamance, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	16481	5171	10726	11196	14720	12589	11611	5659	2932	2605	-534	5692	7505	9298	6266	482	1452	-5259	-4076
 37003	Alexander, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	29093	14444	20658	25707	40924	36099	28358	4223	19830	22942	4030	14206	29228	48235	62782	39327	47194	30811	22067
 37005	Alleghany, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	28688	23930	24847	24656	26256	15168	16718	15920	19030	16988	16086	15412	3578	7356	7313	4044	6642	2970	4094
 37007	Anson, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	50319	18226	14959	24908	24384	32804	27688	13744	15602	27468	18315	32726	42462	64760	94195	70180	88394	69154	53439
 37009	Ashe, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	35533	25528	24258	24983	18323	23265	21853	16694	27997	28887	26447	35793	27072	15544	2817	-1672	-3180	-9028	-6423
 37011	Avery, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	35469	28059	20153	18805	25137	8851	13854	8499	14134	13730	12737	16927	12506	7950	2511	2391	770	-1227	58
 37013	Beaufort, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	35665	8199	20452	29692	48933	32407	28612	35912	33950	25597	26438	56035	47220	32943	11027	23106	29367	14221	29813
 37015	Bertie, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	35088	16838	21572	20753	22354	15406	26722	30802	35002	31160	13234	34499	38015	46143	51759	44333	69864	44231	51336
 37017	Bladen, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	64567	20222	40085	67439	65728	42532	48084	72318	72019	95824	90052	85752	132290	144531	117467	96716	132255	78382	76251
 37019	Brunswick, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	13164	8156	7484	8971	10504	10932	10872	10127	11652	11883	12974	21270	23125	18785	10730	8762	10366	3523	6660
 37021	Buncombe, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	17707	4947	12466	20908	30033	38865	16940	23141	23600	19666	22055	20837	22330	27026	30371	25342	28265	20412	27558
 37023	Burke, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	29090	24295	17233	15604	20249	16612	12788	6378	7107	6531	3783	8023	9420	11943	20389	14322	15135	10148	7880
 37025	Cabarrus, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	15477	7510	6655	11232	12305	14505	12374	7700	5177	5755	5312	12703	16230	19164	23545	18134	22132	13706	14841
 37027	Caldwell, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	20128	11742	11663	15372	20317	20988	8061	7505	7672	7749	6445	7872	8793	13420	16007	15789	16800	13726	12882
 37029	Camden, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	6263	4993	5812	3884	10302	4923	6733	7097	7088	3736	8567	12459	12419	6209	2945	3423	3334	1885	3394
 37031	Carteret, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	2707	1925	2703	1800	1597	2764	3589	20162	25703	32178	38783	7841	7534	2296	2276	2700	2576	2084	2632
 37033	Caswell, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	13166	9880	10964	13507	7446	8948	9459	18632	18070	15952	6502	16401	20113	21598	15845	12116	12422	6174	6340
 37035	Catawba, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	13965	3763	6792	8822	18743	15261	8868	6129	13931	14546	5841	10958	13701	18208	22522	14480	18609	9261	9637
 37037	Chatham, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	64844	22551	29824	38248	43070	37926	34535	-282	10210	20008	532	15180	23322	35251	54670	28130	30739	12259	6017
 37039	Cherokee, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	4220	1548	1283	3246	7014	6111	3533	5362	6038	5645	5645	5577	9323	10274	9606	8434	8695	5268	5754
 37041	Chowan, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	33124	21574	20305	22196	38148	26612	16941	6761	11436	2146	14372	16125	13670	6814	5805	5768	9193	4572	11741
 37043	Clay, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	783	201	433	636	1054	274	122	-382	-1369	-2893	-3038	-3583	-2879	-6916	-7803	-9473	-10829	-12913	-12004
 37045	Cleveland, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	20368	7225	1740	19288	31178	13583	14516	4009	5261	9291	-1215	7467	13919	29008	36919	26084	34853	24319	16716
 37047	Columbus, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	59520	16266	17547	24595	55975	37159	25854	49462	30589	43122	44018	55638	71894	56659	30142	34680	50196	25088	41275
 37049	Craven, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	37392	13611	17454	28892	44710	31985	11963	24117	20949	17909	13421	21611	19271	15203	7258	10766	17559	5891	15460
 37051	Cumberland, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	25087	2050	1454	22605	19947	38911	17280	25664	19403	18773	21788	33660	38763	37813	25169	25924	32329	19937	23248
 37053	Currituck, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	1911	-394	2294	3707	9186	8201	4092	6562	1486	537	4914	6313	5339	848	-553	-267	520	-2141	-623
 37055	Dare, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 37057	Davidson, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	6845	2105	3404	4549	8538	8148	9468	8008	4815	9958	9431	16251	14713	16309	14582	12272	11112	3879	5444
 37059	Davie, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	5947	2058	1866	5798	10120	8300	3727	8552	1308	744	3377	4869	6385	5517	3764	2638	5028	-681	1325
 37061	Duplin, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	167129	77068	76609	120767	158458	137838	177633	230515	216411	289218	223225	261026	352792	402866	308131	217738	288505	173033	175629
 37063	Durham, NC	5.0	CAINC5N	81.0	111-112	 Farm earnings	Thousands of dollars	5500	3589	4173	6055	9538	9329	13276	14439	11854	8940	7685	8981	9230	8966	8935	8789	10235	7393	8985
