GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	3539931	3695635	3973480	4267186	4472151	4723656	5036921	5184335	5490421	5892407	6153440	6208855	6195771	6401298	6735509	6973985	7260644	7553115	7869560
 37001	Alamance, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	15339	15460	15846	17072	17098	17402	18183	18120	17742	18221	17826	17296	16776	17321	18547	18535	19650	21130	22036
 37003	Alexander, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2345	2415	2543	2685	2697	3089	3146	3136	3230	3455	3296	3480	3458	3559	3800	3761	3832	4061	4362
 37005	Alleghany, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2575	2451	2650	2715	2963	3045	2955	2959	3038	3397	2919	2983	2805	3096	2967	3009	3094	3263	3197
 37007	Anson, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	3015	3067	3139	3490	3479	3666	3527	3522	3402	3813	3637	3599	3533	3461	3641	3585	3752	3979	4053
 37009	Ashe, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	3379	3384	3577	3841	3894	3909	3985	3809	3666	4217	3998	3959	3817	3781	4243	4368	4509	4517	4567
 37011	Avery, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2585	2539	2539	2612	2669	2596	2593	2725	2921	3875	3082	3090	3017	3015	3255	3088	3286	3595	3718
 37013	Beaufort, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	6617	6884	7151	7708	7881	8372	9044	9346	9420	9982	9432	9233	8947	8859	9078	9478	9618	10030	10304
 37015	Bertie, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	4965	4888	5251	5871	6082	5834	5779	5977	6012	6403	6939	6734	6372	6608	6975	7218	7533	7656	7436
 37017	Bladen, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	6096	6285	6622	6276	6471	6575	7085	7459	7786	8454	8010	7925	7791	8014	8486	9280	9350	10116	10306
 37019	Brunswick, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	20509	20381	21701	24049	25721	27042	28270	29904	32132	35067	35827	35987	34515	35439	38696	40521	43732	46395	49829
 37021	Buncombe, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	173761	172334	205251	225797	225429	241885	253573	275544	295177	308666	321027	331563	321224	315026	316318	322729	336082	361268	393955
 37023	Burke, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	7231	7479	7777	8234	8518	8784	8939	9187	9294	10305	9523	10182	10726	10688	11661	11854	12132	13069	13680
 37025	Cabarrus, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	15059	15651	15975	17782	18427	19066	20245	20496	20599	23759	21003	21017	21346	22596	25144	25999	27186	28710	29049
 37027	Caldwell, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	6245	6752	6777	7163	7386	7511	8029	8321	8567	9425	8717	9216	9080	9416	10280	10233	10703	10824	11259
 37029	Camden, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	816	840	890	873	1020	1049	1087	1073	1072	1288	1177	1067	843	884	761	824	829	868	1375
 37031	Carteret, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	15646	16126	16744	19002	20214	19985	21875	22536	24377	27921	27467	26293	25817	25722	25658	25907	27950	30181	31305
 37033	Caswell, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2569	2515	2453	2635	2637	2553	2612	2671	2697	2616	2619	2701	2474	2470	2682	2759	2754	2947	2906
 37035	Catawba, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	31112	31750	32387	34989	34968	36050	38488	38637	39970	45371	42639	36153	30435	31703	30425	26415	27342	29696	30593
 37037	Chatham, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	7035	7237	7661	8246	9568	9693	9887	10107	10204	10547	10174	9261	8781	9173	7346	7470	8183	8513	9715
 37039	Cherokee, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	7721	8567	8200	8639	8731	8818	8796	8553	8106	9156	9138	7958	7368	7903	8546	9143	9621	10251	10225
 37041	Chowan, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2914	2768	2820	2702	2858	2960	3062	3012	3014	3225	3070	2530	2485	2490	2047	1965	2142	2494	2679
 37043	Clay, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	1015	1076	1106	1167	1326	1445	1423	1502	1581	1727	1561	1447	1309	1317	1435	1386	1501	1594	1619
 37045	Cleveland, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	10688	10883	11267	11921	11930	12511	13383	13375	13688	14043	13348	13523	13304	12971	14138	14429	15042	16211	16872
 37047	Columbus, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	7264	7626	7901	8132	8308	8284	8695	8847	8874	9732	9384	9023	8921	8891	9631	9529	10022	10288	10843
 37049	Craven, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	346478	353437	386565	409247	434955	436806	456101	444661	463030	478951	486899	483169	456555	487037	517437	538397	554776	567233	619326
 37051	Cumberland, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	491719	531100	573009	630470	669536	740578	819104	905454	1016731	1076462	1289501	1312447	1297804	1320440	1380535	1468968	1549074	1600118	1674651
 37053	Currituck, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	2104	2221	2221	2443	2306	2266	2451	2446	2580	2716	2189	2104	2058	2109	2260	2317	2741	2892	2988
 37055	Dare, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	13168	13080	14654	15984	15206	16010	15741	16244	17178	19031	17676	17456	17634	18246	18881	19201	20417	20864	22188
 37057	Davidson, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	10305	10346	10515	11339	11241	11457	12071	11993	12093	13318	12260	12250	12104	12854	13824	14369	15062	15943	16788
 37059	Davie, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	3047	3045	3108	3447	3428	3852	3939	4027	4244	4269	3973	4193	4270	4552	4446	4569	4724	5188	5426
 37061	Duplin, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	8129	8555	8997	9408	9520	9919	11707	12092	12920	13076	11832	11366	11145	11356	10965	10959	10964	11609	12399
 37063	Durham, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	343813	372663	419272	442949	465019	511639	531893	462195	496838	593967	628234	633570	658646	687198	728353	767339	806612	839870	881515
 37065	Edgecombe, NC	5.0	CAINC5N	2001.0	...	   Federal civilian	Thousands of dollars	29691	30011	30033	31256	28533	28869	30110	29973	28535	25869	18626	18362	16481	14917	17796	17744	18215	18742	18546
