GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	5693077	6082243	7986684	11063935	14168475	18421346	23502718	30861975	26748733	21467170	18500449	25073812	18283201	17639760	17965913	19594544	21316823	22633497	24530012
 37001	Alamance, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	114378	108026	111343	130112	119211	130962	112002	132763	113791	126953	105711	122448	109501	118385	118623	130149	140089	138087	149525
 37003	Alexander, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	4261	4565	5316	8092	7447	7489	7355	9637	10987	13351	10122	11564	10467	10331	11199	12521	13543	12664	13330
 37005	Alleghany, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	3009	3079	2841	3297	3738	3537	4235	4767	5716	7037	4595	4015	3467	3461	3610	3991	4251	4887	5053
 37007	Anson, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	3686	3986	4509	5831	6018	6621	6896	7717	8593	11115	5573	7018	5516	5416	4728	4963	5221	5397	5225
 37009	Ashe, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	7386	6885	7534	9942	10281	10332	10795	13681	15274	19539	11461	13099	11644	12672	11949	12394	13305	12818	13513
 37011	Avery, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	2757	2089	2460	3218	3525	4114	4853	5959	6552	7656	5060	4917	4457	4969	5079	5641	6142	5547	5186
 37013	Beaufort, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	14641	14363	15112	18214	20377	22135	22585	25169	28154	37524	25310	28806	26747	28107	27126	24821	27462	27300	29127
 37015	Bertie, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	2777	2741	2748	3926	4496	4668	4972	7078	7924	9480	4869	5231	4277	4197	4119	4335	4577	4280	4265
 37017	Bladen, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	3979	4063	4097	6568	7024	7182	6911	8611	10645	15921	8934	11153	8049	7197	6546	7491	8032	7133	7083
 37019	Brunswick, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	13760	15386	18784	31380	39016	44114	47320	59431	70506	91725	49475	53107	41591	40168	39633	44174	49791	49034	52486
 37021	Buncombe, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	130009	128776	136315	163665	177287	197127	212734	224531	213136	232776	212161	228361	228762	247352	252370	274583	302979	302877	304817
 37023	Burke, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	17027	17391	18308	23075	24747	25681	26706	28498	33542	45956	28990	34092	28234	27510	25418	30092	31885	29929	31432
 37025	Cabarrus, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	41228	36787	40015	57273	64216	62336	62674	65754	63770	72137	65962	67364	63287	68748	73650	92151	94674	98557	97259
 37027	Caldwell, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	15206	13560	14660	22019	22860	23421	22366	22181	23301	25528	25080	28874	25946	21902	21125	22041	25942	26565	28764
 37029	Camden, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1060	908	670	1088	1317	1403	1768	1955	2022	1938	1923	1807	1453	1151	944	1335	1653	(D)	1849
 37031	Carteret, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	14713	16663	20842	29529	34167	32931	42260	48892	48907	65718	42425	48132	41513	42231	37539	41837	46248	50663	59273
 37033	Caswell, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1935	1534	1742	2919	3367	3215	3169	3903	4743	6323	3547	3840	(D)	3311	3330	3547	4465	4746	4488
 37035	Catawba, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	77376	74409	70863	87007	92384	100380	131904	131296	123239	145808	100998	116807	85514	89005	88444	89344	96097	104193	114505
 37037	Chatham, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	7362	8099	6970	14308	19091	20664	24891	36848	46755	65754	25512	35906	21992	21812	15732	19169	23392	25108	25511
 37039	Cherokee, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	7752	7981	9285	11355	13244	14330	14248	14166	15653	19209	12580	14033	11072	9900	11285	11371	16068	20433	15487
 37041	Chowan, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	4254	4647	4925	6603	6764	7570	7561	8730	10016	13017	7818	8784	7130	7521	7443	8277	8553	7321	7275
 37043	Clay, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1129	1050	1269	1940	2467	2777	2890	3675	3764	6102	2989	3438	2384	2522	2636	3002	3380	3305	3521
 37045	Cleveland, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	21078	20373	26394	31440	35059	38878	40736	51006	59238	86547	47817	57584	41211	38291	34377	42546	45402	42816	44462
 37047	Columbus, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	28113	28112	19555	23237	24742	25571	27645	30560	30292	36868	27400	31781	28138	26555	27548	28980	31758	32484	29527
 37049	Craven, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	28761	30425	32244	40359	45392	49915	58024	66496	69582	78763	50598	58318	53441	53578	53244	53554	57782	62568	64403
 37051	Cumberland, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	120142	112157	110670	133117	138671	146582	152668	181915	194363	242396	151368	164232	135660	140207	137072	149705	159377	168703	177764
 37053	Currituck, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	(D)	(D)	2477	4102	4944	5301	5591	7055	8576	21219	19561	22204	20147	15122	7182	8133	7610	7501	7605
 37055	Dare, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	17823	22418	31850	36213	33991	33192	33640	38668	41459	47448	31794	32578	29961	28704	27418	32206	34620	34204	36954
 37057	Davidson, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	30186	27619	28503	37523	41013	44743	45342	53820	56272	74918	47233	54611	43572	42701	40798	45057	52628	50058	56413
 37059	Davie, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	5332	6477	8095	11161	13966	15592	16300	23491	20673	24488	16279	18882	15558	15998	14856	16015	18443	20434	22351
 37061	Duplin, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	8846	9221	9135	10143	10518	11604	13881	15847	17358	14126	12124	12824	13095	12947	12047	13792	13969	17095	13197
 37063	Durham, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	278783	395178	442312	474561	516662	612434	739791	840461	878253	1095259	991159	1135174	1029309	1119876	1156533	1284339	1411903	1475582	1548859
 37065	Edgecombe, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	16241	18576	15933	18074	17804	14345	12335	12160	18916	21950	16241	18675	15773	13863	13010	14788	10691	11416	12728
 37067	Forsyth, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	804712	737668	734395	823750	885584	917732	941463	1061852	1089933	1431456	1004435	1118504	1019830	1139400	1136679	1178566	1329162	1348168	1458993
 37069	Franklin, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	3631	3499	4264	7093	8125	8943	8767	12425	9405	13622	9856	13301	10358	11503	12678	15074	16160	13893	15054
 37071	Gaston, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	68678	69826	72457	72445	76488	75165	60163	156565	318587	716513	49515	100719	87834	92749	92082	93018	88249	89795	89392
 37073	Gates, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1850	1853	1958	1786	(D)	(D)	2109	(D)	(D)	(D)	2853	2831
 37075	Graham, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1596	1188	(D)	1798	2327	2791	2619	2722	2560	2732	2662	(D)	2746	3192	3216	3573	4373	5015	5590
 37077	Granville, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	6399	6390	6176	8385	9715	10534	11965	15392	15699	20547	15654	18846	17498	20560	12677	13544	15534	15364	13472
 37079	Greene, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1242	1370	1549	2515	2524	2421	4131	5384	5609	5690	4614	5211	3855	4742	3781	3701	4343	4582	4116
 37081	Guilford, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	753358	836051	855922	971839	1015866	1111814	1160016	1261642	1204289	1366206	1185620	1223717	1222686	1253833	1265569	1318078	1439031	1449637	1575379
 37083	Halifax, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	13425	13589	13526	16470	18986	18694	18890	22720	23842	31974	20541	24308	21897	20662	19789	21633	22263	22388	22848
 37085	Harnett, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	16396	17148	19633	27539	31238	33977	36318	46526	49741	65880	34629	39823	32118	32928	33275	38375	41046	41803	42991
 37087	Haywood, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	16832	14487	16170	20151	22300	22892	24887	28319	28993	39012	26734	30664	27343	27584	27553	30632	30908	31735	31149
 37089	Henderson, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	39304	35211	41079	46701	53008	63443	60449	66673	69896	90356	57484	63943	54592	56987	51318	53767	58088	61045	58053
 37091	Hertford, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	4851	4850	4586	6428	6829	6925	7535	9754	11594	16931	10081	10249	7178	7370	8409	9928	10941	11537	11793
 37093	Hoke, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	2412	2660	2718	3266	3141	2995	2904	3475	3806	5275	3526	4732	4042	3859	3781	14377	16918	15275	4653
 37095	Hyde, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	(D)	(D)	423	(D)	(D)	(D)	(D)	1197	1306	1728	1072	(D)	(D)	1133	(D)	(D)	1218	1274	1255
 37097	Iredell, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	40110	40366	43199	56079	64247	66714	71980	84259	96157	127243	84153	102780	90713	105425	101471	115101	125113	124043	138407
 37099	Jackson, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	7122	6681	6684	10470	12003	12314	11675	13376	13535	16122	11364	12756	10510	10091	10640	13871	15334	17598	15896
 37101	Johnston, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	30687	27808	30040	42230	49528	59735	50154	48655	49751	53457	45535	57916	48569	50173	51523	61083	63748	70106	63905
 37103	Jones, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	532	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1708	(D)	920	887	1176	1352	1310	1172
 37105	Lee, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	15402	14486	14969	21013	23898	24327	25006	30194	32512	39626	28363	30731	27570	27053	26353	27243	29101	28038	28817
 37107	Lenoir, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	27120	27218	24170	32003	34816	34018	37009	43903	40517	53904	38198	51210	40153	40966	42664	48276	48967	50179	41877
 37109	Lincoln, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	17646	13974	15745	18878	21717	22671	26025	30369	31016	41663	25793	30943	27817	29689	26832	29755	34377	38580	52282
 37111	McDowell, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	5462	5536	5742	8749	9289	9580	10745	12384	12572	14687	10371	11604	10218	10720	10359	11003	11627	11750	17556
 37113	Macon, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	13550	14389	15256	14261	15860	17446	19418	21145	20893	22270	19344	20851	20537	21195	20522	22199	23340	23094	25251
 37115	Madison, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	1497	1237	3070	3191	3153	3733	4524	5534	5852	7361	4194	4772	3724	3934	3800	3695	4173	3524	4343
 37117	Martin, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	4999	5200	5949	7838	8314	8609	8684	10030	11358	16884	11504	12953	23553	23918	22492	22015	23414	24332	10790
 37119	Mecklenburg, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	802672	1104598	2831076	4939703	7620107	11325465	15986148	22457096	18117046	10157426	10556549	16256759	9947700	8784514	8922901	9814323	10622856	11491006	12686273
 37121	Mitchell, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	4399	4324	4866	6102	6434	6227	5999	6104	5807	6256	5903	6689	6236	6409	6565	7118	7684	8077	8232
 37123	Montgomery, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	9203	5493	5543	6100	6891	7492	7730	8874	8993	11481	8321	9451	8621	8657	8675	8383	11296	13370	14306
 37125	Moore, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	32410	34428	38314	48149	54639	54907	55347	56309	60674	80650	57762	66766	63210	65655	65687	59805	67390	67447	76961
 37127	Nash, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	169839	134057	133515	166019	153193	106041	78265	91405	96703	116492	83335	100308	73194	72196	71075	71276	76768	79681	92821
 37129	New Hanover, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	123697	134601	150330	185620	208554	226561	250245	271630	260540	287084	232236	261993	259284	309761	285425	329076	370270	378255	403181
 37131	Northampton, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	901	1106	971	2178	2472	2334	2863	(D)	(D)	(D)	(D)	(D)	(D)	(D)	624	832	(D)	(D)	2116
 37133	Onslow, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	30717	29299	31760	40433	43971	47935	51623	62053	68086	82643	54489	58807	70160	74815	71507	68006	68609	73367	82954
 37135	Orange, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	152877	48963	65026	186142	279992	320890	311623	315047	151939	228786	168288	148723	140392	167319	160556	178953	188784	193964	224270
 37137	Pamlico, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	639	579	698	2141	2147	2207	2556	4438	6020	10307	3590	4353	2738	2472	2339	2845	2966	2926	2347
 37139	Pasquotank, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	13922	15081	15912	21466	25851	29879	33204	43583	41523	45071	31821	35585	37424	35795	38881	26891	27199	29256	23879
 37141	Pender, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	3762	3558	4055	7195	8404	9121	9822	12451	14232	19802	10904	10834	8327	8063	7248	8135	9355	12060	13678
 37143	Perquimans, NC	5.0	CAINC5N	1000.0	52	   Finance and insurance	Thousands of dollars	735	816	1146	2319	2881	2901	3042	4557	6084	11488	4049	5447	3232	2807	2600	3035	2993	2873	2396
