GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	16015151	16586505	17347300	18493109	19649514	20460395	21917788	23052894	23347372	23473406	23338604	23771535	24504805	24792635	26219360	26780581	28181325	29564035	30674779
 37001	Alamance, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	193069	205285	211306	222651	233875	248542	264480	278271	280891	284240	274248	276301	282133	287259	302809	308482	323261	340620	351869
 37003	Alexander, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	42015	44359	45729	48274	51186	53796	57372	59756	59730	60166	59467	59418	61071	(D)	(D)	(D)	(D)	(D)	(D)
 37005	Alleghany, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	16428	17606	18210	19662	21443	20642	19586	19381	19403	19348	23162	21527	21610	22262	22929	22618	23692	24998	25496
 37007	Anson, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	52988	52528	54679	57968	59485	64045	66704	66209	64898	64273	62664	62380	61205	60202	57074	57615	58594	61339	63677
 37009	Ashe, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	30780	32475	34762	36586	39130	40953	43821	44800	44882	44957	44105	42472	43397	42803	45457	46243	47998	50132	51639
 37011	Avery, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	27246	27954	29499	30560	31720	33427	35902	36686	36895	37545	36995	37773	38412	39198	40242	40671	41970	43162	45492
 37013	Beaufort, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	77630	78914	82534	86363	86886	89809	94053	95061	95865	96307	95482	93805	94690	96582	100270	101174	104333	109302	148561
 37015	Bertie, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	33807	32374	32823	33617	33404	33857	35863	38158	38372	36685	34556	33924	34626	(D)	39983	40096	40355	40343	50061
 37017	Bladen, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	63444	62262	64150	69103	75044	78457	81068	85094	86811	88183	87035	87346	90964	92230	91279	88987	92585	96913	93778
 37019	Brunswick, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	123647	125833	134309	144522	158406	170982	189009	210289	208003	209005	210253	207115	210594	214956	222931	227184	240365	260398	269606
 37021	Buncombe, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	340189	339415	348248	365795	385647	410458	437887	468526	468926	463852	453761	460946	467790	478694	481538	493390	522302	554429	570851
 37023	Burke, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	129252	130454	132225	142951	148616	154931	165258	178256	164139	157437	148155	149558	152873	152947	157032	156388	161310	168493	174710
 37025	Cabarrus, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	388228	422627	(D)	485384	517557	557279	617071	660164	649482	677433	656137	689498	709583	723119	780820	892209	956470	990970	1026692
 37027	Caldwell, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	113104	115021	(D)	123568	127969	135129	147998	145938	147096	148584	145986	143125	143870	145161	151134	153120	159369	167021	172707
 37029	Camden, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	10832	11627	12718	14143	15531	17101	19171	20157	20020	19653	19405	19417	(D)	20020	21972	21796	22781	23931	24689
 37031	Carteret, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	126529	127901	130028	138582	146605	158850	166441	174040	178751	180558	177640	178894	187806	188557	197839	201722	212904	227709	234357
 37033	Caswell, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	30794	30486	31310	33099	36105	36678	38507	39822	38650	38218	36369	35690	35760	35751	36480	37048	39148	36351	41008
 37035	Catawba, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	309308	312985	325472	354451	360576	381734	411265	429103	428770	429934	423629	432251	441327	445578	472138	490963	516929	535080	554252
 37037	Chatham, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	67399	69684	74988	78144	83928	86792	93586	100973	100476	101431	99056	99260	102214	104368	109819	113188	120356	128205	134718
 37039	Cherokee, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	35845	37303	38224	40942	43437	46601	50556	53012	52642	52357	50902	51278	51548	51866	53961	56064	60759	64346	66046
 37041	Chowan, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	27642	27677	29446	31015	31590	33868	36454	37027	33720	33061	31928	31964	32881	32362	32458	32406	33639	34786	34853
 37043	Clay, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	13082	13485	14716	15612	17330	18004	19562	20886	20661	20531	20276	20568	21121	21681	22741	22593	23329	24794	25680
 37045	Cleveland, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	166028	166206	174184	181952	189945	197808	207289	212556	212552	212614	212830	214806	218437	219965	225247	251108	259395	267188	278114
 37047	Columbus, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	86281	85613	89512	93529	99255	101267	106807	107880	105751	105772	101293	101783	102589	102399	106373	107926	109771	113437	115246
 37049	Craven, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	219661	223996	234380	254796	263585	274647	290400	302583	304836	309032	309880	308658	312109	311203	324295	326684	339634	365755	376721
 37051	Cumberland, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	692997	714357	(D)	810959	852775	908832	954953	1012093	1035694	1056706	1069059	1071764	1098445	1097681	1141936	1141334	1200074	1278241	1305695
 37053	Currituck, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	50916	(D)	(D)	(D)	(D)	53471	54269	55516	58587	61870	63912	68322	71315
 37055	Dare, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	74266	77463	84677	92998	102105	110159	116186	119956	121165	122587	119358	119728	122403	123390	127401	128852	135663	145396	183087
 37057	Davidson, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	212174	215580	220176	227975	237145	251186	264413	271045	271816	284163	268513	265217	265407	271989	286251	288110	299383	309243	311967
 37059	Davie, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	48747	50278	53695	54481	57603	62691	69040	70092	71299	71543	70013	71004	71744	71664	74711	74126	78078	82459	84005
 37061	Duplin, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	93434	95410	105039	116275	122878	123272	125107	127558	126187	126105	126828	127196	136326	138892	149257	149135	154750	160316	161151
 37063	Durham, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	417009	430097	441509	461198	480248	512453	544325	570153	588571	577307	573199	592408	600769	618586	650739	662448	691039	736526	782992
 37065	Edgecombe, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	141956	142927	145351	149941	155403	156434	161557	163341	170695	174280	172225	166822	162703	157472	162498	166545	173346	199088	222126
 37067	Forsyth, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	540597	550511	576498	598615	617720	661377	703620	725475	739645	734265	710315	707371	723362	737691	764120	777772	819907	863965	884385
 37069	Franklin, NC	5.0	CAINC5N	2012.0	...	    Local government	Thousands of dollars	65094	66531	69303	72757	80320	83265	90271	95359	94731	96201	94294	95030	98005	101373	105118	106004	108889	113759	116264
