GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4915756	5339444	5527039	6079525	6480776	7007727	7363642	7854929	7177278	7514537	8226377	9107785	8973244	9754586	10320591	10404011	10695188	10882795
 37001	Alamance, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	178175	183248	172080	203739	203166	210110	223993	261190	171718	178700	187604	184746	42069	38530	28874	36805	55885	53858
 37003	Alexander, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	5273	3582	2677	2331	2516	2128	1974	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37005	Alleghany, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	3	0	2	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37007	Anson, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37009	Ashe, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	8661	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	11141
 37011	Avery, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37013	Beaufort, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4552	4550	4836	5000	5261	10788	13083	11749
 37015	Bertie, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	0	0	0	0	0	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)
 37017	Bladen, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1708	(D)	(D)	0	0	9	-28	-25	-50	2	3	3	0	-72	-91	-80	0	(D)
 37019	Brunswick, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	827	1016	1092	1193	761	784	1104	911	728	690	577	112	(D)	(D)	192	355	478
 37021	Buncombe, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	48116	29599	28079	40139	40135	46874	54380	58014	57137	57950	51091	57149	62595	61964	64172	65265	70162	74358
 37023	Burke, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	23289	24163	19811	36866	36086	36574	22406	20478	7301	4663	3564	3557	2430	2261	2783	3223	4167	4374
 37025	Cabarrus, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	28059	65303	66923	72286	75219	89684	94774	82522	66614	68233	68521	72580	78255	88027	93026	98951	105724	82804
 37027	Caldwell, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	57245	57678	53392	43139	20670	(D)	29957	31605	30643	31779	35994	39443	37667
 37029	Camden, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0
 37031	Carteret, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1702	1895	1473	887	1090	1212	1461	1280	1283	954	1212	1078	912	895	568	(D)	745	765
 37033	Caswell, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	7	17	41	55	25	42	38	9	0	0	0	0	0
 37035	Catawba, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	87358	136393	129068	127866	132070	201042	215461	227626	171311	175593	220673	202653	190595	189452	204655	217737	225258	228031
 37037	Chatham, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	2414	1749	2416	3088	3360	3493	3292	3738	(D)	2353	1921	2216	2405	3672	3131
 37039	Cherokee, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1101	(D)	(D)	924	937	964	1012	852	1008	933	755	782	783	737	751	617	713	684
 37041	Chowan, NC	5.0	CAINC5N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
