GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	193427	155227	110207	-19080	-112395	-96978	-109403	135589	184916	247311	232048	211604	195625	168758	175447	192219	298355	318311
 37001	Alamance, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2122	2603	2459	2283	2191	2612	3158	4313	3802
 37003	Alexander, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	337	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37005	Alleghany, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37007	Anson, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	6929	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37009	Ashe, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37011	Avery, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37013	Beaufort, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	3	-91	-138	-138	-3	-7	-418	-648	-146	84	-28	44	16	12	12	(D)	(D)
 37015	Bertie, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	2	2	7	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37017	Bladen, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	8	9	7	(D)	(D)	(D)	(D)	-607	-553	2	12	10	-3	-14	-33	-24	7	13
 37019	Brunswick, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1043	(D)
 37021	Buncombe, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	5634	5034	4376	5207	5553	(D)	5262	4765	5356	7221	6556	6942	5828	6370	6599	4869	6140	6981
 37023	Burke, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1497	(D)	(D)	(D)	(D)	(D)
 37025	Cabarrus, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	4364	4247	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37027	Caldwell, NC	5.0	CAINC5N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	1000	712	777	799	1057	1132	1281	986	390	321	410	455	(D)	(D)	(D)	(D)	(D)	(D)
