GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	170991113	174692019	181781715	195606568	208310696	226963810	243046485	255262594	240899362	241363041	245401690	264181839	263347099	276942395	290528781	302245779	316234188	333144687	349557452
 37001	Alamance, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	2482777	2502125	2498106	2623545	2695913	2847193	2938128	2987076	2749568	2846114	2943838	3130221	3144992	3221485	3284031	3472193	3583724	3738319	3950524
 37003	Alexander, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	365683	367521	384179	416602	420045	437242	451211	441579	397780	411964	413990	432145	434805	450910	453019	462518	491957	510729	531880
 37005	Alleghany, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	128153	127440	122459	131066	138771	147234	143759	142724	136909	141281	141841	142028	146846	152188	156922	163445	168543	171453	179286
 37007	Anson, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	307523	311484	313000	334374	342991	351563	363250	370726	344677	363543	365062	369861	358412	372204	371364	369648	370689	382136	401463
 37009	Ashe, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	295887	312382	317489	333051	349746	371266	380363	387547	367627	376446	357809	371379	362797	372846	372482	393921	408804	424035	441148
 37011	Avery, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	224166	233027	249091	259586	277233	296021	316714	306778	295190	294464	294760	301195	301688	314508	318886	327650	339689	354862	360994
 37013	Beaufort, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	635394	646745	656531	691820	724314	771356	803133	809185	797197	827428	848168	868250	858783	878913	891849	906424	912162	937946	947084
 37015	Bertie, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	202687	209125	208567	219984	232895	245658	256275	265136	274990	275291	261169	263115	260441	281098	285218	280497	279241	279842	289584
 37017	Bladen, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	416787	429216	449405	461353	476712	501243	526482	532204	550249	569583	552597	570939	569311	594089	630747	644358	657597	681695	699823
 37019	Brunswick, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	991907	959867	1068350	1280064	1439983	1557144	1560006	1521531	1431045	1481188	1453063	1516572	1594849	1722619	1823614	1931178	2062203	2188348	2306213
 37021	Buncombe, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	4402842	4462567	4665284	4957724	5249422	5678673	5981150	6067173	5791595	5912293	6036350	6430530	6637427	7149103	7591008	8038089	8368280	8907844	9392007
 37023	Burke, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1364206	1376788	1385768	1469835	1479028	1517982	1518425	1531647	1377584	1416280	1417442	1491399	1500636	1534425	1560212	1581300	1619703	1658163	1730488
 37025	Cabarrus, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	2477710	2617525	2640200	2816625	3037145	3284179	3511532	3546109	3323270	3310080	3340644	3504272	3643961	3829793	4102226	4495489	4857521	4855455	5089034
 37027	Caldwell, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1238338	1249228	1249152	1290072	1263356	1267509	1257083	1225054	1158734	1160580	1152135	1162912	1156372	1177997	1242472	1312410	1424596	1519031	1564713
 37029	Camden, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	53653	58463	61987	73350	85654	110362	114605	114400	117102	126125	107160	98162	87263	85471	94408	87848	84858	84934	87654
 37031	Carteret, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	768464	797788	846102	908761	968988	1044627	1055686	1060670	1022647	1055485	1021929	1101603	1112887	1164801	1208968	1267759	1331643	1384987	1460252
 37033	Caswell, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	135083	134981	135782	138824	140920	145466	150788	153398	156633	165097	165155	163623	162797	163579	170848	170639	182431	187828	196406
 37035	Catawba, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	3860875	3753443	3673067	3862895	4007742	4329988	4439178	4406603	4020008	4169958	4262850	4414798	4467744	4703859	4973134	5124620	5441247	5648942	5826287
 37037	Chatham, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	635598	651387	673086	735534	771016	839514	857116	862183	803573	835933	802123	831465	837133	831774	841941	888204	932451	957999	1005239
 37039	Cherokee, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	334582	335491	329079	330360	356583	377069	380498	382949	362732	371857	366390	375303	368167	379750	397637	402746	422824	437850	446358
 37041	Chowan, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	188743	190729	204225	220155	229004	244260	242666	236053	225163	226759	222273	234791	231254	236035	238152	238304	252845	266149	273835
 37043	Clay, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	74897	80287	83865	92717	98723	107354	104689	96538	84871	92768	87394	90402	90774	98802	100214	101285	104242	113939	120331
 37045	Cleveland, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1368622	1378322	1422129	1489257	1559918	1617078	1670029	1657824	1528412	1581168	1639446	1727717	1726237	1795933	1833918	1936498	2018557	2099383	2197077
 37047	Columbus, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	639469	648918	661925	685860	709844	732477	753104	770981	742974	768136	749253	773977	797106	787929	778909	799473	793734	822239	850057
 37049	Craven, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1938109	1959624	2125401	2301692	2454721	2574496	2751190	2800140	2826461	2923609	2946633	3033558	2964203	3037369	3104855	3141064	3081093	3216707	3392885
 37051	Cumberland, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	6211620	6792134	7392619	7878225	8696745	9248339	9941016	10696886	11121570	11729501	12057006	12117152	11830999	11699317	11869249	11792148	12147116	12551409	12965500
 37053	Currituck, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	163578	183866	211009	234450	252327	259326	270519	257708	257832	279319	317347	326729	340078	363796	382798	366844	388348	431002	442922
 37055	Dare, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	724604	791957	869574	944559	935857	940293	913339	886616	835845	857716	855146	952475	995575	1034322	1074987	1092735	1130059	1182442	1241629
 37057	Davidson, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1914327	1933989	1949790	2000193	2054037	2141254	2139824	2085631	1974929	2118769	2131444	2236426	2276973	2398292	2486322	2595409	2722634	2831178	2938022
 37059	Davie, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	410657	415721	422651	449751	464451	511378	535074	524577	473022	482036	478395	498147	527408	579648	628584	669766	717318	750146	796652
 37061	Duplin, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	602015	625543	637556	664249	660353	683920	728433	794475	783899	826055	851396	881319	889205	919148	918373	932902	926873	958939	986720
 37063	Durham, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	10555737	10464380	10685806	11549635	12004650	13043912	14256388	14749524	14852763	15612725	15192649	16076989	16435632	17688746	17854700	18242260	19057927	20128963	21482705
 37065	Edgecombe, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	914436	916553	937708	983517	979289	984624	984033	965446	954504	954494	927436	926156	842803	836097	830600	846151	857449	882963	891765
 37067	Forsyth, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	8808833	8937830	9282625	9839494	10192246	10737202	11074864	11406950	10955203	11482618	11167884	11715822	11623926	12581202	13071599	13195778	13941795	14135566	14858543
 37069	Franklin, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	425151	440280	458240	500552	554391	606216	651730	629094	618914	640550	628059	637260	646616	694552	717156	738897	790892	855145	864200
 37071	Gaston, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	2898256	2939856	2975317	3170608	3215688	3338341	3428976	3544920	3472152	3976937	3403644	3598524	3729688	3904208	4071620	4129089	4335411	4616404	4753337
 37073	Gates, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	62003	64243	64881	67889	70474	74889	75469	76438	77187	76210	72479	74756	72454	77450	78481	78048	79095	83309	90115
 37075	Graham, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	93698	95467	95871	92149	98493	107269	116171	116539	107325	108143	109209	109135	111645	111302	117516	106899	118855	129747	134960
 37077	Granville, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	823917	868966	887080	898169	940045	1021707	1091818	1117758	1094044	1116089	1152998	1210847	1223092	1240302	1279298	1345612	1424789	1439673	1463671
 37079	Greene, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	131619	133831	137643	143959	147648	165785	181742	196787	196138	199874	188737	190701	187038	191404	199545	208911	222914	237246	248653
 37081	Guilford, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	12638459	12723106	13027798	13585440	14245771	15227204	15769839	16099258	15083093	15352318	15723693	16625589	17087953	17886763	18831326	18996364	19758813	20388814	21224897
 37083	Halifax, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	631036	639915	658627	686071	707458	757410	766373	773883	746461	771342	772486	790653	792869	788493	785757	788534	799628	828043	851813
 37085	Harnett, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	823051	846926	886697	976325	1024809	1099626	1140669	1140566	1091691	1124460	1093042	1157068	1187914	1247483	1291898	1363634	1437458	1500119	1574640
 37087	Haywood, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	671329	701036	716408	755786	769959	823523	868205	839878	813118	863209	855185	888989	878409	907435	936775	986161	1005002	1064212	1105598
 37089	Henderson, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1462455	1508468	1543085	1623820	1685161	1813786	1871974	1884715	1741683	1801406	1817900	1901430	1941728	2019331	2097285	2232365	2351480	2499261	2624755
 37091	Hertford, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	306625	322183	336169	357728	367461	386114	403564	425137	421851	438916	418834	437390	440955	456596	454262	453279	469213	494409	516399
 37093	Hoke, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	248481	258878	268124	280169	295879	317047	343229	351761	351180	358724	341083	358460	380734	375658	403021	440349	466587	477516	498031
 37095	Hyde, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	68751	71387	74609	76292	74026	72569	77736	81583	78814	85401	91041	93647	92390	95454	98895	98251	101243	99346	102291
 37097	Iredell, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	2488580	2604048	2811936	3100599	3327800	3520918	3660380	3676859	3411066	3587113	3788093	4143167	4271991	4635657	4825159	5053767	5072366	5378198	5677350
 37099	Jackson, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	524434	548196	571710	620942	675333	729497	742743	723875	656910	668261	664640	700614	736703	777047	838070	900259	956389	980913	1046893
 37101	Johnston, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1515936	1564582	1685839	1823533	1931803	2131642	2294118	2211527	2115044	2190948	2286221	2346308	2418201	2564506	2748745	2877614	3020734	3280072	3489088
 37103	Jones, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	67973	69797	71503	75254	77559	81143	76976	76131	74835	79937	82070	88049	85999	80592	84882	89363	92908	98024	98758
 37105	Lee, NC	5.0	CAINC5N	82.0	...	 Nonfarm earnings	Thousands of dollars	1104497	1137428	1182109	1266846	1337357	1384138	1420246	1410920	1334805	1391421	1290496	1324797	1304707	1359964	1426292	1456812	1525356	1617090	1610290
