GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
" ""37000"""	North Carolina	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	6154093	6736314	6890685	7240168	7578072	8158243	8237844	7865741	7883673	8577242	8884523	9706434	9849688	10481846	10869137	11192998	11271462	11928091
" ""37001"""	Alamance, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	104050	113523	112109	117113	122558	130584	129998	122286	124819	132197	134248	144226	144439	154385	160951	163959	160569	168487
" ""37003"""	Alexander, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	19467	22279	22646	24787	26355	27043	26142	23738	24219	26350	26763	32685	32395	33881	32218	32617	32118	32708
" ""37005"""	Alleghany, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	5418	6227	6655	7473	(D)	7349	7446	7748	7991	8309	8183	8969	9072	9487	9490	8101	8579	9026
" ""37007"""	Anson, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	11438	13256	15671	17032	18566	19332	17686	16160	15567	16449	17628	20550	21017	21791	18620	19251	19516	20976
" ""37009"""	Ashe, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	15787	18988	18029	18820	20410	22606	22580	21158	21600	24748	24218	25745	24345	27440	29028	30507	28085	28927
" ""37011"""	Avery, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	14143	15634	16112	17411	17689	18731	17921	17169	17607	18298	18498	19793	19904	21477	21122	20261	21241	21914
" ""37013"""	Beaufort, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	28024	33530	33958	37296	39068	44607	45491	42204	41438	44324	45418	47061	44716	48501	49338	47334	44754	44766
" ""37015"""	Bertie, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	10033	10377	10773	10973	11053	10970	10735	11347	11271	11721	11090	11659	11796	12040	11268	10881	10680	11165
" ""37017"""	Bladen, NC	5.0	CAINC5N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	(D)	12631	14081	17498	19837	21392	18968	19273	18800	19316	19219	20694	20640	(D)	(D)	(D)	21010	(D)
