GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	228879962	232267281	241625829	261640155	281033775	306078047	329509436	350848256	338315713	341627602	355052267	379925288	376023857	397995923	419891523	433195584	453769026	478861557
 37001	Alamance, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	3596372	3658312	3774373	3849857	4003936	4357918	4663288	4856635	4728074	4846334	5052980	5258423	5271542	5539607	5785944	5985371	6237219	6548003
 37003	Alexander, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	845693	830492	841447	910357	945709	987424	1027068	1014545	1002350	1028703	1046610	1092204	1125351	1200641	1264629	1265864	1343855	1398436
 37005	Alleghany, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	267314	266367	266695	277453	287925	287128	300656	311724	316736	320735	330440	339312	346511	369929	392939	398139	407289	419084
 37007	Anson, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	584657	555426	560875	609662	633801	669800	710214	713071	692502	718284	720677	745909	745137	792871	813693	795172	834185	861148
 37009	Ashe, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	588163	588063	595563	625959	642726	685148	726903	760748	778959	788737	798542	840747	837171	861580	891243	913435	947971	984049
 37011	Avery, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	402921	401648	406589	416423	434036	434876	470689	469557	483514	484007	499103	519536	515270	550394	570402	582414	611662	640224
 37013	Beaufort, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1083647	1095366	1164296	1217025	1300549	1389138	1489016	1549002	1544467	1593869	1637152	1740776	1755404	1776592	1826889	1854571	1895165	1960531
 37015	Bertie, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	437185	428653	442379	464965	492348	507754	550362	573392	593181	592169	579713	620058	617452	629016	639001	624087	652208	661453
 37017	Bladen, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	752312	716808	757470	812270	837425	842959	891088	957810	977785	1025538	1028083	1047479	1063376	1078811	1089544	1087713	1135123	1138616
 37019	Brunswick, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1854645	1877112	2033909	2374571	2689092	3000334	3243435	3410324	3383264	3454874	3619944	3816328	3994061	4327267	4695084	5089309	5441111	5845674
 37021	Buncombe, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	5850633	5950158	6074886	6551111	6937745	7658759	8152646	8359419	8065942	8260908	8690957	9308930	9378025	10122897	10876194	11324635	11867353	12590381
 37023	Burke, NC	5.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2105660	2099756	2102961	2190567	2271517	2335314	2415577	2461864	2437468	2481216	2515531	2603818	2588792	2705512	2837984	2894147	3041519	3187343
