GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	8210122	8326201	8422501	8553152	8705407	8917270	9118037	9309449	9449566	9574323	9657592	9749476	9843336	9932887	10031646	10154788	10268233	10381615	10488084
 37001	Alamance, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	133346	135239	136009	137619	139311	141462	144712	147704	149954	151431	152692	153265	154162	155384	157037	160283	163276	166514	169509
 37003	Alexander, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	34187	34665	34998	35343	35786	36243	36609	36840	37053	37233	37026	36922	37012	36987	36960	37133	37143	37331	37497
 37005	Alleghany, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	10740	10740	10776	10790	10788	10940	11061	11131	11125	11137	11016	10943	10903	10891	10856	10919	10988	11138	11137
 37007	Anson, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	25553	25723	25749	26386	26585	26599	26664	26837	26917	26852	26512	26309	25957	25965	25602	25165	24829	24470	24446
 37009	Ashe, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	24750	25029	25288	25684	25838	26134	26506	26858	27144	27228	26986	26924	26840	26764	26628	26600	26787	27099	27203
 37011	Avery, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	17706	17867	17896	17971	17945	18104	17949	18024	17925	17799	17770	17611	17654	17650	17486	17442	17517	17528	17557
 37013	Beaufort, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	45084	45216	45418	45618	46059	46622	46702	47297	47485	47822	47675	47431	47382	47339	47389	47369	47033	47056	46994
 37015	Bertie, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	19829	19841	19897	20018	20057	19936	20927	21121	21216	21245	20858	20494	20326	20316	20162	19423	19263	19106	18947
 37017	Bladen, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	32714	32782	33129	33684	33934	34114	34285	34665	34852	35181	34880	34807	34618	34361	34083	33638	33443	33151	32722
 37019	Brunswick, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	76005	78296	80584	83327	87846	93938	99008	103257	105777	108069	110185	112013	114922	118305	122211	126304	130859	136880	142820
 37021	Buncombe, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	209104	211841	214982	218139	221642	226524	230766	233772	236349	238738	241172	243655	246807	249084	251954	254955	257071	259259	261191
 37023	Burke, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	89525	89371	89493	89394	89526	89903	90146	90788	91178	90580	90542	89974	89354	89296	89341	89451	90157	90405	90485
 37025	Cabarrus, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	136463	140054	143336	146429	150797	157735	165717	171915	175993	178562	181175	184340	187240	191680	196396	201639	206988	211597	216453
 37027	Caldwell, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	78375	78920	79380	79471	80218	80897	81588	82527	82798	83022	82451	82081	82048	81667	81518	81766	81933	82026	82178
 37029	Camden, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	7100	7412	7894	8415	8991	9321	9570	9802	9899	10009	10024	10003	10116	10278	10282	10397	10532	10676	10867
 37031	Carteret, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	59790	60311	61067	62127	62833	64028	64258	64700	65670	66700	67418	67770	68388	68629	68712	68808	68921	69438	69473
 37033	Caswell, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	23610	23767	23833	23801	23827	23993	23914	23912	23725	23750	23456	23042	23093	22807	22813	22755	22616	22634	22604
 37035	Catawba, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	144865	145343	145601	147016	148629	150449	152448	153848	154610	154730	154459	154693	154965	155085	155527	156448	157852	158687	159551
 37037	Chatham, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	51482	53857	55061	56236	57045	58779	60054	61783	62693	63845	64109	64527	65243	66669	68263	69642	71189	73127	74470
 37039	Cherokee, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	24629	24884	25229	25658	26077	26877	27350	27545	27378	27435	27180	27034	27125	27078	27102	27809	27954	28369	28612
 37041	Chowan, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	14490	14559	14529	14573	14625	14835	14953	14831	14915	14738	14807	14695	14668	14502	14248	14201	14029	14065	13943
 37043	Clay, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	9086	9273	9429	9583	9833	10107	10356	10492	10540	10608	10686	10654	10597	10566	10623	10749	11004	11124	11231
 37045	Cleveland, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	96861	97068	97241	97134	96844	96990	97524	98155	98211	97917	97442	97317	96873	97009	96850	96960	97134	97519	97947
 37047	Columbus, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	54806	54975	54961	55099	55155	55654	55964	56503	58163	57992	57705	57534	57080	56883	56675	56292	56047	55819	55508
 37049	Craven, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	93325	92633	92906	93548	94729	96926	97825	99423	101923	104171	104831	105319	104285	104055	102853	102632	102492	102338	102139
 37051	Cumberland, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	304316	305697	303318	307629	303695	307365	308284	311800	317252	327197	330503	329985	332997	332364	331203	333167	330994	333430	335509
 37053	Currituck, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	18714	19327	20299	21469	22418	22923	23216	23378	23335	23674	23906	24025	24253	24820	25106	25640	26290	27016	27763
 37055	Dare, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	30826	31898	32697	33196	33354	33463	33541	33553	33679	33982	34156	34383	34810	34894	35468	35829	36199	36607	37009
 37057	Davidson, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	149663	151296	152809	154179	155425	157209	159126	161520	162406	162840	162923	163040	163295	163383	163486	164270	165180	166358	167609
 37059	Davie, NC	5.0	CAINC5N	20.0	...	Population (persons) 2/	Number of persons	35905	36446	36864	37552	38559	39539	40260	40748	41035	41254	41335	41281	41435	41259	41648	41921	42308	42563	42846
