GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2556997	2685792	2761328	3000596	3258872	4113358	3609632	4558710	2458800	1941685	2040127	3266757	4240605	5062430	5773602	6491702	6460325	6699651
 37001	Alamance, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	27695	31653	34592	38372	43953	48256	42842	49000	31032	31771	38928	46776	52387	58959	66470	74665	71543	72419
 37003	Alexander, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1807	1715	1964	2153	2195	2747	2064	4287	2200	1734	1482	2709	3387	3729	3568	4141	4398	4229
 37005	Alleghany, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	464	596	882	738	1215	1869	1335	1177	63	-186	-126	384	425	589	753	3032	3255	3260
 37007	Anson, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	728	837	832	866	870	1011	1027	2344	1922	2330	2139	2666	2310	2046	1880	1867	1880	2037
 37009	Ashe, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2483	2951	3254	3473	4308	6435	5603	10101	5138	2737	2073	2974	3689	4780	6767	7081	9552	9172
 37011	Avery, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5498	7488	5889	6213	7791	9351	9187	9595	6439	5638	5351	5831	6204	6270	7611	9128	9084	8803
 37013	Beaufort, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	-774	-376	1680	6967	8475	10059	6844	9475	6150	7054	8629	13799	15765	18077	17258	19230	13988	14117
 37015	Bertie, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	453	505	446	449	482	676	727	1408	770	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37017	Bladen, NC	5.0	CAINC5N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2677	2668	2487	2785	2942	3877	3482	6344	3917	3739	2934	3047	4294	5065	6935	7411	5347	5376
