GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	7574849	7757856	8035874	8630798	9178363	9930489	10726057	11268351	11487416	11833383	11862424	11982636	12416098	12206654	12649762	12948790	13382244	14144429	14709012
 37001	Alamance, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	35260	36303	34823	36643	40283	42623	44623	46115	48064	46790	47307	47123	47623	44976	48040	49618	51835	54062	56634
 37003	Alexander, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	4608	5278	6451	16276	19870	22929	25299	28034	29525	30743	30651	30890	32472	(D)	(D)	(D)	(D)	(D)	(D)
 37005	Alleghany, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	2891	3246	3285	3501	3656	3652	3660	3802	4906	5551	4828	4774	4897	4279	4414	4179	4204	4347	4497
 37007	Anson, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	29297	28752	31238	40486	44926	48754	53378	57448	51637	52869	51862	52033	55551	56331	57316	53336	49728	49545	49206
 37009	Ashe, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	6748	7164	7171	7792	8050	8582	8873	8885	9705	10094	10141	9785	9993	9704	9867	8624	8545	9064	9647
 37011	Avery, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	13284	14958	15320	16872	19681	22059	24265	26028	33386	33732	32770	32117	33105	32497	33878	35228	37168	38368	38662
 37013	Beaufort, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	28726	27454	29647	31474	32806	33881	36003	38091	37606	37595	36875	36794	37263	35305	36995	35783	35443	36725	38189
 37015	Bertie, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	5372	5599	4836	4856	5044	13315	17226	19332	23894	23701	23439	24716	26184	(D)	25292	26656	27366	27505	29879
 37017	Bladen, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	18386	19558	19251	20854	22488	23624	23838	25274	24307	28476	29484	29954	30423	26256	27677	27746	28105	29651	30186
 37019	Brunswick, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	17768	19010	19091	20696	22010	23406	24844	26829	29252	32089	32611	31801	32339	31470	33892	35173	35870	37443	38178
 37021	Buncombe, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	164348	165848	167573	180002	193159	206748	221028	230438	232252	242491	239884	236458	242120	237274	246105	248395	255126	266179	274494
 37023	Burke, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	192176	175970	176689	187579	198141	210073	222341	233332	216359	214501	207027	208782	212775	201255	209021	212622	220447	231616	241722
 37025	Cabarrus, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	26645	28274	(D)	26490	28419	30137	34519	36494	40829	43960	44162	40014	40619	42463	46917	45637	47160	51130	54124
 37027	Caldwell, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	28499	29148	(D)	32594	35313	38275	39990	41491	49102	51235	50183	51045	51245	47267	48745	48378	50403	50649	52134
 37029	Camden, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	2252	2407	1821	1788	2015	2192	2405	2684	2588	1886	1798	1794	(D)	1514	1519	1541	1615	1750	1906
 37031	Carteret, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	38520	37935	39160	41893	44939	48371	51627	52521	54040	53085	52040	51587	52228	50501	51287	51806	52178	54755	57158
 37033	Caswell, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	23441	22964	21321	22106	22820	24027	26122	27700	25389	25084	24025	23568	24086	23086	23415	24290	24206	24467	25944
 37035	Catawba, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	43283	45718	46134	51293	56760	58365	61543	63272	68226	69709	72502	71772	71675	67443	68479	70043	73639	78014	81461
 37037	Chatham, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	10651	11576	11150	12180	12566	13182	14276	14204	18701	18812	19171	19364	19794	19006	19777	20279	20644	22340	22879
 37039	Cherokee, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	12780	12584	13826	15025	15794	17008	17626	17558	18042	17532	17633	17117	18064	17030	18582	18241	18533	19644	20539
 37041	Chowan, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	6138	6066	5703	5885	6041	6648	7151	7430	8362	8193	8250	8245	8500	7924	8007	7658	7546	8233	9096
 37043	Clay, NC	5.0	CAINC5N	2011.0	...	    State government	Thousands of dollars	1729	1803	1762	2073	1956	2146	2166	2143	2535	2338	2310	2210	2141	1727	1903	1838	1786	2052	2320
