GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37000	North Carolina	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	28368655	29355964	31554130	33751062	36495383	38612135	40758927	41624851	41906466	42995637	42561463	45279767	45607343	49124934	50258376	51324074	52834537	55258770	57934830
 37001	Alamance, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	409433	415644	435710	457631	478045	495988	514941	518951	496386	503356	494578	540156	530861	566909	558732	582539	592793	615056	652788
 37003	Alexander, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	59173	60181	65024	71919	75891	78659	82426	82184	76125	75974	74168	78674	78764	83439	84520	84083	89389	92216	95769
 37005	Alleghany, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	21704	21631	21896	24225	26988	28067	27530	26826	26802	27562	26331	27354	27793	30087	29785	30174	30482	31348	32882
 37007	Anson, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	55699	56078	59182	66101	70319	71386	74510	76302	72455	74931	72971	75950	75362	80382	79072	77162	77046	79514	84079
 37009	Ashe, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	50467	54290	58027	62018	66915	69213	71907	70546	69734	70149	63926	67130	65143	68359	67126	69770	71930	74115	76920
 37011	Avery, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	35666	37591	41020	45016	49169	51777	55182	54263	55037	54746	52323	55256	55828	60447	60306	61741	63280	65212	66524
 37013	Beaufort, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	112048	115384	122957	133544	141731	148173	154354	155533	158712	160614	157941	161052	154307	163637	163558	166696	168110	170552	177561
 37015	Bertie, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	38597	39841	41697	46057	49498	53536	55531	56061	61392	61293	55849	58209	57617	65431	63026	61844	61366	61154	64753
 37017	Bladen, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	78338	82222	89978	95344	100149	104787	110557	107840	115239	119629	110102	117455	116302	129194	128399	128853	129764	133327	137845
 37019	Brunswick, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	163238	158552	173890	195907	214209	234506	247767	258517	264969	271756	261379	274322	285388	312100	320485	333383	341379	357647	378220
 37021	Buncombe, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	710619	722120	785589	844000	910953	967544	1016983	1036915	1062115	1086415	1063213	1144713	1154293	1255471	1296348	1337042	1371086	1440875	1518499
 37023	Burke, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	242239	243593	254668	277743	292802	299929	302729	303152	281838	286768	277140	296433	297666	310910	311516	310716	316143	324214	337336
 37025	Cabarrus, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	417393	444954	471285	499189	547090	585735	624889	616173	602318	584959	551518	596005	618394	667888	693479	757997	805034	819807	852603
 37027	Caldwell, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	205959	209310	216326	222320	229261	229720	232336	229545	222877	221923	212127	217077	213970	225267	230896	239255	256262	269627	279719
 37029	Camden, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	8634	9467	10371	13003	14402	17952	19254	18572	19829	19882	16639	15948	14611	14763	15874	15058	14924	14954	15620
 37031	Carteret, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	123934	129255	141751	154334	167925	177023	182463	185889	188578	190269	180758	193239	195436	209399	213171	217449	226936	237823	250219
 37033	Caswell, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	24126	23815	24746	26306	27942	28955	31048	31639	32371	33197	31827	31619	31972	32817	33554	33225	34961	36573	38396
 37035	Catawba, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	654532	635962	647708	685205	728746	769322	792547	780794	739774	752920	747549	787538	785021	849877	881139	898984	939810	967094	994372
 37037	Chatham, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	99990	103906	112455	122928	131147	137957	139371	138526	133089	134746	127171	129745	130909	139396	137112	139157	145821	151956	161577
 37039	Cherokee, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	51731	51794	54010	58558	65349	65704	66457	67400	67502	68556	65394	68141	67003	71507	73061	73667	76841	79836	81262
 37041	Chowan, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	33464	34215	38427	42424	44607	46370	46669	44086	43350	43092	40444	42994	42068	45847	45104	44842	46141	48939	50221
 37043	Clay, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	10027	10689	11727	13227	14805	15735	17187	16557	16013	16614	15749	16925	17108	18489	18315	18667	18540	19989	21139
 37045	Cleveland, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	238626	242466	258823	276002	297910	301905	313196	310509	298658	301443	304321	327476	323636	347301	348649	363357	371662	384858	401665
 37047	Columbus, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	111478	114315	123079	131156	139249	141707	145526	148780	149996	154012	146194	153964	157676	158861	154467	157640	155632	161759	169080
 37049	Craven, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	386685	391631	452140	501647	542511	563061	599484	614705	647948	679422	680135	705535	683592	703551	715804	719366	696354	729871	780181
 37051	Cumberland, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	1223662	1367851	1654432	1775245	2015082	2132859	2297937	2479514	2650480	2857156	2948969	2993823	2867463	2858007	2902409	2848653	2918261	3029291	3187263
 37053	Currituck, NC	5.0	CAINC5N	60.0	...	 Supplements to wages and salaries	Thousands of dollars	23407	27133	31076	34190	37193	39118	43012	43167	44147	45951	48659	52306	54863	60757	63423	58907	62103	67924	71172
