GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	8574460	8977624	9533526	10482657	11117061	11888350	12567581	12473564	11578755	11970852	12666822	13497515	13995352	14994989	15674305	15965229	16931490	17289020
 37001	Alamance, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	118156	116533	121305	133797	135070	154026	157888	152582	136528	142386	151545	150036	152722	166529	182765	196599	215333	221330
 37003	Alexander, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	5940	4992	6316	7040	8235	6459	6825	6495	5941	6226	6222	7023	7343	8439	8516	9140	9464	(D)
 37005	Alleghany, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	945	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	975	(D)	1646	2587	2996	3380	3518
 37007	Anson, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	17757	18019	21932	19854	20647	22520	22822	21441	18246	19964	21874	21072	21468	20651	21534	21842	22394	23053
 37009	Ashe, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	3603	4083	4555	5092	6299	6000	12238	13506	14678	16641	20276	21592	23572	23978	27770	30735	31901
 37011	Avery, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	(D)	(D)	5942	5608	6545	(D)	(D)	(D)	(D)	6042	5816	5771	5904	5754	6579	6771
 37013	Beaufort, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	29708	28065	23900	26189	27788	30823	33457	37176	36227	37594	35699	34134	35926	36159	37935	37220	47479	48783
 37015	Bertie, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	5623	5094	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	9935	10726	6100	(D)	4996	6003	(D)	(D)
 37017	Bladen, NC	5.0	CAINC5N	600.0	42	   Wholesale trade	Thousands of dollars	(D)	(D)	8988	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
