	GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
0	" ""37000"""	North Carolina	5.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 1/	Thousands of dollars	160371299	162957779	168340289	178493489	188859252	201920367	214653542	219438233	211454924	216515016	222527671	232370554	237874021	250034594	263482253	271908258	284329408
1	" ""37000"""	North Carolina	5.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	132002644	133601815	136786159	144742427	152363869	163308232	173894615	177813382	169548458	173519379	179966208	187090787	192266678	200930443	212837993	221422210	232254845
2	" ""37000"""	North Carolina	5.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	28368655	29355964	31554130	33751062	36495383	38612135	40758927	41624851	41906466	42995637	42561463	45279767	45607343	49104151	50644260	50486048	52074563
3	" ""37000"""	North Carolina	5.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 2/	Thousands of dollars	18671663	19657908	21121291	22878918	24855985	26226984	27582351	28075819	28774662	29762841	28598403	30721367	30617687	33333413	34086384	33784938	35087081
4	" ""37000"""	North Carolina	5.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	9696992	9698056	10432839	10872144	11639398	12385151	13176576	13549032	13131804	13232796	13963060	14558400	14989656	15770738	16557876	16701110	16987482
5	" ""37000"""	North Carolina	5.0	CAINC6N	9.0	...	Average compensation per job (dollars) 3/	Dollars	39318	40256	41827	43679	45384	47223	48995	50224	50878	52495	53289	54781	55341	57073	58619	59254	61048
6	" ""37000"""	North Carolina	5.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	516547	612214	541544	567264	542287	597765	742065	668750	552880	425493	523181	644949	668786	662226	649520	768123	784736
7	" ""37000"""	North Carolina	5.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	159854752	162345565	167798745	177926225	188316965	201322602	213911477	218769483	210902044	216089523	222004490	231725605	237205235	249372368	262832733	271140135	283544672
8	" ""37000"""	North Carolina	5.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	128226820	129355927	132495449	140034569	147656870	158432534	167623468	169535927	159968580	163599262	169238783	178540721	183394651	195505060	206659001	213821297	224971588
9	" ""37000"""	North Carolina	5.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	311441	329443	342290	390382	386078	429034	437152	428800	466245	472137	477133	519154	532720	593951	616740	635883	644613
10	" ""37000"""	North Carolina	5.0	CAINC6N	101.0	113	    Forestry and logging	Thousands of dollars	140939	138909	141389	155754	145091	149107	154633	143508	136344	140189	134980	143216	138119	158685	165070	173687	173984
11	" ""37000"""	North Carolina	5.0	CAINC6N	102.0	114	    Fishing, hunting and trapping	Thousands of dollars	4273	2297	2081	2586	2467	2210	2429	1782	1980	2118	1982	2149	1457	1582	1330	1506	1906
12	" ""37000"""	North Carolina	5.0	CAINC6N	103.0	115	    Support activities for agriculture and forestry	Thousands of dollars	166229	188237	198820	232042	238520	277717	280090	283510	327921	329830	340171	373789	393144	433684	450340	460690	468723
13	" ""37000"""	North Carolina	5.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	238281	192076	197715	217919	248077	282044	304743	250216	214984	165555	173712	177855	176269	177438	195165	208207	236222
14	" ""37000"""	North Carolina	5.0	CAINC6N	201.0	211	    Oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	0	0	(D)	(D)	(D)	974	1461	1274	2364	2084	2199	2174	1569	(D)
15	" ""37000"""	North Carolina	5.0	CAINC6N	202.0	212	    Mining (except oil and gas)	Thousands of dollars	199832	184509	188559	210152	240928	272251	294027	237155	206140	154747	156183	153393	150984	157835	174021	185136	210782
16	" ""37000"""	North Carolina	5.0	CAINC6N	203.0	213	    Support activities for mining	Thousands of dollars	(D)	(D)	(D)	7767	7149	(D)	(D)	(D)	7870	9347	16255	22098	23201	17404	18970	21502	(D)
17	" ""37000"""	North Carolina	5.0	CAINC6N	300.0	22	   Utilities	Thousands of dollars	(D)	1206308	1193011	1245215	1218429	1300848	1314107	1365634	1336765	1399223	1415956	1414259	1566711	1723596	1753587	1857118	1811481
18	" ""37000"""	North Carolina	5.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9172824	8815876	8845270	9505904	10399913	11545978	12436153	11815148	9688298	9062976	9027920	9364836	9641491	10450941	11449311	12538480	13472174
19	" ""37000"""	North Carolina	5.0	CAINC6N	401.0	236	    Construction of buildings	Thousands of dollars	2498509	2468992	2477684	2569537	2866065	3142242	3344531	3050556	2435412	2202517	2145137	2376986	2423819	2598990	2903377	3205838	3364346
20	" ""37000"""	North Carolina	5.0	CAINC6N	402.0	237	    Heavy and civil engineering construction	Thousands of dollars	1575288	1433184	1389816	1510427	1633104	1780192	1827347	1727702	1404448	1366207	1386041	1513163	1557656	1688976	1851253	2073370	2292052
21	" ""37000"""	North Carolina	5.0	CAINC6N	403.0	238	    Specialty trade contractors	Thousands of dollars	5099027	4913700	4977770	5425940	5900744	6623544	7264275	7036890	5848438	5494252	5496742	5474687	5660016	6162975	6694681	7259272	7815776
22	" ""37000"""	North Carolina	5.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	32690625	31231371	30662668	31190700	31542262	32133216	32975377	32097132	28669242	28818732	29380447	30198650	30963025	32311451	33674420	33675592	34939421
23	" ""37000"""	North Carolina	5.0	CAINC6N	510.0	321,327-339	    Durable goods manufacturing	Thousands of dollars	17648660	16235847	15867518	16684872	17231367	18042469	18620011	18043362	15748919	15685963	16282919	17240443	17745790	18237925	19296788	19437607	20235623
24	" ""37000"""	North Carolina	5.0	CAINC6N	511.0	321	     Wood product manufacturing	Thousands of dollars	1017769	1007670	994143	1076239	1171881	1179099	1116756	985124	734019	727596	733423	758300	823861	907976	951203	975415	1046009
25	" ""37000"""	North Carolina	5.0	CAINC6N	512.0	327	     Nonmetallic mineral product manufacturing	Thousands of dollars	1011688	910925	861379	869625	901940	959515	999430	944133	784635	763186	781294	839661	854095	902335	959684	995581	1040317
26	" ""37000"""	North Carolina	5.0	CAINC6N	513.0	331	     Primary metal manufacturing	Thousands of dollars	385184	366809	357471	428522	468314	532632	552262	557441	456100	462349	512484	552179	550593	593473	624701	590880	611640
27	" ""37000"""	North Carolina	5.0	CAINC6N	514.0	332	     Fabricated metal product manufacturing	Thousands of dollars	1846752	1817521	1823025	1911482	2022830	2183695	2243645	2140004	1819383	1836252	1877563	2071258	2101119	2171833	2265818	2317872	2393266
28	" ""37000"""	North Carolina	5.0	CAINC6N	515.0	333	     Machinery manufacturing	Thousands of dollars	1813592	1709507	1702411	1789935	1908529	1999063	2106451	2128306	1825222	1893258	2071992	2208548	2250074	2410996	2522935	2603174	2759738
