GeoArea_FIPS	GeoArea_Name	Date	Published_Value
37001	Alamance, NC	01-01-19	11953854.08
37001	Alamance, NC	01-01-20	12757939.09
37001	Alamance, NC	02-01-19	9033608.52
37001	Alamance, NC	02-01-20	9057131.6
37001	Alamance, NC	03-01-19	9006359.21
37001	Alamance, NC	04-01-19	10810131.23
37001	Alamance, NC	05-01-19	10467511.53
37001	Alamance, NC	06-01-19	10539132.13
37001	Alamance, NC	07-01-19	11396715.96
37001	Alamance, NC	08-01-19	10909983.58
37001	Alamance, NC	09-01-19	10149764.93
37001	Alamance, NC	10-01-18	10004255.93
37001	Alamance, NC	10-01-19	10105283.98
37001	Alamance, NC	11-01-18	10150905.88
37001	Alamance, NC	11-01-19	9906969.71
37001	Alamance, NC	12-01-18	10641773.85
37001	Alamance, NC	12-01-19	10944462.95
37003	Alexander, NC	01-01-19	902058.11
37003	Alexander, NC	01-01-20	1077220.5
37003	Alexander, NC	02-01-19	800011.29
37003	Alexander, NC	02-01-20	804316.7
37003	Alexander, NC	03-01-19	797676.5
37003	Alexander, NC	04-01-19	930421.47
37003	Alexander, NC	05-01-19	919117.25
37003	Alexander, NC	06-01-19	911366.44
37003	Alexander, NC	07-01-19	906996.24
37003	Alexander, NC	08-01-19	853330.71
37003	Alexander, NC	09-01-19	863871.12
37003	Alexander, NC	10-01-18	833295.55
37003	Alexander, NC	10-01-19	887173.65
37003	Alexander, NC	11-01-18	819955.23
37003	Alexander, NC	11-01-19	888559.94
37003	Alexander, NC	12-01-18	836831.02
37003	Alexander, NC	12-01-19	933090.53
37005	Alleghany, NC	01-01-19	295485.4
37005	Alleghany, NC	01-01-20	377176.27
37005	Alleghany, NC	02-01-19	411433.83
37005	Alleghany, NC	02-01-20	327271.23
37005	Alleghany, NC	03-01-19	292330.45
37005	Alleghany, NC	04-01-19	323355.02
37005	Alleghany, NC	05-01-19	303952.34
37005	Alleghany, NC	06-01-19	342060.3
37005	Alleghany, NC	07-01-19	353488.02
37005	Alleghany, NC	08-01-19	395509.41
37005	Alleghany, NC	09-01-19	361759.39
37005	Alleghany, NC	10-01-18	334012.92
37005	Alleghany, NC	10-01-19	404200.35
37005	Alleghany, NC	11-01-18	314246.99
37005	Alleghany, NC	11-01-19	382901.97
37005	Alleghany, NC	12-01-18	310448.2
37005	Alleghany, NC	12-01-19	359699.28
37007	Anson, NC	01-01-19	707384.78
37007	Anson, NC	01-01-20	694251.94
37007	Anson, NC	02-01-19	570157.76
37007	Anson, NC	02-01-20	587221.68
37007	Anson, NC	03-01-19	535474.74
37007	Anson, NC	04-01-19	706618.27
37007	Anson, NC	05-01-19	649259.03
37007	Anson, NC	06-01-19	665964.91
37007	Anson, NC	07-01-19	696782.94
37007	Anson, NC	08-01-19	625045.34
37007	Anson, NC	09-01-19	595217.03
37007	Anson, NC	10-01-18	607177.71
37007	Anson, NC	10-01-19	608442.41
37007	Anson, NC	11-01-18	596442.35
37007	Anson, NC	11-01-19	578191.54
37007	Anson, NC	12-01-18	634645.65
37007	Anson, NC	12-01-19	604830.78
37009	Ashe, NC	01-01-19	1141923.01
37009	Ashe, NC	01-01-20	1372561.92
37009	Ashe, NC	02-01-19	932433.83
37009	Ashe, NC	02-01-20	1074872.0
37009	Ashe, NC	03-01-19	970276.93
37009	Ashe, NC	04-01-19	1163932.55
37009	Ashe, NC	05-01-19	1192388.3
37009	Ashe, NC	06-01-19	1287209.74
37009	Ashe, NC	07-01-19	1301563.57
37009	Ashe, NC	08-01-19	1224625.95
37009	Ashe, NC	09-01-19	1221334.88
37009	Ashe, NC	10-01-18	1152274.4
37009	Ashe, NC	10-01-19	1337459.68
37009	Ashe, NC	11-01-18	1139192.1
37009	Ashe, NC	11-01-19	1317268.17
37009	Ashe, NC	12-01-18	1117479.11
37009	Ashe, NC	12-01-19	1286587.24
37011	Avery, NC	01-01-19	1183491.84
37011	Avery, NC	01-01-20	1254051.51
37011	Avery, NC	02-01-19	980838.03
37011	Avery, NC	02-01-20	1481724.0
37011	Avery, NC	03-01-19	1073139.98
37011	Avery, NC	04-01-19	969820.79
37011	Avery, NC	05-01-19	990322.36
37011	Avery, NC	06-01-19	1219073.6
37011	Avery, NC	07-01-19	1519147.96
37011	Avery, NC	08-01-19	1561200.92
37011	Avery, NC	09-01-19	1449640.17
37011	Avery, NC	10-01-18	1265383.61
37011	Avery, NC	10-01-19	1433584.24
37011	Avery, NC	11-01-18	1324269.41
37011	Avery, NC	11-01-19	1403952.59
37011	Avery, NC	12-01-18	1065919.54
37011	Avery, NC	12-01-19	1175209.08
37013	Beaufort, NC	01-01-19	2327096.42
37013	Beaufort, NC	01-01-20	2296355.97
37013	Beaufort, NC	02-01-19	1835356.28
37013	Beaufort, NC	02-01-20	1953505.37
37013	Beaufort, NC	03-01-19	1822437.0
37013	Beaufort, NC	04-01-19	2164637.99
37013	Beaufort, NC	05-01-19	2171697.36
37013	Beaufort, NC	06-01-19	2233587.53
37013	Beaufort, NC	07-01-19	2361760.16
37013	Beaufort, NC	08-01-19	2117304.86
37013	Beaufort, NC	09-01-19	2063793.19
37013	Beaufort, NC	10-01-18	1911581.57
37013	Beaufort, NC	10-01-19	2129427.91
37013	Beaufort, NC	11-01-18	2122820.01
37013	Beaufort, NC	11-01-19	2118910.95
37013	Beaufort, NC	12-01-18	2040423.23
37013	Beaufort, NC	12-01-19	1959431.58
37015	Bertie, NC	01-01-19	379269.14
37015	Bertie, NC	01-01-20	391897.53
37015	Bertie, NC	02-01-19	323060.35
37015	Bertie, NC	02-01-20	357488.9
37015	Bertie, NC	03-01-19	296478.99
37015	Bertie, NC	04-01-19	401996.49
37015	Bertie, NC	05-01-19	338409.5
37015	Bertie, NC	06-01-19	368986.36
37015	Bertie, NC	07-01-19	341217.98
37015	Bertie, NC	08-01-19	365498.71
37015	Bertie, NC	09-01-19	369379.63
37015	Bertie, NC	10-01-18	363048.16
