GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37000	FIPS_37000	North Carolina			  Agriculture, forestry, fishing and hunting	2001	4079816
37000	FIPS_37000	North Carolina			  Mining, quarrying, and oil and gas extraction	2001	539497
37000	FIPS_37000	North Carolina			  Utilities	2001	4692154
37000	FIPS_37000	North Carolina			  Construction	2001	14286151
37000	FIPS_37000	North Carolina			  Manufacturing	2001	70608977
37000	FIPS_37000	North Carolina			  Wholesale trade	2001	14625838
37000	FIPS_37000	North Carolina			  Retail trade	2001	18065299
37000	FIPS_37000	North Carolina			  Transportation and warehousing	2001	6729315
37000	FIPS_37000	North Carolina			  Information	2001	8536895
37000	FIPS_37000	North Carolina			   Real estate and rental and leasing	2001	29630157
37000	FIPS_37000	North Carolina			  Professional and business services	2001	25508832
37000	FIPS_37000	North Carolina			   Management of companies and enterprises	2001	5843605
37000	FIPS_37000	North Carolina			   Administrative and support and waste management and remediation services	2001	6867002
37000	FIPS_37000	North Carolina			   Educational services	2001	2275806
37000	FIPS_37000	North Carolina			   Health care and social assistance	2001	16015245
37000	FIPS_37000	North Carolina			   Arts, entertainment, and recreation	2001	1842660
37000	FIPS_37000	North Carolina			   Accommodation and food services	2001	6636606
37000	FIPS_37000	North Carolina			  Other services (except government and government enterprises)	2001	6559234
37000	FIPS_37000	North Carolina			Government and government enterprises	2001	37310959
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Agriculture, forestry, fishing and hunting	2001	19677
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Mining, quarrying, and oil and gas extraction	2001	7394
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Utilities	2001	9202
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Construction	2001	188368
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Manufacturing	2001	980963
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Wholesale trade	2001	195090
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Retail trade	2001	280273
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Transportation and warehousing	2001	69926
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Information	2001	36086
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Real estate and rental and leasing	2001	387390
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Professional and business services	2001	414641
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Management of companies and enterprises	2001	187380
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Administrative and support and waste management and remediation services	2001	110891
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Educational services	2001	51521
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Health care and social assistance	2001	271066
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Arts, entertainment, and recreation	2001	27838
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Accommodation and food services	2001	100520
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Other services (except government and government enterprises)	2001	110041
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	Government and government enterprises	2001	291661
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Agriculture, forestry, fishing and hunting	2001	33640
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Mining, quarrying, and oil and gas extraction	2001	98
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Utilities	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Construction	2001	26499
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Manufacturing	2001	230970
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Wholesale trade	2001	8829
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Retail trade	2001	31362
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Transportation and warehousing	2001	16418
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Information	2001	1585
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Real estate and rental and leasing	2001	60545
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Professional and business services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Management of companies and enterprises	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Administrative and support and waste management and remediation services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Educational services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Health care and social assistance	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Arts, entertainment, and recreation	2001	1822
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Accommodation and food services	2001	9213
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Other services (except government and government enterprises)	2001	20817
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	Government and government enterprises	2001	58931
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	34483
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	224
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Utilities	2001	1289
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Construction	2001	13187
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Manufacturing	2001	53393
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Wholesale trade	2001	1045
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Retail trade	2001	15452
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Transportation and warehousing	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Information	2001	1788
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Real estate and rental and leasing	2001	25981
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Professional and business services	2001	12441
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Management of companies and enterprises	2001	9279
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	1624
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Educational services	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Health care and social assistance	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Arts, entertainment, and recreation	2001	3575
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Accommodation and food services	2001	3358
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Other services (except government and government enterprises)	2001	6007
37005	FIPS_37005	Alleghany County	Northwest	High Country	Government and government enterprises	2001	26647
37007	FIPS_37007	Anson County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	71730
37007	FIPS_37007	Anson County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	16014
37007	FIPS_37007	Anson County	Southwest	Centralina	  Utilities	2001	5201
37007	FIPS_37007	Anson County	Southwest	Centralina	  Construction	2001	15769
37007	FIPS_37007	Anson County	Southwest	Centralina	  Manufacturing	2001	154055
37007	FIPS_37007	Anson County	Southwest	Centralina	  Wholesale trade	2001	26675
37007	FIPS_37007	Anson County	Southwest	Centralina	  Retail trade	2001	26014
