	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code	Population (2017)
0	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-03	1.0	Count	1071706.0000000002
1	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-04	1.0	Count	1071706.0000000002
2	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-05	1.0	Count	1071706.0000000002
3	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-06	1.0	Count	1071706.0000000002
4	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-07	1.0	Count	1071706.0000000002
5	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-08	1.0	Count	1071706.0000000002
6	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-09	6.0	Count	1071706.0000000002
7	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-10	6.0	Count	1071706.0000000002
8	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-11	7.0	Count	1071706.0000000002
9	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	8.0	Count	1071706.0000000002
10	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	9.0	Count	1071706.0000000002
11	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	11.0	Count	1071706.0000000002
12	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	14.0	Count	1071706.0000000002
13	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	15.0	Count	1071706.0000000002
14	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	17.0	Count	1071706.0000000002
15	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	17.0	Count	1071706.0000000002
16	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	25.0	Count	1071706.0000000002
17	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	25.0	Count	1071706.0000000002
18	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	49.0	Count	1071706.0000000002
19	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	49.0	Count	1071706.0000000002
20	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	52.0	Count	1071706.0000000002
21	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-24	54.0	Count	1071706.0000000002
22	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-25	73.0	Count	1071706.0000000002
23	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-26	83.0	Count	1071706.0000000002
24	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-27	121.0	Count	1071706.0000000002
25	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-28	124.0	Count	1071706.0000000002
26	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-29	146.0	Count	1071706.0000000002
27	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-30	166.0	Count	1071706.0000000002
28	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-31	192.0	Count	1071706.0000000002
29	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-01	195.0	Count	1071706.0000000002
30	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-02	234.0	Count	1071706.0000000002
31	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-03	258.0	Count	1071706.0000000002
32	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-04	283.0	Count	1071706.0000000002
33	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-05	304.0	Count	1071706.0000000002
34	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-06	314.0	Count	1071706.0000000002
35	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-07	336.0	Count	1071706.0000000002
36	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-08	363.0	Count	1071706.0000000002
37	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-09	371.0	Count	1071706.0000000002
38	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-10	391.0	Count	1071706.0000000002
39	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-11	424.0	Count	1071706.0000000002
40	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-12	470.0	Count	1071706.0000000002
41	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-13	476.0	Count	1071706.0000000002
42	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-14	501.0	Count	1071706.0000000002
43	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-15	510.0	Count	1071706.0000000002
44	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-16	552.0	Count	1071706.0000000002
45	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-17	566.0	Count	1071706.0000000002
46	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-18	579.0	Count	1071706.0000000002
47	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-19	592.0	Count	1071706.0000000002
48	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-20	599.0	Count	1071706.0000000002
