	Unnamed: 0	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
0	0	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-03	1.0	Count
1	1	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-04	1.0	Count
2	2	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-05	1.0	Count
3	3	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-06	1.0	Count
4	4	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-06	1.0	Count
5	5	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-07	1.0	Count
6	6	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-07	1.0	Count
7	7	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-08	1.0	Count
8	8	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-08	1.0	Count
9	9	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-09	1.0	Count
10	10	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-09	6.0	Count
11	11	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-10	1.0	Count
12	12	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-10	6.0	Count
13	13	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-11	1.0	Count
14	14	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-11	7.0	Count
15	15	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	1.0	Count
16	16	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	1.0	Count
17	17	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	2.0	Count
18	18	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	1.0	Count
19	19	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	2.0	Count
20	20	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	1.0	Count
21	21	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	8.0	Count
22	22	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	1.0	Count
23	23	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	1.0	Count
24	24	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	2.0	Count
25	25	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	1.0	Count
