	LocationType	Location	Race	TimeFrame	DataFormat	Data
0	State	North Carolina	Non-Hispanic White	2013	Number	366.0
1	State	North Carolina	Non-Hispanic African American	2013	Number	360.0
2	State	North Carolina	Non-Hispanic American Indian	2013	Number	18.0
3	State	North Carolina	Other Non-Hispanic	2013	Number	24.0
4	State	North Carolina	Hispanic	2013	Number	64.0
5	State	North Carolina	Total	2013	Number	832.0
6	State	North Carolina	Non-Hispanic White	2013	Rate	5.5
7	State	North Carolina	Non-Hispanic African American	2013	Rate	12.5
8	State	North Carolina	Non-Hispanic American Indian	2013	Rate	11.0
9	State	North Carolina	Other Non-Hispanic	2013	Rate	5.0
10	State	North Carolina	Hispanic	2013	Rate	3.7
11	State	North Carolina	Total	2013	Rate	7.0
12	State	North Carolina	Non-Hispanic White	2014	Number	345.0
13	State	North Carolina	Non-Hispanic African American	2014	Number	369.0
14	State	North Carolina	Non-Hispanic American Indian	2014	Number	15.0
15	State	North Carolina	Other Non-Hispanic	2014	Number	21.0
16	State	North Carolina	Hispanic	2014	Number	110.0
17	State	North Carolina	Total	2014	Number	860.0
18	State	North Carolina	Non-Hispanic White	2014	Rate	5.1
19	State	North Carolina	Non-Hispanic African American	2014	Rate	12.8
20	State	North Carolina	Non-Hispanic American Indian	2014	Rate	9.4
21	State	North Carolina	Other Non-Hispanic	2014	Rate	4.0
22	State	North Carolina	Hispanic	2014	Rate	6.2
23	State	North Carolina	Total	2014	Rate	7.1
24	State	North Carolina	Non-Hispanic White	2015	Number	385.0
25	State	North Carolina	Non-Hispanic African American	2015	Number	360.0
26	State	North Carolina	Non-Hispanic American Indian	2015	Number	8.0
27	State	North Carolina	Other Non-Hispanic	2015	Number	33.0
28	State	North Carolina	Hispanic	2015	Number	98.0
29	State	North Carolina	Total	2015	Number	884.0
30	State	North Carolina	Non-Hispanic White	2015	Rate	5.7
31	State	North Carolina	Non-Hispanic African American	2015	Rate	12.5
32	State	North Carolina	Non-Hispanic American Indian	2015	Rate	4.9
33	State	North Carolina	Other Non-Hispanic	2015	Rate	6.2
34	State	North Carolina	Hispanic	2015	Rate	5.4
35	State	North Carolina	Total	2015	Rate	7.3
36	State	North Carolina	Non-Hispanic White	2016	Number	335.0
37	State	North Carolina	Non-Hispanic African American	2016	Number	380.0
38	State	North Carolina	Non-Hispanic American Indian	2016	Number	12.0
39	State	North Carolina	Other Non-Hispanic	2016	Number	35.0
40	State	North Carolina	Hispanic	2016	Number	111.0
41	State	North Carolina	Total	2016	Number	873.0
42	State	North Carolina	Non-Hispanic White	2016	Rate	5.0
43	State	North Carolina	Non-Hispanic African American	2016	Rate	13.4
44	State	North Carolina	Non-Hispanic American Indian	2016	Rate	7.6
45	State	North Carolina	Other Non-Hispanic	2016	Rate	6.2
46	State	North Carolina	Hispanic	2016	Rate	6.0
47	State	North Carolina	Total	2016	Rate	7.2
48	State	North Carolina	Non-Hispanic White	2017	Number	326.0
49	State	North Carolina	Non-Hispanic White	2017	Rate	5.0
50	State	North Carolina	Non-Hispanic African American	2017	Number	361.0
51	State	North Carolina	Non-Hispanic African American	2017	Rate	12.5
52	State	North Carolina	Non-Hispanic American Indian	2017	Number	20.0
53	State	North Carolina	Non-Hispanic American Indian	2017	Rate	12.6
54	State	North Carolina	Other Non-Hispanic	2017	Number	39.0
55	State	North Carolina	Other Non-Hispanic	2017	Rate	6.7
56	State	North Carolina	Hispanic	2017	Number	106.0
57	State	North Carolina	Hispanic	2017	Rate	5.7
58	State	North Carolina	Total	2017	Number	852.0
59	State	North Carolina	Total	2017	Rate	7.1
60	County	Alamance	Non-Hispanic White	2013	Number	9.0
61	County	Alamance	Non-Hispanic African American	2013	Number	7.0
62	County	Alamance	Non-Hispanic American Indian	2013	Number	0.0
63	County	Alamance	Other Non-Hispanic	2013	Number	1.0
64	County	Alamance	Hispanic	2013	Number	1.0
65	County	Alamance	Total	2013	Number	18.0
66	County	Alamance	Non-Hispanic White	2013	Rate	9.0
