County	Laboratory-Confirmed Cases	Deaths
Alamance County	73	0
Alexander County	3	0
Alleghany County	2	0
Anson County	11	0
Ashe County	4	0
Beaufort County	13	0
Bertie County	15	1
Bladen County	1	0
Brunswick County	35	1
Buncombe County	37	3
Burke County	59	3
Cabarrus County	190	3
Caldwell County	19	0
Carteret County	22	1
Caswell County	3	0
Catawba County	35	1
Chatham County	75	0
Cherokee County	12	1
Chowan County	4	0
Clay County	3	0
Cleveland County	39	0
Columbus County	37	1
Craven County	29	1
Cumberland County	86	1
Currituck County	3	0
Dare County	12	1
Davidson County	86	2
Davie County	22	2
Duplin County	19	0
Durham County	297	2
Edgecombe County	31	1
Forsyth County	121	4
Franklin County	66	2
Gaston County	86	3
Gates County	4	0
Granville County	97	4
Greene County	13	0
Guilford County	137	10
Halifax County	25	0
Harnett County	49	2
Haywood County	3	0
Henderson County	97	3
Hertford County	4	1
Hoke County	20	0
Iredell County	71	2
Jackson County	2	0
Johnston County	104	8
Jones County	7	1
Lee County	14	0
Lenoir County	14	0
Lincoln County	15	0
Macon County	2	1
Martin County	7	0
McDowell County	18	0
Mecklenburg County	993	14
Mitchell County	4	0
Montgomery County	14	1
Moore County	66	0
Nash County	39	1
New Hanover County	55	1
Northampton County	63	0
Onslow County	29	1
Orange County	155	2
Pamlico County	6	0
Pasquotank County	15	0
Pender County	5	0
Perquimans County	8	0
Person County	11	0
Pitt County	68	1
Polk County	9	0
Randolph County	55	2
Richmond County	12	1
Robeson County	10	0
Rockingham County	16	2
Rowan County	201	3
Rutherford County	43	1
Sampson County	13	0
Scotland County	9	0
Stanly County	17	1
Stokes County	9	0
Surry County	10	0
Transylvania County	6	0
Tyrrell County	2	0
Union County	110	3
Vance County	21	0
Wake County	501	0
Warren County	3	0
Washington County	18	2
Watauga County	8	0
Wayne County	78	2
Wilkes County	4	1
Wilson County	74	3
Yadkin County	11	0
