GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code	Population (2017)
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-03	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-04	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-05	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-06	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-07	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-08	1.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-09	6.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-10	6.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-11	7.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-12	8.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	9.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	11.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	14.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	15.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	17.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	17.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	25.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	25.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	49.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	49.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	52.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-24	54.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-25	73.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-26	83.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-27	121.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-28	124.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-29	146.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-30	166.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-31	192.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-01	195.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-02	234.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-03	258.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-04	283.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-05	304.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-06	314.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-07	336.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-08	363.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-09	371.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-10	391.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-11	424.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-12	470.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-13	476.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-14	501.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-15	510.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-16	552.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-17	566.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-18	579.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-19	592.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-20	599.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-21	611.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-22	616.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-23	626.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-24	633.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-25	645.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-26	663.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-27	671.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-28	769.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-29	788.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-04-30	821.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-01	839.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-02	870.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-03	874.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-04	891.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-05	919.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-06	937.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-07	961.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-08	986.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-09	1013.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-10	1030.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-11	1048.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-12	1061.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-13	1080.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-14	1107.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-15	1143.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-16	1176.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-17	1212.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-18	1239.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-19	1272.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-20	1307.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-21	1345.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-22	1389.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-23	1434.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-24	1448.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-25	1471.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-26	1478.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-27	1523.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-28	1604.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-29	1661.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-30	1713.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-05-31	1747.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-01	1773.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-02	1878.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-03	1901.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-04	2051.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-05	2133.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-06	2186.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-07	2255.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-08	2325.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-09	2440.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-10	2541.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-11	2723.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-12	2783.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-13	2984.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-14	3021.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-15	3111.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-16	3235.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-17	3373.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-18	3507.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-19	3579.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-20	3833.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-21	3884.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-22	4086.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-23	4211.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-24	4333.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-25	4469.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-26	4668.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-27	4797.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-28	4838.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-29	5001.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-06-30	5178.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-01	5379.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-02	5590.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-03	5771.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-04	5810.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-05	5980.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-06	6265.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-07	6416.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-08	6605.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-09	6826.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-10	7065.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-11	7294.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-12	7490.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-13	7682.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-14	7901.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-15	8096.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-16	8273.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-17	8421.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-18	8668.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-19	8800.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-20	8974.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-21	9143.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-22	9313.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-23	9521.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-24	9714.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-25	9914.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-26	9991.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-27	10240.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-28	10377.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-29	10558.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-07-30	10767.0	Count	1071706.0000000002
