GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code	Population (2017)
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-03	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-04	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-05	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-06	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-07	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-08	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-09	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-10	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-11	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-12	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-13	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-14	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-15	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-16	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-17	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-18	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-19	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-20	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-21	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-22	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-23	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-24	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-25	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-26	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-27	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-28	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-29	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-30	0.0	Count	1071706.0000000002
37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-31	0.0	Count	1071706.0000000002
