,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,174113335,176206894,183376885,197980982,211519107,229570540,245339716,257505459,243168101,243762027,247464422,267072169,266760383,280636099,293911001,303689403,317893541,333559983
1," ""37001""","Alamance, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,2499258,2507296,2508832,2634741,2710633,2859782,2949739,2992735,2752500,2848719,2943304,3135913,3149496,3229382,3289801,3455164,3559782,3724045
2," ""37003""","Alexander, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,394776,381965,404837,442309,460969,473341,479569,445802,417610,434906,418020,446351,484420,530958,540240,517810,558359,561647
3," ""37005""","Alleghany, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,156841,151370,147306,155722,165027,162402,160477,158644,155939,158269,157927,157440,160344,172068,178367,177946,184736,184743
4," ""37007""","Anson, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,357842,329710,327959,359282,367375,384367,390938,384470,360279,391011,383377,402587,404118,433033,438131,411471,427007,434615
5," ""37009""","Ashe, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,331420,337910,341747,358034,368069,394531,402216,404241,395624,405333,384256,407172,400779,415075,418707,432746,449803,455492
6," ""37011""","Avery, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,259635,261086,269244,278391,302370,304872,330568,315277,309324,308194,307497,318122,312589,326775,331918,340295,350558,361457
7," ""37013""","Beaufort, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,671059,654944,676983,721512,773247,803763,831745,845097,831147,853025,874606,924285,909371,897611,893580,908380,915762,923334
8," ""37015""","Bertie, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,237775,225963,230139,240737,255249,261064,282997,295938,309992,306451,274403,297614,292916,303133,301572,286318,294957,287082
9," ""37017""","Bladen, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,481354,449438,489490,528792,542440,543775,574566,604522,622268,665407,642649,656691,682337,701589,712385,714149,754038,733762
10," ""37019""","Brunswick, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1005071,968023,1075834,1289035,1450487,1568076,1570878,1531658,1442697,1493071,1466037,1537842,1630661,1761210,1856216,1951548,2085419,2170901
11," ""37021""","Buncombe, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,4420549,4467514,4677750,4978632,5279455,5717538,5998090,6090314,5815195,5931959,6058405,6451367,6665801,7185478,7641880,8044207,8365639,8829330
12," ""37023""","Burke, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1393296,1401083,1403001,1485439,1499277,1534594,1531213,1538025,1384691,1422811,1421225,1499422,1514116,1552792,1584231,1591239,1624693,1665849
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,2493187,2625035,2646855,2827857,3049450,3298684,3523906,3553809,3328447,3315835,3345956,3516975,3665515,3858717,4135069,4499202,4848137,4804943
14," ""37027""","Caldwell, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1258466,1260970,1260815,1305444,1283673,1288497,1265144,1232559,1166406,1168329,1158580,1170784,1161641,1186424,1250727,1312165,1417583,1564534
15," ""37029""","Camden, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,59916,63456,67799,77234,95956,115285,121338,121497,124190,129861,115727,110621,97748,88258,97466,91103,87457,86395
16," ""37031""","Carteret, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,771171,799713,848805,910561,970585,1047391,1059275,1080832,1048350,1087663,1060712,1109444,1126957,1168773,1212151,1265011,1324719,1380710
17," ""37033""","Caswell, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,148249,144861,146746,152331,148366,154414,160247,172030,174703,181049,171657,180024,191727,206015,207255,197927,212357,211653
18," ""37035""","Catawba, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,3874840,3757206,3679859,3871717,4026485,4345249,4448046,4412732,4033939,4184504,4268691,4425756,4495049,4735917,5012069,5127690,5444160,5650851
19," ""37037""","Chatham, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,700442,673938,702910,773782,814086,877440,891651,861901,813783,855941,802655,846645,854978,867004,882439,907241,958556,977604
20," ""37039""","Cherokee, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,338802,337039,330362,333606,363597,383180,384031,388311,368770,377502,372035,380880,379203,397977,417323,414943,432954,447575
21," ""37041""","Chowan, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,221867,212303,224530,242351,267152,270872,259607,242814,236599,228905,236645,250916,244643,238227,243008,242887,260279,271909
22," ""37043""","Clay, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,75680,80488,84298,93353,99777,107628,104811,96156,83502,89875,84356,86819,90296,96764,97894,98198,100229,106600
23," ""37045""","Cleveland, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1388990,1385547,1423869,1508545,1591096,1630661,1684545,1661833,1533673,1590459,1638231,1735184,1747021,1827482,1870227,1949120,2037066,2119891
24," ""37047""","Columbus, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,698989,665184,679472,710455,765819,769636,778958,820443,773563,811258,793271,829615,859533,817794,785033,808792,814328,819155
25," ""37049""","Craven, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1975501,1973235,2142855,2330584,2499431,2606481,2763153,2824257,2847410,2941518,2960054,3055169,2980975,3042658,3110856,3139267,3077030,3188482
26," ""37051""","Cumberland, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,6236707,6794184,7394073,7900830,8716692,9287250,9958296,10722550,11140973,11748274,12078794,12150812,11861752,11731232,11893968,11784814,12108531,12510271
27," ""37053""","Currituck, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,165489,183472,213303,238157,261513,267527,274611,264270,259318,279856,322261,333042,345985,362079,380697,362726,383662,420168
28," ""37055""","Dare, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,724604,791957,869574,944559,935857,940293,913339,886616,835845,857716,855146,952475,995575,1034322,1075962,1089334,1125587,1163511
29," ""37057""","Davidson, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,1921172,1936094,1953194,2004742,2062575,2149402,2149292,2093639,1979744,2128727,2140875,2252677,2292848,2417750,2506018,2598549,2720577,2822200
30," ""37059""","Davie, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,416604,417779,424517,455549,474571,519678,538801,533129,474330,482780,481772,503016,529487,581773,629818,666191,713498,739255
31," ""37061""","Duplin, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,769144,702611,714165,785016,818811,821758,906066,1024990,1000310,1115273,1074621,1142345,1200778,1231526,1166189,1117876,1177428,1115228
32," ""37063""","Durham, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,10561237,10467969,10689979,11555690,12014188,13053241,14269664,14763963,14864617,15621665,15200334,16085970,16445314,17698448,17871538,18188141,18989172,20135250
33," ""37065""","Edgecombe, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,974666,941465,968232,1022470,1035061,1025449,1005478,995838,990791,985997,961788,965317,857132,834585,826071,842474,854735,859630
34," ""37067""","Forsyth, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,8813356,8941386,9286786,9843416,10195934,10740303,11079849,11417111,10966007,11490161,11176485,11731380,11634248,12593233,13088196,13150221,13902115,14151651
35," ""37069""","Franklin, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,461108,452376,469283,524538,568230,620777,668070,657082,644565,653439,646568,670109,680745,740168,759067,770643,826864,881483
36," ""37071""","Gaston, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,2908869,2945223,2978644,3177095,3227330,3346087,3431689,3546214,3473183,3978701,3404338,3599575,3728787,3903917,4075233,4108228,4307079,4612791
37," ""37073""","Gates, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,78867,74218,83221,85167,95545,94662,89149,81832,83834,83053,80871,86205,80797,71634,70636,72454,80738,76494
38," ""37075""","Graham, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,94430,95721,96150,92474,99463,107885,116640,118280,109237,109542,110747,110609,113991,113967,119878,108357,119690,127289
39," ""37077""","Granville, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,843138,878780,898694,916097,952450,1033872,1097277,1135338,1109602,1129364,1162226,1226337,1233088,1257837,1293815,1353572,1430751,1435984
40," ""37079""","Greene, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,175930,149572,155925,169773,173733,188153,205836,224810,230141,242329,239248,251765,279993,285790,270000,267197,297536,283415
41," ""37081""","Guilford, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,12675824,12742298,13046019,13610426,14276937,15256916,15789156,16123666,15105475,15373035,15744039,16654870,17118560,17929121,18882043,18948645,19699019,20250154
42," ""37083""","Halifax, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,671965,659446,687159,723659,760424,795964,799238,788946,757345,784037,802605,813631,809179,774795,762332,765728,787608,796463
43," ""37085""","Harnett, NC",5.0,CAINC5N,35.0,...,Earnings by place of work,Thousands of dollars,876484,869373,897892,1019614,1109598,1173092,1172611,1194347,1137104,1161048,1107137,1187977,1217895,1295452,1325664,1381470,1462426,1512513
