,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36764,38969,38201,40069,41839,42816,44409,46216,47766
1," ""37001""","Alamance, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,26970,27051,27751,27975,28741,30806,32225,32881,31530,32004,33093,34309,34215,35661,36870,37576,38508,39940,41193
2," ""37003""","Alexander, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24737,23958,24043,25758,26427,27245,28055,27539,27052,27629,28267,29581,29852,31596,33565,33754,35789,36749,37622
3," ""37005""","Alleghany, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24890,24801,24749,25714,26689,26246,27182,28005,28471,28799,29996,31007,30856,32784,34628,35281,35932,36962,38514
4," ""37007""","Anson, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22880,21593,21782,23106,23841,25181,26636,26570,25727,26750,27183,28352,28583,30689,32528,32379,34547,35468,36307
5," ""37009""","Ashe, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,23764,23495,23551,24372,24875,26217,27424,28325,28697,28968,29591,31227,30779,31182,31611,32612,33543,34779,36426
6," ""37011""","Avery, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22756,22480,22720,23172,24187,24021,26224,26052,26974,27193,28087,29501,29276,30936,31943,32756,34312,35565,36748
7," ""37013""","Beaufort, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24036,24225,25635,26679,28237,29796,31883,32751,32525,33329,34340,36701,36976,37829,38382,39297,40610,41706,43743
8," ""37015""","Bertie, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22048,21604,22233,23227,24547,25469,26299,27148,27959,27873,27793,30256,30652,32152,32611,33231,35639,35603,37424
9," ""37017""","Bladen, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,22997,21866,22864,24114,24678,24710,25991,27630,28055,29150,29475,30094,31282,32491,32891,32963,34809,34887,36312
10," ""37019""","Brunswick, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24402,23975,25240,28497,30611,31940,32759,33028,31985,31969,32853,34070,34644,36409,38248,40309,41616,43250,44129
11," ""37021""","Buncombe, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27980,28088,28258,30032,31302,33810,35329,35759,34127,34602,36036,38205,37973,40604,43006,44478,46297,48936,50690
12," ""37023""","Burke, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,23520,23495,23499,24505,25373,25976,26796,27117,26733,27393,27783,28940,28927,30227,31665,32394,33844,34919,36212
13," ""37025""","Cabarrus, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,29007,29139,29117,30307,31616,33427,34690,35241,33528,34532,35971,37124,37466,39134,41232,42752,43836,45202,46615
14," ""37027""","Caldwell, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,24907,24691,24614,25804,26137,26612,27061,27337,26834,27063,27910,29213,28848,30078,31885,32562,34210,35383,36609
15," ""37029""","Camden, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27594,27411,28096,29138,32309,33416,36487,37102,36883,37739,39552,41030,40783,41033,42251,43180,43696,44997,46366
16," ""37031""","Carteret, NC",5.0,CAINC5N,30.0,...,Per capita personal income (dollars),Dollars,27686,27893,29322,31067,32737,34721,37164,38554,38775,39701,40435,41724,41068,42958,44957,46895,47385,49435,51582
