,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,4447089,4581414,4833564,5217617,5463139,5821376,6291739,6455292,6289415,6473182,6714190,7331675,7613689,8171994,8782199,9329675,9822936,10297451,10892179
1," ""37001""","Alamance, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,63768,68667,72758,79107,83272,90122,97727,101754,101445,107016,112093,119392,121194,123417,129978,139285,146220,157409,161043
2," ""37003""","Alexander, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,6669,6946,8109,9160,9029,9046,8875,8564,7766,7379,7460,7765,7776,8078,9467,9942,10485,10905,11134
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,2349,2432,3136,2928,3869,4099,4487,3571,3910,4076,3381,3322,3331,3361,3470,3453,3994,3559,3971
4," ""37007""","Anson, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),4492,4782,5317,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5," ""37009""","Ashe, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,6698,6688,(D),(D),7730,(D),9131,9356,9273,9777,9823,9426,9748,10934,11580,12072,12828,14903,15843
6," ""37011""","Avery, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,12622,12978,15470,16796,17128,18575,19001,20255,20760,21672,16986,18643,18141,19010,19290,20258,21334,22796,23384
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,14009,14657,15175,16359,18358,18917,18575,18671,18840,20477,20870,20533,20108,21066,23947,23570,25391,27234,29107
8," ""37015""","Bertie, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,1826,1836,1837,1826,1587,1920,(D),(D),(D),(D),2767,(D),(D),2539,2131,2189,2301,2781,3453
9," ""37017""","Bladen, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,6560,6574,(D),7884,(D),(D),(D),(D),(D),8586,8547,8980,8575,(D),10314,9779,10884,11065,11965
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,30935,32983,35978,49188,49624,55783,60306,59904,58198,61354,64327,70957,77248,83138,89871,98974,105265,111711,120311
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,180317,193207,204262,220541,234152,255777,292643,292854,280744,289828,302317,337315,369224,400978,438814,473353,515321,517678,558159
12," ""37023""","Burke, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,29273,29492,29681,31527,29891,31143,31769,31719,30218,30508,31035,33315,35321,41020,46088,48971,51531,57032,58062
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,69842,74306,80559,91195,102996,110954,128117,132885,127989,128574,131517,155111,168402,174727,189284,204719,221270,238644,248243
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,18736,18994,18790,20621,20467,21234,22035,23552,23720,24195,25500,28172,28501,29305,32462,33284,35097,35363,36296
