,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,5265782,5544020,5805918,6255576,6782867,7469222,8088686,8408327,7821087,8576004,9321271,10260824,10517238,11456931,11790063,12303323,13011102,13472851,14275651
1," ""37001""","Alamance, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,86924,93378,81163,85358,86121,99556,103910,104991,89505,99111,114291,114178,118452,128862,133304,124962,127598,128613,132244
2," ""37003""","Alexander, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),2793,4522,7832,8755,8150,5440,5878,(D),(D),(D),(D),10676,10289,10465,13986,15950
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,741,651,524,365,483,750,1061,865,(D),1150,(D),(D),4250,4385,4917,(D),(D),(D),(D)
4," ""37007""","Anson, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3190,(D),4608,6459,5920,7258,7544,7542,9369,10211,11425,10455,10594,15793,12399,11879,10489,11035,10737
5," ""37009""","Ashe, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),(D),3060,3171,(D),(D),(D),2111,2456,2481,2728,4259,5033,4954,5284,6935,7170
6," ""37011""","Avery, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3591,5222,5199,5586,3589,4007,5421,6850,4336,3919,5233,7497,12958,15901,21146,22234,25233,27212,16778
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,9271,8818,11876,17373,18094,24902,23854,25918,23697,30584,44175,39730,41416,46047,51018,56328,58971,71575,50085
8," ""37015""","Bertie, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,2164,(D),(D),2535,2252,2667,2716,3121,3303,8335,9315,8754,9955,15106,15725,14230,10323,9887,10982
9," ""37017""","Bladen, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,9083,21515,27986,22710,16300,14555,15935,16622,17443,11441,11700,4867,6285,8069,18327,18431,20408,25247,31044
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),14137,17445,23275,20977,34937,38979,50806,50097,51310,45761,51756,51418,56036,54816,58906,78542,83459,83399
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,116011,133401,150449,152153,171587,196202,221863,219252,196906,214284,232020,228369,244286,269915,306506,311629,301569,314352,333079
12," ""37023""","Burke, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,15083,23249,28104,26408,30022,31877,29759,26828,21201,21792,24339,29903,37327,35655,34089,32947,35736,26684,46175
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,65510,68789,88589,108558,122003,105034,123453,135310,139436,145989,174082,217465,284590,284927,296417,280743,382810,165860,182286
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,14053,16099,14369,17093,17595,17440,20309,21297,19185,31009,25509,25360,24009,23919,27668,31676,35381,44036,39913
15," ""37029""","Camden, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1522,1754,1907,1450,1850,2341,(D),(D),19595,31053,23872,15416,2858,2047,9489,8602,2071,1921,2503
