,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,39318,40256,41827,43679,45384,47223,48995,50224,50878,52495,53289,54781,55341,57120,58621,59236,60862,62997
1," ""37001""","Alamance, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,35068,36124,36987,38588,39672,41748,42034,43457,42360,43594,43965,45237,45860,46596,47371,48870,50339,51594
2," ""37003""","Alexander, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,29934,31100,32276,33839,34212,35054,36496,37181,37033,38060,38011,38388,38993,40969,41168,42345,43695,44589
3," ""37005""","Alleghany, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,27227,28780,28528,28978,30534,30948,31840,32776,31884,32454,33608,33770,35084,36453,36064,36386,38075,39536
4," ""37007""","Anson, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,32066,32616,33388,35148,36533,37746,39343,39855,39427,41343,41155,41511,41472,42668,43207,43847,44881,46574
5," ""37009""","Ashe, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,28417,29720,30151,31395,33120,34466,36265,37089,37178,38157,38209,39768,40171,41609,41560,42522,44166,44964
6," ""37011""","Avery, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,25630,26911,27975,29185,30308,31595,33160,33825,34368,34928,35326,36530,36619,37580,38972,39787,40800,42358
7," ""37013""","Beaufort, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,32032,33028,34359,35972,36679,37697,38808,40489,41965,42990,43374,44551,44797,46346,47018,47239,48557,49994
8," ""37015""","Bertie, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,26340,28604,29228,30306,30618,31769,33516,35218,36082,37041,36813,38539,38479,40237,40384,41367,42664,43462
9," ""37017""","Bladen, NC",5.0,CAINC6N,9.0,...,Average compensation per job (dollars) ,Dollars,28605,28875,30185,31371,32959,34237,35829,36490,38796,39857,39969,41363,42290,43240,43268,44120,45243,46137
