,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," ""37000""",North Carolina,5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,160371299,162957779,168340289,178493489,188859252,201920367,214653542,219438233,211454924,216515016,222527671,232370554,237874021,250729957,263210296,272900507,285333346,300742037,315843470
1," ""37001""","Alamance, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,2310210,2315325,2313119,2426166,2484639,2613442,2709389,2758055,2523980,2565999,2659703,2793138,2819957,2893806,2956855,3145922,3280448,3417649,3617492
2," ""37003""","Alexander, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,327204,325988,337834,365764,370275,384897,398313,391923,350735,352779,354758,363615,370626,387768,394279,405781,430696,440618,458755
3," ""37005""","Alleghany, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,111551,109968,105783,114520,122687,127721,126947,124647,118544,119107,119979,118363,124828,130647,133013,135223,137895,141756,149176
4," ""37007""","Anson, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,281028,284216,286804,308252,319042,325520,339295,347100,317662,328183,331008,334452,330119,346553,346396,344283,343741,354048,372500
5," ""37009""","Ashe, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,253221,267869,271630,285410,297748,312021,328927,331425,311850,312274,302884,314407,314136,319974,319598,339434,358724,371749,388252
6," ""37011""","Avery, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,192863,198928,211098,223790,235823,250074,270086,267589,257007,251380,250993,257789,262372,277227,284230,296066,308367,320078,325603
7," ""37013""","Beaufort, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,577088,584998,600767,637642,662173,698605,731693,739970,728225,733670,760296,758660,744116,767625,786945,811465,820681,837231,843279
8," ""37015""","Bertie, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,198206,204633,202755,213656,225927,238550,251136,260861,269208,264398,254859,256672,255382,273932,278795,276905,277241,275435,286338
9," ""37017""","Bladen, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,414969,429893,448424,458264,471216,491472,519515,516846,528864,535038,527631,545043,546940,569724,606418,622629,638370,657458,676878
10," ""37019""","Brunswick, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,847430,804940,882394,989475,1060354,1158045,1243506,1296667,1276961,1298955,1288721,1347205,1408089,1486097,1555137,1619473,1714564,1801832,1905370
11," ""37021""","Buncombe, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,3955623,3980891,4174250,4421543,4683573,5018619,5341448,5475232,5312666,5399163,5489034,5767471,5942799,6304280,6706535,7029996,7347322,7780684,8217410
12," ""37023""","Burke, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,1260208,1265180,1269525,1352545,1368804,1403158,1409918,1412529,1262465,1272054,1294165,1352253,1375220,1410490,1441117,1455888,1490305,1523019,1590140
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,2343281,2470539,2484110,2617102,2831573,3038086,3243810,3245480,3029736,2940682,2894711,3069226,3231454,3399476,3640667,4020077,4333524,4315937,4525847
14," ""37027""","Caldwell, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,1130027,1131073,1126011,1154686,1133457,1133850,1131313,1117849,1055893,1049085,1043107,1036069,1039639,1062840,1127459,1197308,1302439,1386996,1426645
15," ""37029""","Camden, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,44873,49166,52576,62589,72398,95441,102587,103212,105077,110781,92020,82693,72402,69447,78896,73563,69190,67466,70028
16," ""37031""","Carteret, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,648737,669066,713245,759995,804768,857375,892623,921766,899039,898325,885118,928431,945511,987741,1024638,1061967,1125782,1174678,1241794
17," ""37033""","Caswell, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,115006,113231,114104,117556,120656,126541,134037,137928,138164,139874,139579,134587,135872,137731,143361,142684,150538,158366,166219
18," ""37035""","Catawba, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,3601515,3469337,3396502,3577926,3690933,3950295,4059406,4000124,3642690,3730854,3875884,3964091,4030280,4237457,4534022,4689479,4986581,5182956,5339982
19," ""37037""","Chatham, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,545451,555456,574036,626453,648389,691444,700449,694898,643804,650325,643082,635776,654742,678084,689985,719031,760821,789270,828276
20," ""37039""","Cherokee, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,270492,266912,264751,279750,303121,315066,320260,328251,315488,317998,315933,322391,319124,329931,345803,353085,372970,387439,394622
21," ""37041""","Chowan, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,178154,179590,193261,206368,214774,226097,228030,220438,210466,205198,204890,210621,211295,220876,223437,221848,229901,240744,248089
22," ""37043""","Clay, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,52008,54966,57589,63424,68782,74754,81058,77905,71238,73151,72460,75923,76774,81646,82320,83867,84286,91663,97172
23," ""37045""","Cleveland, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,1277473,1274020,1316588,1382297,1445935,1489208,1541912,1538385,1408238,1415424,1498352,1558220,1578392,1651640,1693394,1794774,1868005,1945600,2036524
24," ""37047""","Columbus, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,594045,599919,612027,639061,660930,674639,697895,712540,691798,705210,695050,713936,743073,732959,728912,751658,741093,767972,795205
25," ""37049""","Craven, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,1848434,1862098,2021173,2189208,2327040,2426914,2606328,2651550,2691483,2762116,2776523,2856073,2805616,2884740,2952090,2983981,2921167,3038474,3208152
26," ""37051""","Cumberland, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,5952334,6511782,7114724,7560705,8356648,8851289,9566382,10295284,10712810,11186998,11538447,11528534,11276894,11188439,11422471,11396691,11747240,12143891,12543500
27," ""37053""","Currituck, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,124343,141601,161874,175503,186065,200046,224753,225085,221680,229318,260584,263667,282361,302259,320340,303335,323631,359461,368858
28," ""37055""","Dare, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,520447,575973,630600,679212,709327,735357,756024,753526,718054,713497,712275,753941,776974,801479,844446,858609,884241,916270,965236
29," ""37057""","Davidson, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,1678826,1678680,1696489,1751019,1791148,1854355,1861838,1833300,1732300,1829228,1857594,1930710,1983309,2078820,2181039,2285175,2401263,2486908,2578684
30," ""37059""","Davie, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,363389,364708,368356,385184,398766,432055,455065,447238,406548,406864,411543,420072,451628,493655,542246,578261,623540,647383,689899
31," ""37061""","Duplin, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,556913,580455,588122,617052,614870,634901,689469,759976,743416,764388,781123,809284,824264,862718,866043,892967,886663,910671,941270
32," ""37063""","Durham, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,10155745,10012768,10220330,10955896,11358660,12430455,13719739,14197221,14191481,14540251,14140170,14892460,15356298,16547244,16633975,16912957,17680568,18889811,20195857
33," ""37065""","Edgecombe, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,881906,884129,901717,945748,945112,958240,963011,945806,927411,908319,883680,886646,814907,804130,804816,824724,832871,850493,860497
34," ""37067""","Forsyth, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,8063279,8140911,8437840,8857491,9159343,9572891,9995966,10216281,9841710,9990505,10203384,10655369,10599403,11474033,11904348,11924305,12594022,12789835,13462128
35," ""37069""","Franklin, NC",5.0,CAINC6N,1.0,...,Compensation of employees (thousands of dollars) ,Thousands of dollars,371656,383897,404119,439485,487397,533112,585582,565776,562512,572250,557381,558036,568905,618334,639506,658801,704782,754106,760246
