,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,18671663,19657908,21121291,22878918,24855985,26226984,27582351,28075819,28774662,29762841,28598403,30721367,30617687,33329846,34054582,33680781,34168208,36123442
1," ""37001""","Alamance, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,264840,276086,289658,307441,319914,331561,345129,346089,338020,345739,326037,362786,349463,380568,372446,372727,375663,397850
2," ""37003""","Alexander, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,37656,39553,42327,48283,51337,53116,56219,56150,53603,53500,50495,54501,54250,57783,59541,56822,59354,61972
3," ""37005""","Alleghany, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,14797,15004,15346,17315,19320,20037,19405,18958,19327,20210,18576,19735,19619,21453,21386,21212,21073,21941
4," ""37007""","Anson, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,38354,39274,41714,47720,50773,51940,54332,55617,53440,55701,52785,55855,55272,59183,58941,55573,54036,55854
5," ""37009""","Ashe, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,35355,38579,41443,44916,48003,49524,51002,49710,50305,50885,44764,47255,45215,47642,47022,46943,47469,49272
6," ""37011""","Avery, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,23876,25569,27677,31222,33804,35554,37459,36773,38501,38884,35973,38358,38410,41815,41813,41599,41313,42359
7," ""37013""","Beaufort, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,77490,80856,86080,95403,101082,105731,109799,110139,114208,116422,111216,114699,108502,116117,116179,113885,113835,116516
8," ""37015""","Bertie, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,26855,27917,29504,33589,36154,39242,40215,40155,44416,44942,39669,42907,42127,48659,46663,44255,43071,43474
9," ""37017""","Bladen, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,53392,56825,62509,67978,71179,74791,78483,75762,81530,85744,75669,84683,83038,94551,92028,89030,87876,91979
10," ""37019""","Brunswick, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,112509,110665,119280,135656,148492,162448,170773,178432,185893,192060,180587,189827,196607,217636,222974,226414,228366,240565
11," ""37021""","Buncombe, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,469052,481247,522197,570388,616947,653405,681144,694188,731342,756702,715583,779859,777098,853304,877111,872925,889862,948265
12," ""37023""","Burke, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,164409,167798,175090,194984,205524,212655,215320,215512,203800,208994,194305,211050,210344,220946,222525,214775,214979,222068
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,275546,299667,319352,342848,376112,403210,429402,420224,418169,408420,370932,405327,415387,455414,473702,501872,518934,533407
14," ""37027""","Caldwell, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,133953,140340,143700,149624,154757,156002,158923,156184,154820,155188,143576,149646,145709,156810,161319,160354,169831,184185
15," ""37029""","Camden, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,5980,6577,7125,9251,9911,11941,12833,12080,13174,12825,10774,10815,10062,10370,11134,10372,10150,10080
16," ""37031""","Carteret, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,85250,89617,97725,108428,118294,124099,127461,128996,132976,135918,126126,135739,136642,147628,150835,148616,151035,158375
17," ""37033""","Caswell, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,17394,17324,17980,19449,20896,21554,23184,23576,24189,25046,23492,23740,23919,24479,25145,24444,24541,25004
18," ""37035""","Catawba, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,426994,424594,429990,460651,490896,516533,532716,523178,506884,517187,491532,527936,518550,570574,591341,581674,610357,642857
19," ""37037""","Chatham, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,66013,70138,75961,84079,90982,95427,95426,94996,92242,94049,85844,89224,89049,95855,94116,91561,94332,99234
20," ""37039""","Cherokee, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,35042,35745,37561,41533,46122,45440,46165,46738,47714,48843,45157,47705,46672,50266,51545,50188,51205,53593
21," ""37041""","Chowan, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,22693,23558,26576,30082,31447,32662,32786,30758,30480,30642,27700,29966,29074,32117,31747,30721,31368,33751
22," ""37043""","Clay, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,6918,7401,8153,9349,10480,11041,12106,11698,11511,12124,11141,12088,12063,13042,13140,13027,12576,13457
23," ""37045""","Cleveland, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,159947,166363,176791,191718,206946,208638,215931,213430,210417,214635,208546,227159,221831,240349,242116,243967,246353,258901
24," ""37047""","Columbus, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,75915,78783,85593,92729,98426,100579,102853,105491,108048,112061,103968,110726,112361,113324,110667,108955,106173,110541
25," ""37049""","Craven, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,277405,282030,329248,368940,400607,412428,438081,448828,475773,503511,498352,516069,498395,513640,526062,524312,502950,531640
26," ""37051""","Cumberland, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,865347,976456,1214491,1303411,1489809,1568126,1688018,1817760,1943482,2109885,2160229,2197266,2094674,2087732,2124004,2071228,2088315,2200158
27," ""37053""","Currituck, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,15949,18572,20773,23281,25323,26418,28646,28707,30025,31478,31945,35183,35982,40376,42192,38185,39064,42760
28," ""37055""","Dare, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,60396,68362,74533,84379,91196,92002,95519,94655,97360,97718,89486,98177,99185,106915,111768,106748,105642,110061
29," ""37057""","Davidson, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,207018,214083,225715,237158,249404,255683,256277,252242,248877,262551,247149,268275,265278,289041,292971,289128,294655,308916
30," ""37059""","Davie, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,40945,42642,44788,48431,52276,55012,59235,57409,57316,58338,54322,57692,58948,66119,71647,71461,75873,79590
31," ""37061""","Duplin, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,69675,75011,82397,91309,92223,96371,102079,111702,115950,121844,111378,122392,124876,140238,132348,128113,123400,127942
32," ""37063""","Durham, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,991644,1053043,1097133,1186171,1238911,1345920,1428521,1471935,1568858,1611047,1473192,1625763,1622304,1865033,1858560,1830066,1854831,1971628
33," ""37065""","Edgecombe, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,109776,114986,122369,133925,138280,140445,141583,137363,145047,145363,131972,134067,128954,130943,128299,125489,124373,128089
34," ""37067""","Forsyth, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,866727,906533,964929,1040544,1109032,1167212,1193083,1204848,1238589,1266944,1171150,1273746,1230377,1380657,1378886,1343417,1368180,1417419
35," ""37069""","Franklin, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,47596,50446,54389,61847,69790,75473,82360,80124,83468,86566,79333,82292,81226,90490,93156,91327,94027,100049
36," ""37071""","Gaston, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,312476,326288,344033,374832,393362,405044,415594,419509,405265,417083,391334,423389,430469,478243,487466,470019,480149,522391
37," ""37073""","Gates, NC",5.0,CAINC6N,7.0,...,  Employer contributions for employee pension and insurance funds ,Thousands of dollars,7885,8053,8381,9413,9903,10389,10561,10734,10947,10636,9861,10344,10120,10828,11210,10975,11013,11600
