,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16546762,16690536,17005480,17144355
1," ""37001""","Alamance, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,144593,139558,146052,150190,158131,164427,169812,172862,158366,157617,168541,177370,181398,186341,190345,196676,197761,198496
2," ""37003""","Alexander, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,21517,20628,22697,23636,24554,25543,26207,26034,22522,22474,23673,24173,24514,25656,25774,25409,26229,25294
3," ""37005""","Alleghany, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,6907,6627,6550,6910,7668,8030,8125,7868,7475,7352,7755,7619,8174,8634,8636,8312,8419,8289
4," ""37007""","Anson, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,17345,16804,17468,18381,19546,19446,20178,20685,19015,19230,20186,20095,20090,21199,20969,20133,19704,19639
5," ""37009""","Ashe, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,15112,15711,16584,17102,18912,19689,20905,20836,19429,19264,19162,19875,19928,20717,20644,21250,21814,21776
6," ""37011""","Avery, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,11790,12022,13343,13794,15365,16223,17723,17490,16536,15862,16350,16898,17418,18632,18986,18947,19295,19284
7," ""37013""","Beaufort, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,34558,34528,36877,38141,40649,42442,44555,45394,44504,44192,46725,46353,45805,47520,48751,49156,48711,47153
8," ""37015""","Bertie, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,11742,11924,12193,12468,13344,14294,15316,15906,16976,16351,16180,15302,15490,16772,17020,16152,15924,15127
9," ""37017""","Bladen, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,24946,25397,27469,27366,28970,29996,32074,32078,33709,33885,34433,32772,33264,34643,37662,36940,37324,36393
10," ""37019""","Brunswick, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,50729,47887,54610,60251,65717,72058,76994,80085,79076,79696,80792,84495,88781,94464,99968,100215,103923,104228
11," ""37021""","Buncombe, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,241567,240873,263392,273612,294006,314139,335839,342727,330773,329713,347630,364854,377195,402167,429219,438758,445514,454086
12," ""37023""","Burke, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,77830,75795,79578,82759,87278,87274,87409,87640,78038,77774,82835,85383,87322,89964,91817,89570,88887,86536
13," ""37025""","Cabarrus, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,141847,145287,151933,156341,170978,182525,195487,195949,184149,176539,180586,190678,203007,212474,225536,241387,253362,239833
14," ""37027""","Caldwell, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,72006,68970,72626,72696,74504,73718,73413,73361,68057,66735,68551,67431,68261,68457,71853,73636,77375,81819
15," ""37029""","Camden, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,2654,2890,3246,3752,4491,6011,6421,6492,6655,7057,5865,5133,4549,4393,4880,4418,4063,3844
16," ""37031""","Carteret, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,38684,39638,44026,45906,49631,52924,55002,56893,55602,54351,54632,57500,58794,61771,64237,64762,66737,66819
17," ""37033""","Caswell, NC",5.0,CAINC6N,8.0,...,  Employer contributions for government social insurance,Thousands of dollars,6732,6491,6766,6857,7046,7401,7864,8063,8182,8151,8335,7879,8053,8338,8754,8233,8574,8812
